doc_id,type,month.ended,text,month,article
57,main,4/30/2020,"To Save Afghan Peace Deal, U.S. May Scale Back C.I.A. Presence",2,570
58,main,4/30/2020,U.S. Military Cutting Medevac Flights for Troops in West Africa,2,580
59,main,4/30/2020,Dozens Test Positive for Coronavirus at Afghan President’s Palace,2,590
60,main,4/30/2020,What Will Our New Normal Feel Like? Hints Are Beginning to Emerge,2,600
61,main,4/30/2020,Executive Order Halting New Green Cards Includes Exceptions,2,610
62,main,4/30/2020,Taliban Ramp Up Attacks Even as Coronavirus Spreads in Afghanistan,2,620
63,main,4/30/2020,Coronavirus Diplomacy: How China’s Red Cross Serves the Communist Party,2,630
64,main,4/30/2020,"Amid a Rising Death Toll, Trump Leaves the Grieving to Others",2,640
65,main,5/31/2020,"‘Hospital Needs to Be Quarantined,’ but Works On in Country at War",3,650
66,main,5/31/2020,Afghanistan Investigating Claims Migrants Were Killed by Iranian Guards,3,660
67,main,5/31/2020,"Votes, Deployment and Now Parenthood in the Middle of a Pandemic",3,670
68,main,5/31/2020,In Harm’s Way: Fighting the Summer Surge,3,680
69,main,5/31/2020,"An Incursion Into Venezuela, Straight Out of Hollywood",3,690
70,main,5/31/2020,"U.S. Military Killed 132 Civilians in Wars Last Year, Pentagon Says",3,700
71,main,5/31/2020,"For Flynn, Dropped Charges Are the Latest in a Life Full of Reversals",3,710
72,main,5/31/2020,Joe Biden’s Time in Sarah Palin’s Shadow,3,720
73,main,5/31/2020,This Afghan General Fought the Taliban for Years. Now He Has Joined Them.,3,730
74,main,5/31/2020,"From Maternity Ward to Cemetery, a Morning of Murder in Afghanistan",3,740
75,main,5/31/2020,"Born Into Carnage, 18 Afghan Babies Face an Uncertain Fate",3,750
76,main,5/31/2020,"In Italy, Some Fear the Virus Is a Get-Out-of-Jail Card for Mafiosi",3,760
77,main,5/31/2020,"Gil Loescher, 75, Refugees Expert Who Survived Iraq Bombing, Dies",3,770
78,main,5/31/2020,U.S. Urges Afghanistan to Stay the Course With Peace Deal as Violence Resurges,3,780
79,main,5/31/2020,Afghan Power-Sharing Deal Would Promote General Accused of Rape,3,790
80,main,5/31/2020,Afghan Rivals Sign Power-Sharing Deal as Political Crisis Subsides,3,800
81,main,5/31/2020,F.B.I. Finds Links Between Pensacola Gunman and Al Qaeda,3,810
82,main,5/31/2020,Clinic Bombed as Afghan Forces Fend Off Taliban Attack on Kunduz,3,820
83,main,5/31/2020,"Emulating Democrats, G.O.P. Ties House Hopes to Diverse Recruits",3,830
84,main,5/31/2020,"Emulating Democrats, G.O.P. Ties House Hopes to Diverse Recruits",3,840
85,main,5/31/2020,Raids Reveal Massive Fentanyl Production in Myanmar,3,850
86,main,5/31/2020,Trump’s Dilemma: Reject DeVos Debt Forgiveness Rollback or Anger Veterans,3,860
87,main,5/31/2020,"A Campaign Milestone: ‘I Was Drugged and Raped,’ Heard in a Candidate’s Ad",3,870
88,main,5/31/2020,"As Saudi Official Hid Abroad, His Family Became a Target at Home",3,880
89,main,5/31/2020,Trump Takes Aim at a Watergate Reform: The Independent Inspector General,3,890
90,main,5/31/2020,Afghan Sides Agree to Rare Cease-Fire During Eid al-Fitr,3,900
91,main,5/31/2020,"Trump Tweets and Golfs, but Makes No Mention of Virus’s Toll",3,910
92,main,5/31/2020,"African-Americans Are Highly Visible in the Military, but Almost Invisible at the Top",3,920
93,main,5/31/2020,Americans Ponder Losses Past and Present on a Subdued Memorial Day,3,930
94,main,5/31/2020,"By Air and Sea, Mercenaries Landed in Libya. Then the Plan Went South.",3,940
95,main,5/31/2020,How the Taliban Outlasted a Superpower: Tenacity and Carnage,3,950
96,main,5/31/2020,Longtime Pentagon Watchdog Stepping Down From Post,3,960
97,main,5/31/2020,Trump Wants Troops in Afghanistan Home by Election Day. The Pentagon Is Drawing Up Plans.,3,970
98,main,5/31/2020,Army Withdraws Nomination for Officer Involved in Deadly Niger Ambush,3,980
99,main,6/30/2020,"As Virus Toll Preoccupies U.S., Rivals Test Limits of American Power",4,990
100,main,6/30/2020,Former Commanders Fault Trump’s Use of Troops Against Protesters,4,1000
101,main,6/30/2020,The Flynn Calls: His Dismissal of Russian Interference and the Kremlin’s Savvy,4,1010
102,main,6/30/2020,A Prisoner Release Stuns 2 American War Widows,4,1020
103,main,6/30/2020,Trump and the Military: A Mutual Embrace Might Dissolve on America’s Streets,4,1030
104,main,6/30/2020,"Milley, America’s Top General, Walks Into a Political Battle",4,1040
105,main,6/30/2020,French Military Says It Killed Top Qaeda Leader in Africa,4,1050
106,main,6/30/2020,Has ‘America First’ Become ‘Trump First’? Germans Wonder,4,1060
107,main,6/30/2020,Pentagon Ordered National Guard Helicopters’ Aggressive Response in D.C.,4,1070
108,main,6/30/2020,"For Decades, This Radio Station Named the Dead. Few Still Listen.",4,1080
109,main,6/30/2020,"Aggressive Tactics by National Guard, Ordered to Appease Trump, Wounded the Military, Too",4,1090
110,main,6/30/2020,Trump Rejects Renaming Military Bases Named After Confederate Generals,4,1100
111,main,6/30/2020,U.S. to Penalize War Crimes Investigators Looking Into American Troops,4,1110
112,main,6/30/2020,Graduating West Point Cadets Isolate for Two Weeks Ahead of Trump Speech,4,1120
113,main,6/30/2020,Trump Made Inaccurate Claims About the Military During His West Point Speech,4,1130
114,main,6/30/2020,Robert Gates Calls to Replace Base Names From ‘Dark Side of Our History’,4,1140
115,main,6/30/2020,"After 13 Years on the Run, a Sudanese Militia Leader Appears in Court",4,1150
116,main,6/30/2020,Trump Administration Sues to Try to Delay Publication of Bolton’s Book,4,1160
117,main,6/30/2020,Bolton Says Trump Impeachment Inquiry Missed Other Troubling Episodes,4,1170
118,main,6/30/2020,Defense Secretary Will Assess How to Promote More Minorities in Military,4,1180
119,main,6/30/2020,Seizing the Presidency to Suit His Own Needs,4,1190
120,main,6/30/2020,The Lapses That Let a Saudi Extremist Shoot Up a U.S. Navy Base,4,1200
121,main,6/30/2020,"Betraying Frustration with China, E.U. Leaders Press for Progress on Trade Talks",4,1210
122,main,6/30/2020,"Census Bureau Adds Top-Level Political Posts, Raising Fears for 2020 Count",4,1220
123,main,6/30/2020,"The Hajj Pilgrimage Is Canceled, and Grief Rocks the Muslim World",4,1230
124,main,6/30/2020,U.S. Used Missile With Long Blades to Kill Qaeda Leader in Syria,4,1240
125,main,6/30/2020,"Russia Secretly Offered Afghan Militants Bounties to Kill U.S. Troops, Intelligence Says",4,1250
126,main,6/30/2020,Afghan Deaths Pile Up in Uncertainty Over U.S. Deal With Taliban,4,1260
127,main,6/30/2020,Biden Still Wants to Close Guantánamo Prison,4,1270
128,main,6/30/2020,Biden Criticizes Trump Over Intelligence on Russian Bounties on U.S. Troops,4,1280
129,main,6/30/2020,Spies and Commandos Warned Months Ago of Russian Bounties on U.S. Troops,4,1290
130,main,6/30/2020,Another Young Leader Taken. Afghans Ask: How Many More?,4,1300
131,main,6/30/2020,"Trump Got Written Briefing in February on Possible Russian Bounties, Officials Say",4,1310
132,main,6/30/2020,A New Superpower Competition Between Beijing and Washington: China’s Nuclear Buildup,4,1320
133,main,6/30/2020,Biden Says Trump ‘Surrendered’ to Coronavirus in Blistering Speech,4,1330
134,main,6/30/2020,Father of Slain Marine Finds Heartbreak Anew in Possible Russian Bounty,4,1340
135,main,6/30/2020,Suspicions of Russian Bounties Were Bolstered by Data on Financial Transfers,4,1350
136,main,6/30/2020,"U.S. Calls for Indefinite Arms Embargo of Iran, but Finds No Takers",4,1360
137,main,7/31/2020,"Afghan Contractor Handed Out Russian Cash to Kill Americans, Officials Say",5,1370
138,main,7/31/2020,"Slotkin, Former Intelligence Briefer, Presses White House on Russia Reports",5,1380
139,main,7/31/2020,Trump’s New Russia Problem: Unread Intelligence and Missing Strategy,5,1390
140,main,7/31/2020,"White House Dismisses Reports of Bounties, but Is Silent on Russia",5,1400
141,main,7/31/2020,Bounties Uproar Casts a Shadow Over a Rare Trump Foreign Policy Achievement,5,1410
142,main,7/31/2020,"As Neo-Nazis Seed Military Ranks, Germany Confronts ‘an Enemy Within’",5,1420
143,main,7/31/2020,New Administration Memo Seeks to Foster Doubts About Suspected Russian Bounties,5,1430
144,main,7/31/2020,"Russia Denies Paying Bounties, but Some Say the U.S. Had It Coming",5,1440
145,main,7/31/2020,‘Strategic Empathy’: How Biden’s Informal Diplomacy Shaped Foreign Relations,5,1450
146,main,7/31/2020,Congress Presses Military Leaders on Suspected Russian Bounties,5,1460
147,main,7/31/2020,First Woman Joins Green Berets After Graduating From Special Forces Training,5,1470
148,main,7/31/2020,"In a Death, Details of More Russian Murder-for-Hire Plots",5,1480
149,main,7/31/2020,"How Russia Built a Channel to the Taliban, Once an Enemy",5,1490
150,main,7/31/2020,"Inside the White House, a Gun Industry Lobbyist Delivers for His Former Patrons",5,1500
151,main,7/31/2020,"Taliban Stage a Major Attack, as Violence Intensifies in Northern Afghanistan",5,1510
152,main,7/31/2020,U.S. Says Most of China’s Claims in South China Sea Are Illegal,5,1520
153,main,7/31/2020,"Three Marines, Now Focus of Russian Bounties Investigation, Show the Costs of an Endless War",5,1530
154,main,7/31/2020,"$174 Million Afghan Drone Program Is Riddled With Problems, U.S. Report Says",5,1540
155,main,7/31/2020,Father Soldier Son,5,1550
156,main,7/31/2020,India Offers Escape to Afghan Hindus and Sikhs Facing Attacks,5,1560
157,main,7/31/2020,At Least 60 Migrants Killed in Turkish Boat Disaster,5,1570
158,main,7/31/2020,"For Women in Afghan Security Forces, a Daily Battle",5,1580
159,main,7/31/2020,"Republicans Heap Criticism on Liz Cheney, Calling Her Disloyal to Trump",5,1590
160,main,7/31/2020,Rise in Virus Cases Near Bases in U.S. and Abroad Poses Test for Military,5,1600
161,main,7/31/2020,"Senate Kills Broad Curbs on Military Gear for Police, Thwarting Push to Demilitarize",5,1610
162,main,7/31/2020,"The Virus Found a Crowded Houston Neighborhood, Sparing One Nearby",5,1620
163,main,7/31/2020,A Girl’s Heroic Battle Against the Taliban Was Also a Family Feud,5,1630
164,main,7/31/2020,"In Afghan Attacks, Facts Are Murky. But It’s Clear Deaths Are Piling Up.",5,1640
165,main,7/31/2020,Officials Push U.S.-China Relations Toward Point of No Return,5,1650
166,main,7/31/2020,"Taliban Executes Female Prison Guard, and U.N. Raises Concern Over Afghan Violence",5,1660
167,main,7/31/2020,Democrats Investigating Why White House Ended Ban on Some Gun Silencer Sales,5,1670
168,main,7/31/2020,"Taliban Announce Brief Cease-Fire, as Afghan Peace Talks Look Imminent",5,1680
169,main,7/31/2020,Trump Says He Did Not Ask Putin About Suspected Bounties to Kill U.S. Troops,5,1690
170,main,7/31/2020,"U.S. Will Cut 12,000 Forces in Germany",5,1700
171,main,7/31/2020,A Rarely Seen Weapon Destroys a Helicopter in Afghanistan,5,1710
172,main,7/31/2020,"Border Clashes With Pakistan Leave 15 Afghan Civilians Dead, Officials Say",5,1720
173,main,7/31/2020,Motorist Who Shot a Protester in Austin Claims Self-Defense,5,1730
174,main,7/31/2020,"Trump Still Defers to Putin, Even as He Dismisses U.S. Intelligence and the Allies",5,1740
175,main,8/31/2020,Body Bags and Enemy Lists: How Far-Right Police Officers and Ex-Soldiers Planned for ‘Day X’,6,1750
176,main,8/31/2020,Militants Attack Afghan Prison as Brief Cease-Fire Expires,6,1760
177,main,8/31/2020,29 Dead After ISIS Attack on Afghan Prison,6,1770
178,main,8/31/2020,"More U.S. Troops Will Leave Afghanistan Before the Election, Trump Says",6,1780
179,main,8/31/2020,Pompeo Warned Russia Against Bounties on U.S. Troops in Afghanistan,6,1790
180,main,8/31/2020,"Afghanistan to Release Last Taliban Prisoners, Removing Final Hurdle to Talks",6,1800
181,main,8/31/2020,Trump v. Putin: A Vaccine Manhood Contest,6,1810
182,main,8/31/2020,U.S. Contractor Knew of Explosive Material in Beirut Since at Least 2016,6,1820
183,main,8/31/2020,Afghanistan to Investigate Video Showing Forces Mutilating Taliban Corpses,6,1830
184,main,8/31/2020,Pompeo Says He and Military Warned Russia on Bounties for Killing U.S. Troops,6,1840
185,main,8/31/2020,Rebel Poet’s Death Leaves 40 Years of Epic Afghan Work Unfinished,6,1850
186,main,8/31/2020,"Much Changed World, Same Joe Biden Seeking to Undo What Trump Has Done",6,1860
187,main,8/31/2020,Top Republican National Security Officials Say They Will Vote for Biden,6,1870
188,main,8/31/2020,"With Delay in Afghan Peace Talks, a Creeping Sense of ‘Siege’ Around Kabul",6,1880
189,main,8/31/2020,"Afghan Soccer Official, Charged With Sexual Abuse, Evades Arrest",6,1890
190,main,8/31/2020,Africa Celebrates the End of the Wild Poliovirus (but Not the End of All Polio),6,1900
191,main,8/31/2020,Nearly 80 Killed as Flash Floods Ravage City in Afghanistan,6,1910
192,main,8/31/2020,‘I Lost Everyone’: Floods Bruise a War-Weary Afghanistan,6,1920
193,main,8/31/2020,G.O.P. Convention Skims Over Trump’s ‘Unfinished Business’ in Foreign Policy,6,1930
194,main,8/31/2020,New Zealand Gives Christchurch Killer a Record Sentence,6,1940
195,main,8/31/2020,"Biden, Speaking to National Guard Group, Takes Aim at Republican Criticism on Crime",6,1950
196,main,8/31/2020,C.I.A. Uncensors Memoir of F.B.I. Agent Who Protested Torture of Terrorists,6,1960
197,main,8/31/2020,‘A Hail Mary’: Psychedelic Therapy Draws Veterans to Jungle Retreats,6,1970
198,main,8/31/2020,"Taliban Violated Afghan Deal With Shelling of American Bases, U.S. Officials Say",6,1980
199,main,8/31/2020,"The Few, the Proud, the White: The Marine Corps Balks at Promoting Generals of Color",6,1990
200,main,9/30/2020,U.S.-Russia Military Tensions Intensify in the Air and on the Ground Worldwide,7,2000
201,main,9/30/2020,U.S.-Russia Military Tensions Intensify in the Air and on the Ground Worldwide,7,2010
202,main,9/30/2020,"After Afghan Women Asked #WhereIsMyName, a Small Victory",7,2020
203,main,9/30/2020,Afghan Peace Talks Set to Begin as Prisoner Swap Is Nearly Done,7,2030
204,main,9/30/2020,"After Report That Trump Disparaged War Dead, Democrats See Chance to Win Over Military Voters",7,2040
205,main,9/30/2020,"After Report That Trump Disparaged War Dead, Democrats See Chance to Win Over Military Voters",7,2050
206,main,9/30/2020,"As Others Condemn Putin Critic’s Poisoning, Trump Just Wants to ‘Get Along’",7,2060
207,main,9/30/2020,Trump Faces Uproar Over Reported Remarks Disparaging Fallen Soldiers,7,2070
208,main,9/30/2020,Trump Says He Will Reverse Pentagon Plan to Close Newspaper That Informs and Speaks for Troops,7,2080
209,main,9/30/2020,"John Kelly, at Center of Report on Trump Disparaging U.S. Soldiers, Keeps Silent",7,2090
210,main,9/30/2020,"Fighting Patriarchy, and Fearing Worse From the Taliban",7,2100
211,main,9/30/2020,Joe Biden’s China Journey,7,2110
212,main,9/30/2020,Will Doug Emhoff’s Legal Career Be an Issue for the Biden-Harris Ticket?,7,2120
213,main,9/30/2020,A Striking Reversal: Trump’s Attacks on the Military and Defense Contractors,7,2130
214,main,9/30/2020,"Afghan Vice President, Staunch Opponent of Taliban, Survives Blast",7,2140
215,main,9/30/2020,"Fire Destroys Most of Europe’s Largest Refugee Camp, on Greek Island of Lesbos",7,2150
216,main,9/30/2020,"U.S. to Reduce Troop Levels in Iraq to 3,000",7,2160
217,main,9/30/2020,Afghan Peace Talks Begin This Week. Here’s What to Know.,7,2170
218,main,9/30/2020,Pandemic Collides With Europe’s Migrant Crisis to Set Off a Calamity in Greece,7,2180
219,main,9/30/2020,Veterans Fortify the Ranks of Militias Aligned With Trump’s Views,7,2190
220,main,9/30/2020,"Afghanistan Peace Talks Open in Qatar, Seeking End to Decades of War",7,2200
221,main,9/30/2020,"Mandela, Gorbachev, Trump? A Disruptive President Plays Peacemaker",7,2210
222,main,9/30/2020,"After Fire Razes Squalid Greek Camp, Homeless Migrants Fear What’s Next",7,2220
223,main,9/30/2020,War Crime Risk Grows for U.S. Over Saudi Strikes in Yemen,7,2230
224,main,9/30/2020,"As U.N. Turns 75, the Celebration Is Muted by Calamity and Conflict",7,2240
225,main,9/30/2020,"Germany to Take In 1,500 Refugees, Easing Burden on Greece After Fires",7,2250
226,main,9/30/2020,"To Get to Afghan Talks, Lots of Last-Minute Deals — and Nose Swabs",7,2260
227,main,9/30/2020,Police Move Migrants From Greek Camp to Temporary Lesbos Site After Fires,7,2270
228,main,9/30/2020,"After Fire at Refugee Camp, Europe Faces a Reckoning",7,2280
229,main,9/30/2020,U.S. Sending More Troops to Syria to Counter the Russians,7,2290
230,main,9/30/2020,Ruth Bader Ginsburg Dies: This Week in the 2020 Race,7,2300
231,main,9/30/2020,U.S. Reimposes U.N. Sanctions on Iran Over Objections of World Powers,7,2310
232,main,9/30/2020,He Killed 2 Marines in 2011. It Almost Derailed Peace Talks This Month.,7,2320
233,main,9/30/2020,Trump Demands U.N. Hold China to Account for Coronavirus Pandemic,7,2330
234,main,9/30/2020,E.U. Offers Cash and More Deportations in New Plan for Migrants,7,2340
235,main,9/30/2020,U.S. Commandos Use Secretive Missiles to Kill Qaeda Leaders in Syria,7,2350
236,main,9/30/2020,"At Pentagon, Fears Grow That Trump Will Pull Military Into Election Unrest",7,2360
237,main,9/30/2020,Her Study Center Was Bombed. She Still Topped Afghanistan’s National University Exam.,7,2370
238,main,9/30/2020,"As Covid-19 Closes Schools, the World’s Children Go to Work",7,2380
239,main,9/30/2020,"In Proud Corners of Afghanistan, New Calls for Autonomy",7,2390
240,main,10/31/2020,"McMaster, Mostly Silent Until Now, Says Trump Is ‘Aiding and Abetting Putin’s Efforts’",8,2400
241,main,10/31/2020,"For Veterans, Bonds Forged in Battle Are Tested by 2020’s Rancor",8,2410
242,main,10/31/2020,"At Afghan Peace Talks, Hoping to End Their Fathers’ War",8,2420
243,main,10/31/2020,"Instead of Reassurance, Trump’s Doctor Delivers Confusion, Experts Say",8,2430
244,main,10/31/2020,Kyrgyzstan in Chaos After Protesters Seize Government Buildings,8,2440
245,main,10/31/2020,Trump Suggests Gold Star Families May Be to Blame for His Infection,8,2450
246,main,10/31/2020,"U.S. Seeks to Draw Down Its Troops in Afghanistan to 2,500 by Early 2021",8,2460
247,main,10/31/2020,Virus Takes Center Stage as Pence and Harris Skirmish in Debate,8,2470
248,main,10/31/2020,An Afghan Boy’s Rape and Death Prompt a Rare Response: Arrests,8,2480
249,main,10/31/2020,Trump Lashes Out at His Cabinet With Calls to Indict Political Rivals,8,2490
250,main,10/31/2020,Trump’s Campaign Talk of Troop Withdrawals Doesn’t Match Military Reality,8,2500
251,main,10/31/2020,"In Former Taliban Stronghold, Defiant Women Hit the Gym",8,2510
252,main,10/31/2020,Top General Declines to Endorse Trump’s Afghan Withdrawal Timeline,8,2520
253,main,10/31/2020,He Built a Trump Statue and Worshiped It. Then He Collapsed.,8,2530
254,main,10/31/2020,Trump’s Tweets on Troop Withdrawals Unnerve Pentagon,8,2540
255,main,10/31/2020,This Ex-Taliban Commander Is Now the Face of Afghan Security,8,2550
256,main,10/31/2020,When Armed Vigilantes Are Summoned With a Few Keystrokes,8,2560
257,main,10/31/2020,"A Storied Female Warlord Surrenders, Taliban Say, Exposing Afghan Weakness",8,2570
258,main,10/31/2020,Refugees Who Assisted the U.S. Military Find the Door to America Slammed Shut,8,2580
259,main,10/31/2020,Trump’s Sanctions on International Court May Do Little Beyond Alienating Allies,8,2590
260,main,10/31/2020,"‘If There Were No Hashish Here, You Wouldn’t See a Single House’",8,2600
261,main,10/31/2020,U.S. Diplomats and Spies Battle Trump Administration Over Suspected Attacks,8,2610
262,main,10/31/2020,Demand for Pakistan Visas Sets Off Deadly Stampede in Afghanistan,8,2620
263,main,10/31/2020,A Radical Cleric Ignites an Islamist Resistance in Afghanistan,8,2630
264,main,10/31/2020,Grenell Pursued Talks Over Change of Power in Venezuela,8,2640
265,main,10/31/2020,A Trump Victory May Push His Defense Secretary Out an Open Door,8,2650
266,main,10/31/2020,Libya Cease-Fire Raises Hopes for Full Peace Deal,8,2660
267,main,10/31/2020,Deadly Explosion Hits Kabul Tutoring Center,8,2670
268,main,10/31/2020,Joe Biden Had Close Ties With Police Leaders. Will They Help Him Now?,8,2680
269,main,10/31/2020,"Swing-District Democrats, Defying Predictions, Poised to Help Keep House",8,2690
270,main,10/31/2020,Al Qaeda Feels Losses in Syria and Afghanistan but Stays Resilient,8,2700
271,main,10/31/2020,Blast at Pakistani Religious School Kills at Least 8,8,2710
272,main,10/31/2020,How an Afghan Political Crisis Derailed Payments to War Victims,8,2720
273,main,10/31/2020,"After 12 Years, Arrest Made in Abduction of Former Times Journalist David Rohde",8,2730
274,main,10/31/2020,An Ancient Hill and Forgotten Dead: Afghanistan’s Haunted Outpost,8,2740
275,main,11/30/2020,"Gunmen Storm Kabul University, Killing at Least 19",9,2750
276,main,11/30/2020,Deadly School Assault Catapults Kabul into Even More Despair,9,2760
277,main,11/30/2020,"Robert Fisk, Intrepid War Correspondent, Dies at 74",9,2770
278,main,11/30/2020,A Transfixed World Awaits What’s Next in America,9,2780
279,main,11/30/2020,‘It’s Like Falling in Love’: Israeli Entrepreneurs Welcomed in Dubai,9,2790
280,main,11/30/2020,Biden Victory Brings Sighs of Relief Overseas,9,2800
281,main,11/30/2020,"String of Attacks Have People in Kabul Pointing a Finger, at the Government",9,2810
282,main,11/30/2020,Europe Lauds Biden but Wonders: What Will He Want? How Long Will He Stay?,9,2820
283,main,11/30/2020,Strong Turnout in Myanmar Shows Voters’ Support for Nascent Democracy,9,2830
284,main,11/30/2020,The End of ‘America First’: How Biden Says He Will Re-engage With the World,9,2840
285,main,11/30/2020,"Trump Fires Mark Esper, Defense Secretary Who Opposed Use of Troops on U.S. Streets",9,2850
286,main,11/30/2020,An Obama Restoration on Foreign Policy? Familiar Faces Could Fill Biden’s Team,9,2860
287,main,11/30/2020,He Sidestepped Pompeo and Got Slapped Down. Now He’s the New Pentagon Chief.,9,2870
288,main,11/30/2020,Who Will Fill Biden’s Cabinet?,9,2880
289,main,11/30/2020,Nobel Peace Prize: A Growing List of Questionable Choices,9,2890
290,main,11/30/2020,Trump Stacks the Pentagon and Intel Agencies With Loyalists. To What End?,9,2900
291,main,11/30/2020,"U.S. Troops Are Still Leaving, but Afghans Hope Biden Will Help",9,2910
292,main,11/30/2020,Trump Pentagon Purge Could Accelerate His Goal to Pull Troops From Afghanistan,9,2920
293,main,11/30/2020,"Al Qaeda’s No. 2, Accused in U.S. Embassy Attacks, Was Killed in Iran",9,2930
294,main,11/30/2020,It Took a Century to Open a Mosque in Athens. Then Came the Pandemic.,9,2940
295,main,11/30/2020,"Joanna Harcourt-Smith, 74, Dies; Lived a ‘Psychedelic Love Story’",9,2950
296,main,11/30/2020,Want a Preview of President Biden? Look to the Campaign Trail,9,2960
