"","main_text","bing_score","nrc_score","afinn_score","final_sentiment","congruence"
"49","A Botched Drone Strike in Kabul Started With the Wrong Car","negative","negative","negative","negative",NA
"50","A Call for Unity to a Nation Facing a Pandemic and Division","positive","neutral",NA,"negative",NA
"51","A Campaign Milestone: ‘I Was Drugged and Raped,’ Heard in a Candidate’s Ad","negative","negative",NA,"negative",NA
"52","A City Under Siege: What the War Looks Like on Afghanistan’s Front Line","negative","negative","negative","negative",NA
"53","A College President Worried About the Risks of Dorm Isolation. So He Moved In.","negative","negative","negative","negative",NA
"54","A Covid-19 Surge and Conspiracy Theories Roil Pakistan","negative","neutral","negative","negative",NA
"55","A Dangerous Scramble to Evacuate Afghan Nonprofit Workers","negative","negative",NA,"negative",NA
"56","A Digital Dunkirk: Veterans Online Scramble to Get People Out of Afghanistan","negative",NA,NA,"negative",NA
"57","A Far-Right Terrorism Suspect With a Refugee Disguise: The Tale of Franco A.","negative","negative","negative","negative",NA
"58","A Fragile Ceasefire Lets Afghans Risk Travel for Eid","negative","negative","negative","negative",NA
"59","A German Town Warily Considers a Future Without a Deep U.S. Presence","negative","positive",NA,"negative",NA
"60","A Girl’s Heroic Battle Against the Taliban Was Also a Family Feud","positive","neutral","positive","negative",NA
"61","A Harsh New Reality for Afghan Women and Girls in Taliban-Run Schools","negative",NA,"negative","negative",NA
"62","A Journey Through Kabul on the Day of the Fall","negative","neutral",NA,"negative",NA
"63","A Million Afghan Children Could Die in ‘Most Perilous Hour,’ U.N. Warns","negative","negative","negative","negative",NA
"64","A Mother, Her Son — and Their 1,500-Mile Search for Home",NA,"positive",NA,"negative",NA
"65","A Nervy Trip to Kabul: How Ukraine Negotiated With the Taliban and Rescued 96 Afghans",NA,"positive","positive","negative",NA
"66","A New Pregnancy and an Oprah Interview Refocus a Spotlight on Harry and Meghan",NA,"negative",NA,"negative",NA
"67","A New Superpower Competition Between Beijing and Washington: China’s Nuclear Buildup",NA,"neutral",NA,"negative",NA
"68","A Prisoner Release Stuns 2 American War Widows","negative","negative","negative","negative",NA
"69","A Radical Cleric Ignites an Islamist Resistance in Afghanistan","negative","negative",NA,"negative",NA
"70","A Rarely Seen Weapon Destroys a Helicopter in Afghanistan",NA,NA,"negative","negative",NA
"71","A Rogue Climber Running From the Law Was Fleeing His Own Trauma","negative","negative","negative","negative",NA
"72","A Secret Accord With the Taliban: When and How the U.S. Would Leave Afghanistan",NA,"positive","negative","negative",NA
"73","A Siege, a Supply Run and a Descent Into a Decade-Old Battle","negative","negative","negative","negative",NA
"74","A Storied Female Warlord Surrenders, Taliban Say, Exposing Afghan Weakness","negative","negative","negative","negative",NA
"75","A Stranded Interpreter, and the Soldiers Who Would Not Let Go",NA,"negative",NA,"negative",NA
"76","A Striking Reversal: Trump’s Attacks on the Military and Defense Contractors","neutral","negative","negative","negative",NA
"77","A Swimmer’s Journey From Afghanistan to Refugee Camps to the Paralympics",NA,"positive",NA,"negative",NA
"78","A Taliban spokesman urges women to stay home because fighters haven’t been trained to respect them.","positive","positive",NA,"negative",NA
"79","A Top Democrat Warns Against a Hasty Withdrawal of U.S. Troops From Afghanistan","neutral","positive","negative","negative",NA
"80","A Top Woman in Canada’s Military Issues a Stinging Rebuke of Its Culture","negative","positive","positive","negative",NA
"81","A Transfixed World Awaits What’s Next in America",NA,NA,"negative","negative",NA
"82","A Trump Victory May Push His Defense Secretary Out an Open Door","positive","positive",NA,"negative",NA
"83","A War Is Ending. A Pennsylvania Town Exhales.",NA,"negative","negative","negative",NA
"84","A Wave of Afghan Surrenders to the Taliban Picks Up Speed",NA,NA,NA,"negative",NA
"85","A Week Into Taliban Rule, One City’s Glimpse of What the Future May Hold",NA,"neutral",NA,"negative",NA
"86","A Year Like No Other: 2020 in Pictures",NA,NA,NA,"negative",NA
"87","Activists and Ex-Spy Said to Have Plotted to Discredit Trump ‘Enemies’ in Government","negative","negative","negative","negative",NA
"88","Adam Kinzinger’s Lonely Mission","negative","negative","negative","negative",NA
"89","Afghan and Taliban Negotiators Agree on Peace Talks’ Procedures","positive","positive","positive","negative",NA
"90","Afghan Blast on Eve of U.S. Pullout Deadline Kills at Least 27","negative","negative","negative","negative",NA
"91","Afghan Civilian Casualties Soar as U.S. Exits, Monitors Say",NA,NA,NA,"negative",NA
"92","Afghan Civilian Casualties Soared After Peace Talks’ Start","positive","positive","positive","negative",NA
"93","Afghan Contractor Handed Out Russian Cash to Kill Americans, Officials Say","negative","negative","negative","negative",NA
"94","Afghan Deaths Pile Up in Uncertainty Over U.S. Deal With Taliban",NA,"positive",NA,"negative",NA
"95","Afghan Family Says Errant U.S. Missile Killed 10, Including 7 Children","negative","negative","negative","negative",NA
"96","Afghan Fiasco Raises Hard Questions for Europe","negative","negative","negative","negative",NA
"97","Afghan Government Backs Repatriation of Guantánamo Detainee",NA,"negative",NA,"negative",NA
"98","Afghan Journalist Is Killed in Latest Attack on Media Figures","negative","negative","negative","negative",NA
"99","Afghan Leader Digs In on Peace Talks Despite Progress, Officials Say","positive","positive","positive","negative",NA
"100","Afghan Leaders Sideline Spokesmen in an Escalating Misinformation War",NA,"negative","negative","negative",NA
"101","Afghan Peace Plan Faces Its First Roadblock: Releasing Taliban Prisoners","positive","positive","neutral","negative",NA
"102","Afghan Peace Talks Begin This Week. Here’s What to Know.","positive","positive","positive","negative",NA
"103","Afghan Peace Talks Set to Begin as Prisoner Swap Is Nearly Done","neutral","negative","neutral","negative",NA
"104","Afghan Pilots Who Sought Safety in Uzbekistan Transfer to U.S. Base",NA,"positive","positive","negative",NA
"105","Afghan Power-Sharing Deal Would Promote General Accused of Rape","negative","negative","negative","negative",NA
"106","Afghan President in ‘Desperate Situation’ as His Power Is Undermined","negative","neutral","negative","negative",NA
"107","Afghan President Orders Taliban Prisoner Release","negative","negative","negative","negative",NA
"108","Afghan Prisoner Swap Hits Wall as Taliban Pull Out of Talks","negative","negative","negative","negative",NA
"109","Afghan Refugees Find a Harsh and Unfriendly Border in Turkey","negative","negative","negative","negative",NA
"110","Afghan Rivals Sign Power-Sharing Deal as Political Crisis Subsides","negative","positive","negative","negative",NA
"111","Afghan Sides Agree to Rare Cease-Fire During Eid al-Fitr",NA,"neutral","negative","negative",NA
"112","Afghan Soccer Official, Charged With Sexual Abuse, Evades Arrest","negative","negative","negative","negative",NA
"113","Afghan Uyghurs Fear Deportation as Taliban Cozy Up to China","neutral","negative","negative","negative",NA
"114","Afghan Vice President, Staunch Opponent of Taliban, Survives Blast","negative","negative",NA,"negative",NA
"115","Afghan Visa Applicants Arrive in U.S. After Years of Waiting",NA,"positive",NA,"negative",NA
"116","Afghan Women Fear the Worst, Whether War or Peace Lies Ahead","negative","neutral","negative","negative",NA
"117","Afghanistan Before the Fall","negative","negative",NA,"negative",NA
"118","Afghanistan Collapse Accelerates as the Taliban Capture 3 Vital Cities","negative","negative","negative","negative",NA
"119","Afghanistan Collapse and Strikes in Somalia Raise Snags for Drone Warfare Rules","negative","negative","negative","negative",NA
"120","Afghanistan Investigating Claims Migrants Were Killed by Iranian Guards","negative",NA,"negative","negative",NA
"121","Afghanistan Peace Talks Open in Qatar, Seeking End to Decades of War","positive","positive","neutral","negative",NA
"122","Afghanistan to Investigate Video Showing Forces Mutilating Taliban Corpses",NA,"positive",NA,"negative",NA
"123","Afghanistan to Release Last Taliban Prisoners, Removing Final Hurdle to Talks",NA,NA,"negative","negative",NA
"124","Afghanistan War Enters New Stage as U.S. Military Prepares to Exit",NA,"negative","negative","negative",NA
"125","Afghanistan’s Unraveling May Strike Another Blow to U.S. Credibility","negative","neutral","negative","negative",NA
"126","Afghans Flee to Pakistan. An Uncertain Future Awaits.","negative","negative","negative","negative",NA
"127","Afghans Fleeing Home Are Filling the Lowliest Jobs in Istanbul","negative",NA,NA,"negative",NA
"128","Afghans With Ties to U.S. Who Could Not Get Out Now Live in Fear","negative","negative","negative","negative",NA
"129","Afghans Wonder ‘What About Us?’ as U.S. Troops Prepare to Withdraw",NA,"neutral",NA,"negative",NA
"130","Africa Celebrates the End of the Wild Poliovirus (but Not the End of All Polio)","negative","negative","positive","negative",NA
"131","African-Americans Are Highly Visible in the Military, but Almost Invisible at the Top","neutral","positive","positive","negative",NA
"132","After 12 Years, Arrest Made in Abduction of Former Times Journalist David Rohde",NA,"negative","negative","negative",NA
"133","After 13 Years on the Run, a Sudanese Militia Leader Appears in Court",NA,"negative",NA,"negative",NA
"134","After 18 Years, Is This Afghan Peace, or Just a Way Out?","positive","positive","positive","negative",NA
"135","After 7 Years of Failing to Fix Afghanistan, Ghani Makes a Hasty Escape","negative","negative","negative","negative",NA
"136","After Afghan Women Asked #WhereIsMyName, a Small Victory","positive","positive",NA,"negative",NA
"137","After Airport Bombing, an Afghan Family Buries a Father, and Hope",NA,"positive","positive","negative",NA
"138","After Backing Military Force in Past, U.S.A.I.D. Nominee Focuses on Deploying Soft Power","positive","negative",NA,"negative",NA
"139","After Capitol Riot, Senate Taps Intelligence Official to Lead Security","positive","positive","negative","negative",NA
"140","After Capitols Become Fortresses, Far-Right Protesters Are Mostly a No-Show",NA,NA,"negative","negative",NA
"141","After Decades of War, ISIS and Al Qaeda Can Still Wreak Havoc","negative","negative","negative","negative",NA
"142","After Fire at Refugee Camp, Europe Faces a Reckoning",NA,"negative","negative","negative",NA
"143","After Fire Razes Squalid Greek Camp, Homeless Migrants Fear What’s Next","negative","negative","negative","negative",NA
"144","After Quick Victory, Taliban Find Governing Is Harder","positive","positive",NA,"negative",NA
"145","After Report That Trump Disparaged War Dead, Democrats See Chance to Win Over Military Voters","positive","negative","negative","negative",NA
"146","After Report That Trump Disparaged War Dead, Democrats See Chance to Win Over Military Voters","positive","negative","negative","negative",NA
"147","After the 9/11 Attacks, Boston Found a Focus for Its Anger","negative","positive","negative","negative",NA
"148","After Two Decades of Fighting Taliban, U.S. Is Uneasy Partners With Them","negative","negative","negative","negative",NA
"149","Aggressive Tactics by National Guard, Ordered to Appease Trump, Wounded the Military, Too","neutral","negative","neutral","negative",NA
"150","Aid Workers Staying in Taliban-Ruled Afghanistan Tread a Tricky Path","negative","positive",NA,"negative",NA
"151","Al Qaeda Feels Losses in Syria and Afghanistan but Stays Resilient","neutral","positive",NA,"negative",NA
"152","Al Qaeda’s No. 2, Accused in U.S. Embassy Attacks, Was Killed in Iran","negative","negative","negative","negative",NA
"153","All in or All Out? Biden Saw No Middle Ground in Afghanistan.",NA,"positive",NA,"negative",NA
"154","America’s Afghan War: A Defeat Foretold?","positive","negative","negative","negative",NA
"155","America’s Friends and Foes Express Horror as Capitol Attack ‘Shakes the World’","negative","negative","negative","negative",NA
"156","American University of Afghanistan students and relatives trying to flee were sent home.","negative","neutral",NA,"negative",NA
"157","Americans Held Overseas in Iran and Lebanon Are Freed","positive",NA,NA,"negative",NA
"158","Americans Ponder Losses Past and Present on a Subdued Memorial Day","negative",NA,NA,"negative",NA
"159","Americans Stretch Across Political Divides to Welcome Afghan Refugees",NA,NA,NA,"negative",NA
"160","Amid a Rising Death Toll, Trump Leaves the Grieving to Others","negative","positive","negative","negative",NA
"161","Amid Afghan Chaos, a C.I.A. Mission That Will Persist for Years","negative","negative","negative","negative",NA
"162","Amid Tensions With U.S., Erdogan Praises Ties With Russia",NA,NA,"positive","negative",NA
"163","Among the Troops Who Died, Two Women on the Front Line","negative",NA,"negative","negative",NA
"164","An Afghan Boy’s Rape and Death Prompt a Rare Response: Arrests","negative","negative","negative","negative",NA
"165","An Alliance of Autocracies? China Wants to Lead a New World Order.","positive","positive",NA,"negative",NA
"166","An Ancient Hill and Forgotten Dead: Afghanistan’s Haunted Outpost","negative","negative","negative","negative",NA
"167","An Iconic Bridge Sees U.S. Allies Flee Afghanistan as the Soviets Did","negative","negative",NA,"negative",NA
"168","An Incursion Into Venezuela, Straight Out of Hollywood",NA,"negative","positive","negative",NA
"169","An Obama Restoration on Foreign Policy? Familiar Faces Could Fill Biden’s Team",NA,"positive",NA,"negative",NA
"170","An Old Legal Doctrine That Puts War Criminals in the Reach of Justice",NA,"positive","negative","negative",NA
"171","Another Official Is Ousted From the Pentagon",NA,"positive",NA,"negative",NA
"172","Another Young Leader Taken. Afghans Ask: How Many More?",NA,"positive",NA,"negative",NA
"173","Appeals Panel Overturns Army Judge’s Ruling on Torture","negative","negative","negative","negative",NA
"174","Arizona Banned School Mask Mandates. Now Some Kids Are Sick and Parents Are Angry.","negative","negative","negative","negative",NA
"175","Armed Attackers Kidnap and Kill 11 Miners in Pakistan","negative","negative","negative","negative",NA
"176","Army Withdraws Nomination for Officer Involved in Deadly Niger Ambush","negative","negative",NA,"negative",NA
"177","As Afghan Cities Fall to Taliban, Brutal New Chapter Unfolds","negative","negative",NA,"negative",NA
"178","As Afghan Forces Crumble, an Air of Unreality Grips the Capital","negative",NA,NA,"negative",NA
"179","As Afghan Refugee Crisis Unfolds, Survivors Recall ‘Miracle’ Evacuation","neutral","positive","positive","negative",NA
"180","As Afghanistan Collapses, a Lament for ‘Repeating the Same Mistakes’","negative","negative","negative","negative",NA
"181","As Biden and Xi Begin a Careful Dance, a New American Policy Takes Shape",NA,"positive","positive","negative",NA
"182","As Biden Faces a Political Crisis, His Party Looks On in Alarm","negative","negative","negative","negative",NA
"183","As Biden Meeting Nears, Erdogan Softens His Stance",NA,NA,NA,"negative",NA
"184","As Covid-19 Closes Schools, the World’s Children Go to Work",NA,NA,NA,"negative",NA
"185","As Fears Grip Afghanistan, Hundreds of Thousands Flee","negative","negative",NA,"negative",NA
"186","As G.O.P. Digs In on Debt Ceiling, Democrats Try Shaming McConnell","negative","negative","negative","negative",NA
"187","As Military Addresses Diversity, Republicans See Culture War Target",NA,"neutral","negative","negative",NA
"188","As Need in Afghanistan Grows Dire, Aid Groups Plead for Help","negative","negative","negative","negative",NA
"189","As Neo-Nazis Seed Military Ranks, Germany Confronts ‘an Enemy Within’","negative","negative","negative","negative",NA
"190","As Others Condemn Putin Critic’s Poisoning, Trump Just Wants to ‘Get Along’","neutral","negative","negative","negative",NA
"191","As Pandemic Grows, U.S. Warns Americans Not to Travel Abroad",NA,"negative","negative","negative",NA
"192","As Pompeo Prepared to Meet Afghan Warring Parties, New Attack Struck Kabul","negative","neutral","negative","negative",NA
"193","As Saudi Official Hid Abroad, His Family Became a Target at Home",NA,"positive","negative","negative",NA
"194","As Taliban Advance, Biden Officials Cling to Hope for Afghan Peace","positive","positive","positive","negative",NA
"195","As Taliban Capture Cities, U.S. Says Afghan Forces Must Fend for Themselves",NA,"negative",NA,"negative",NA
"196","As Taliban Crush Dissent, New Leaders Face Cascading Challenges","negative",NA,"negative","negative",NA
"197","As the Taliban Advance in Afghanistan, Pressure on Pakistan Grows",NA,"positive","negative","negative",NA
"198","As the Taliban Tighten Their Grip, Fears of Retribution Grow","negative","negative",NA,"negative",NA
"199","As the U.S. Pulls Out of Afghanistan, Kabul’s Airport Is a Final Stand",NA,"positive",NA,"negative",NA
"200","As U.N. Turns 75, the Celebration Is Muted by Calamity and Conflict","negative","neutral","negative","negative",NA
"201","As U.S. Leaves Afghanistan, History Suggests It May Struggle to Stay Out","negative","negative","negative","negative",NA
"202","As U.S. Troops Leave Afghanistan, Diplomats Are Left to Fill Uncertain Mission","negative","negative","negative","negative",NA
"203","As U.S. Troops Searched Afghans, a Bomber in the Crowd Moved In",NA,"negative",NA,"negative",NA
"204","As U.S. Withdraws, Afghan Interpreters Fear Being Left Behind","negative","negative","negative","negative",NA
"205","As Virus Toll Preoccupies U.S., Rivals Test Limits of American Power","negative","negative","negative","negative",NA
"206","As Wars Wind Down, Congress Revisits Presidential Powers",NA,"neutral",NA,"negative",NA
"207","Asylum Seeker Who Lost His Son on Trek to Greece Is Charged in His Death","negative","negative","negative","negative",NA
"208","At Afghan Peace Talks, Hoping to End Their Fathers’ War","positive","positive","positive","negative",NA
"209","At Afghan Universities, Increasing Fear That Women Will Never Be Allowed Back","negative","negative","negative","negative",NA
"210","At Center of Taliban Deal, a U.S. Envoy Who Made It Personal",NA,"positive",NA,"negative",NA
"211","At Least 250,000 Afghans Who Worked With U.S. Haven’t Been Evacuated, Estimates Say",NA,NA,NA,"negative",NA
"212","At Least 60 Migrants Killed in Turkish Boat Disaster","negative","negative","negative","negative",NA
"213","At Least 80 Killed as Flash Floods Destroy Village in Afghanistan","negative",NA,"negative","negative",NA
"214","At Least 9 Dead in Afghan Helicopter Crash, After Clashes With Local Militia","negative","negative","negative","negative",NA
"215","At Naval Academy Graduation, Harris Focuses on Strengthening a ‘Fragile’ World","negative","positive","positive","negative",NA
"216","At Pentagon, Fears Grow That Trump Will Pull Military Into Election Unrest","negative","positive",NA,"negative",NA
"217","At Pro-Taliban Protest, a Symbol of America’s Lost Influence: Faces Obscured by Veils","negative","negative","negative","negative",NA
"218","At U.N., Biden Calls for Diplomacy, Not Conflict, but Some Are Skeptical","negative","negative","negative","negative",NA
"219","Attack in Afghanistan Kills 10 From Charity That Clears Land Mines","negative","neutral","negative","negative",NA
"220","Attacked and Vulnerable, Some Afghans Are Forming Their Own Armies","negative","positive","negative","negative",NA
"221","Australia Condemns Lurid Tweet by Chinese Official as ‘Disgusting Slur’","negative","negative","negative","negative",NA
"222","Australian Military Moves to Dismiss Soldiers After Killings in Afghanistan",NA,"negative",NA,"negative",NA
"223","Back to Militias, the Chaotic Afghan Way of War","negative","negative","negative","negative",NA
"224","Barbara Lee’s Long Quest to Curb Presidential War Powers Faces a New Test",NA,"neutral","negative","negative",NA
"225","Basking in Vaccine Success, E.U. Promises to Donate More Covid Shots","positive","positive","positive","negative",NA
"226","Before Himalayan Flood, India Ignored Warnings of Development Risks","negative","negative","negative","negative",NA
"227","Before the Capitol Riot, Calls for Cash and Talk of Revolution",NA,"neutral","negative","negative",NA
"228","Behind the Haiti Assassination, Colombia’s Growing Mercenary Industry",NA,"negative","negative","negative",NA
"229","Belarus Leader Lashes Out at the West, a Year After Crushing Protests","negative","negative","negative","negative",NA
"230","Betraying Frustration with China, E.U. Leaders Press for Progress on Trade Talks","negative","positive","negative","negative",NA
"231","Biden Administration Clears 3 Guantánamo Detainees for Release","positive",NA,"positive","negative",NA
"232","Biden Administration Shows Little Appetite for Haiti’s Troop Request",NA,NA,NA,"negative",NA
"233","Biden Administration to Impose Tough Sanctions on Russia","neutral","negative","negative","negative",NA
"234","Biden Administration Transfers Its First Detainee From Guantánamo Bay",NA,"negative",NA,"negative",NA
"235","Biden Affirms Support Against ‘Russian Aggression’ in Meeting With Ukraine’s Leader","neutral","negative","neutral","negative",NA
"236","Biden and Bush Urge Unity as Nation Remembers Sept. 11","positive","positive",NA,"negative",NA
"237","Biden and Putin Agree to Extend Nuclear Treaty",NA,"positive","positive","negative",NA
"238","Biden and Putin Express Desire for Better Relations at Summit Shaped by Disputes",NA,NA,"negative","negative",NA
"239","Biden Assails Republicans Over Voting Rights and Defends Record on Border",NA,NA,NA,"negative",NA
"240","Biden Cabinet Leans Centrist, Leaving Some Liberals Frustrated","negative","neutral","negative","negative",NA
"241","Biden Campaigned as the Anti-Trump. But a Clean Break Is Never Easy.","positive","positive","positive","negative",NA
"242","Biden Condemns Border Patrol Treatment of Haitian Migrants as Expulsions Continue","negative","positive","negative","negative",NA
"243","Biden Criticizes Trump Over Intelligence on Russian Bounties on U.S. Troops","positive","positive","negative","negative",NA
"244","Biden Declared the War Over. But Wars Go On.",NA,"negative","negative","negative",NA
"245","Biden Defends Afghan Pullout and Declares an End to Nation-Building",NA,"positive",NA,"negative",NA
"246","Biden Defends Afghanistan Evacuation as Thousands Besiege Kabul Airport","negative","neutral",NA,"negative",NA
"247","Biden Faces a Tragedy He Pledged to Avoid","negative","negative","negative","negative",NA
"248","Biden Is Embracing Europe, but Then What? NATO and the E.U. Have Concerns.","negative",NA,NA,"negative",NA
"249","Biden Is Expected to Expand U.S.-India Relations While Stressing Human Rights",NA,"positive","positive","negative",NA
"250","Biden Names Two Obama White House Veterans to New Roles",NA,NA,NA,"negative",NA
"251","Biden Officials Open to Tightening Law Authorizing War on Terrorist Groups",NA,"negative","negative","negative",NA
"252","Biden Officials Place Hope in Taliban’s Desire for Legitimacy and Money",NA,"positive","positive","negative",NA
"253","Biden Orders Sweeping Assessment of Russian Hacking, Even While Renewing Nuclear Treaty","positive","positive",NA,"negative",NA
"254","Biden Plans to Tap Lloyd Austin, Former Iraq Commander, as Defense Secretary",NA,"neutral",NA,"negative",NA
"255","Biden Plays the Long Game as He Justifies the End of the ‘Forever War’",NA,"negative","negative","negative",NA
"256","Biden Preparing to Declare That Atrocities Against Armenia Were Genocide","negative",NA,NA,"negative",NA
"257","Biden Ran on Competence and Empathy. Afghanistan Is Testing That.","positive","positive",NA,"negative",NA
"258","Biden Rattles U.K. With His Afghanistan Policy","negative","positive",NA,"negative",NA
"259","Biden Receives Bodies of Service Members Killed in Kabul Bombing","negative",NA,"negative","negative",NA
"260","Biden Says Afghans Must ‘Decide Their Future’ as U.S. Troops Withdraw",NA,"negative",NA,"negative",NA
"261","Biden Says Troops May Stay in Kabul Longer to Assist Evacuations",NA,"positive",NA,"negative",NA
"262","Biden Says Trump ‘Surrendered’ to Coronavirus in Blistering Speech","neutral","positive",NA,"negative",NA
"263","Biden Says Withdrawing U.S. Forces From Afghanistan by May Deadline Is ‘Tough’","positive","negative",NA,"negative",NA
"264","Biden Seeks Shift in How the Nation Serves Its People",NA,"positive",NA,"negative",NA
"265","Biden Seeks Update for a Much-Stretched Law That Authorizes the War on Terrorism","negative","negative","negative","negative",NA
"266","Biden Sends Dueling Messages on Afghanistan",NA,NA,NA,"negative",NA
"267","Biden stands behind Afghan withdrawal, despite ‘hard and messy’ final days.","negative","negative","negative","negative",NA
"268","Biden Sticks to Afghan Deadline, Resisting Pleas to Extend Evacuation","negative","negative","positive","negative",NA
"269","Biden Still Wants to Close Guantánamo Prison","negative","negative","negative","negative",NA
"270","Biden Takes Two Paths to Wind Down Iraq and Afghan Wars",NA,NA,NA,"negative",NA
"271","Biden Taps Pete Buttigieg for Transportation Secretary",NA,NA,NA,"negative",NA
"272","Biden to Push Global Plan to Battle Covid as National Gaps Widen",NA,"negative","negative","negative",NA
"273","Biden to Welcome More Refugees, but Far From All Will Get In",NA,NA,NA,"negative",NA
"274","Biden to Withdraw All Combat Troops From Afghanistan by Sept. 11",NA,"negative","negative","negative",NA
"275","Biden Tours Hurricane Ida Damage in New Orleans","negative","negative","negative","negative",NA
"276","Biden Victory Brings Sighs of Relief Overseas","positive","positive",NA,"negative",NA
"277","Biden Visits Walter Reed, the Hospital That Treated Both Him and His Son",NA,"negative",NA,"negative",NA
"278","Biden Vows ‘Unshakable Partnership’ With Israel in Meeting With Bennett",NA,"positive",NA,"negative",NA
