doc_id,type,month-ended,text
94,main,5/31/2020,"By Air and Sea, Mercenaries Landed in Libya. Then the Plan Went South."
95,main,5/31/2020,How the Taliban Outlasted a Superpower: Tenacity and Carnage
96,main,5/31/2020,Longtime Pentagon Watchdog Stepping Down From Post
97,main,5/31/2020,Trump Wants Troops in Afghanistan Home by Election Day. The Pentagon Is Drawing Up Plans.
98,main,5/31/2020,Army Withdraws Nomination for Officer Involved in Deadly Niger Ambush
99,main,6/30/2020,"As Virus Toll Preoccupies U.S., Rivals Test Limits of American Power"
100,main,6/30/2020,Former Commanders Fault Trump’s Use of Troops Against Protesters
101,main,6/30/2020,The Flynn Calls: His Dismissal of Russian Interference and the Kremlin’s Savvy
102,main,6/30/2020,A Prisoner Release Stuns 2 American War Widows
103,main,6/30/2020,Trump and the Military: A Mutual Embrace Might Dissolve on America’s Streets
104,main,6/30/2020,"Milley, America’s Top General, Walks Into a Political Battle"
105,main,6/30/2020,French Military Says It Killed Top Qaeda Leader in Africa
106,main,6/30/2020,Has ‘America First’ Become ‘Trump First’? Germans Wonder
107,main,6/30/2020,Pentagon Ordered National Guard Helicopters’ Aggressive Response in D.C.
108,main,6/30/2020,"For Decades, This Radio Station Named the Dead. Few Still Listen."
109,main,6/30/2020,"Aggressive Tactics by National Guard, Ordered to Appease Trump, Wounded the Military, Too"
110,main,6/30/2020,Trump Rejects Renaming Military Bases Named After Confederate Generals
111,main,6/30/2020,U.S. to Penalize War Crimes Investigators Looking Into American Troops
112,main,6/30/2020,Graduating West Point Cadets Isolate for Two Weeks Ahead of Trump Speech
113,main,6/30/2020,Trump Made Inaccurate Claims About the Military During His West Point Speech
114,main,6/30/2020,Robert Gates Calls to Replace Base Names From ‘Dark Side of Our History’
115,main,6/30/2020,"After 13 Years on the Run, a Sudanese Militia Leader Appears in Court"
116,main,6/30/2020,Trump Administration Sues to Try to Delay Publication of Bolton’s Book
117,main,6/30/2020,Bolton Says Trump Impeachment Inquiry Missed Other Troubling Episodes
118,main,6/30/2020,Defense Secretary Will Assess How to Promote More Minorities in Military
119,main,6/30/2020,Seizing the Presidency to Suit His Own Needs
120,main,6/30/2020,The Lapses That Let a Saudi Extremist Shoot Up a U.S. Navy Base
121,main,6/30/2020,"Betraying Frustration with China, E.U. Leaders Press for Progress on Trade Talks"
122,main,6/30/2020,"Census Bureau Adds Top-Level Political Posts, Raising Fears for 2020 Count"
123,main,6/30/2020,"The Hajj Pilgrimage Is Canceled, and Grief Rocks the Muslim World"
124,main,6/30/2020,U.S. Used Missile With Long Blades to Kill Qaeda Leader in Syria
125,main,6/30/2020,"Russia Secretly Offered Afghan Militants Bounties to Kill U.S. Troops, Intelligence Says"
126,main,6/30/2020,Afghan Deaths Pile Up in Uncertainty Over U.S. Deal With Taliban
127,main,6/30/2020,Biden Still Wants to Close Guantánamo Prison
128,main,6/30/2020,Biden Criticizes Trump Over Intelligence on Russian Bounties on U.S. Troops
129,main,6/30/2020,Spies and Commandos Warned Months Ago of Russian Bounties on U.S. Troops
130,main,6/30/2020,Another Young Leader Taken. Afghans Ask: How Many More?
131,main,6/30/2020,"Trump Got Written Briefing in February on Possible Russian Bounties, Officials Say"
132,main,6/30/2020,A New Superpower Competition Between Beijing and Washington: China’s Nuclear Buildup
133,main,6/30/2020,Biden Says Trump ‘Surrendered’ to Coronavirus in Blistering Speech
134,main,6/30/2020,Father of Slain Marine Finds Heartbreak Anew in Possible Russian Bounty
135,main,6/30/2020,Suspicions of Russian Bounties Were Bolstered by Data on Financial Transfers
136,main,6/30/2020,"U.S. Calls for Indefinite Arms Embargo of Iran, but Finds No Takers"
137,main,7/31/2020,"Afghan Contractor Handed Out Russian Cash to Kill Americans, Officials Say"
138,main,7/31/2020,"Slotkin, Former Intelligence Briefer, Presses White House on Russia Reports"
139,main,7/31/2020,Trump’s New Russia Problem: Unread Intelligence and Missing Strategy
140,main,7/31/2020,"White House Dismisses Reports of Bounties, but Is Silent on Russia"
141,main,7/31/2020,Bounties Uproar Casts a Shadow Over a Rare Trump Foreign Policy Achievement
142,main,7/31/2020,"As Neo-Nazis Seed Military Ranks, Germany Confronts ‘an Enemy Within’"
143,main,7/31/2020,New Administration Memo Seeks to Foster Doubts About Suspected Russian Bounties
144,main,7/31/2020,"Russia Denies Paying Bounties, but Some Say the U.S. Had It Coming"
145,main,7/31/2020,‘Strategic Empathy’: How Biden’s Informal Diplomacy Shaped Foreign Relations
146,main,7/31/2020,Congress Presses Military Leaders on Suspected Russian Bounties
147,main,7/31/2020,First Woman Joins Green Berets After Graduating From Special Forces Training
148,main,7/31/2020,"In a Death, Details of More Russian Murder-for-Hire Plots"
149,main,7/31/2020,"How Russia Built a Channel to the Taliban, Once an Enemy"
150,main,7/31/2020,"Inside the White House, a Gun Industry Lobbyist Delivers for His Former Patrons"
151,main,7/31/2020,"Taliban Stage a Major Attack, as Violence Intensifies in Northern Afghanistan"
152,main,7/31/2020,U.S. Says Most of China’s Claims in South China Sea Are Illegal
153,main,7/31/2020,"Three Marines, Now Focus of Russian Bounties Investigation, Show the Costs of an Endless War"
154,main,7/31/2020,"$174 Million Afghan Drone Program Is Riddled With Problems, U.S. Report Says"
155,main,7/31/2020,Father Soldier Son
156,main,7/31/2020,India Offers Escape to Afghan Hindus and Sikhs Facing Attacks
157,main,7/31/2020,At Least 60 Migrants Killed in Turkish Boat Disaster
158,main,7/31/2020,"For Women in Afghan Security Forces, a Daily Battle"
159,main,7/31/2020,"Republicans Heap Criticism on Liz Cheney, Calling Her Disloyal to Trump"
160,main,7/31/2020,Rise in Virus Cases Near Bases in U.S. and Abroad Poses Test for Military
161,main,7/31/2020,"Senate Kills Broad Curbs on Military Gear for Police, Thwarting Push to Demilitarize"
162,main,7/31/2020,"The Virus Found a Crowded Houston Neighborhood, Sparing One Nearby"
163,main,7/31/2020,A Girl’s Heroic Battle Against the Taliban Was Also a Family Feud
164,main,7/31/2020,"In Afghan Attacks, Facts Are Murky. But It’s Clear Deaths Are Piling Up."
165,main,7/31/2020,Officials Push U.S.-China Relations Toward Point of No Return
166,main,7/31/2020,"Taliban Executes Female Prison Guard, and U.N. Raises Concern Over Afghan Violence"
167,main,7/31/2020,Democrats Investigating Why White House Ended Ban on Some Gun Silencer Sales
168,main,7/31/2020,"Taliban Announce Brief Cease-Fire, as Afghan Peace Talks Look Imminent"
169,main,7/31/2020,Trump Says He Did Not Ask Putin About Suspected Bounties to Kill U.S. Troops
170,main,7/31/2020,"U.S. Will Cut 12,000 Forces in Germany"
171,main,7/31/2020,A Rarely Seen Weapon Destroys a Helicopter in Afghanistan
172,main,7/31/2020,"Border Clashes With Pakistan Leave 15 Afghan Civilians Dead, Officials Say"
173,main,7/31/2020,Motorist Who Shot a Protester in Austin Claims Self-Defense
174,main,7/31/2020,"Trump Still Defers to Putin, Even as He Dismisses U.S. Intelligence and the Allies"
175,main,8/31/2020,Body Bags and Enemy Lists: How Far-Right Police Officers and Ex-Soldiers Planned for ‘Day X’
176,main,8/31/2020,Militants Attack Afghan Prison as Brief Cease-Fire Expires
177,main,8/31/2020,29 Dead After ISIS Attack on Afghan Prison
178,main,8/31/2020,"More U.S. Troops Will Leave Afghanistan Before the Election, Trump Says"
179,main,8/31/2020,Pompeo Warned Russia Against Bounties on U.S. Troops in Afghanistan
180,main,8/31/2020,"Afghanistan to Release Last Taliban Prisoners, Removing Final Hurdle to Talks"
181,main,8/31/2020,Trump v. Putin: A Vaccine Manhood Contest
182,main,8/31/2020,U.S. Contractor Knew of Explosive Material in Beirut Since at Least 2016
183,main,8/31/2020,Afghanistan to Investigate Video Showing Forces Mutilating Taliban Corpses
184,main,8/31/2020,Pompeo Says He and Military Warned Russia on Bounties for Killing U.S. Troops
185,main,8/31/2020,Rebel Poet’s Death Leaves 40 Years of Epic Afghan Work Unfinished
186,main,8/31/2020,"Much Changed World, Same Joe Biden Seeking to Undo What Trump Has Done"
187,main,8/31/2020,Top Republican National Security Officials Say They Will Vote for Biden
188,main,8/31/2020,"With Delay in Afghan Peace Talks, a Creeping Sense of ‘Siege’ Around Kabul"
189,main,8/31/2020,"Afghan Soccer Official, Charged With Sexual Abuse, Evades Arrest"
190,main,8/31/2020,Africa Celebrates the End of the Wild Poliovirus (but Not the End of All Polio)
191,main,8/31/2020,Nearly 80 Killed as Flash Floods Ravage City in Afghanistan
192,main,8/31/2020,‘I Lost Everyone’: Floods Bruise a War-Weary Afghanistan
193,main,8/31/2020,G.O.P. Convention Skims Over Trump’s ‘Unfinished Business’ in Foreign Policy
194,main,8/31/2020,New Zealand Gives Christchurch Killer a Record Sentence
195,main,8/31/2020,"Biden, Speaking to National Guard Group, Takes Aim at Republican Criticism on Crime"
196,main,8/31/2020,C.I.A. Uncensors Memoir of F.B.I. Agent Who Protested Torture of Terrorists
197,main,8/31/2020,‘A Hail Mary’: Psychedelic Therapy Draws Veterans to Jungle Retreats
198,main,8/31/2020,"Taliban Violated Afghan Deal With Shelling of American Bases, U.S. Officials Say"
199,main,8/31/2020,"The Few, the Proud, the White: The Marine Corps Balks at Promoting Generals of Color"
200,main,9/30/2020,U.S.-Russia Military Tensions Intensify in the Air and on the Ground Worldwide
201,main,9/30/2020,U.S.-Russia Military Tensions Intensify in the Air and on the Ground Worldwide
202,main,9/30/2020,"After Afghan Women Asked #WhereIsMyName, a Small Victory"
203,main,9/30/2020,Afghan Peace Talks Set to Begin as Prisoner Swap Is Nearly Done
204,main,9/30/2020,"After Report That Trump Disparaged War Dead, Democrats See Chance to Win Over Military Voters"
205,main,9/30/2020,"After Report That Trump Disparaged War Dead, Democrats See Chance to Win Over Military Voters"
206,main,9/30/2020,"As Others Condemn Putin Critic’s Poisoning, Trump Just Wants to ‘Get Along’"
207,main,9/30/2020,Trump Faces Uproar Over Reported Remarks Disparaging Fallen Soldiers
208,main,9/30/2020,Trump Says He Will Reverse Pentagon Plan to Close Newspaper That Informs and Speaks for Troops
209,main,9/30/2020,"John Kelly, at Center of Report on Trump Disparaging U.S. Soldiers, Keeps Silent"
210,main,9/30/2020,"Fighting Patriarchy, and Fearing Worse From the Taliban"
211,main,9/30/2020,Joe Biden’s China Journey
212,main,9/30/2020,Will Doug Emhoff’s Legal Career Be an Issue for the Biden-Harris Ticket?
213,main,9/30/2020,A Striking Reversal: Trump’s Attacks on the Military and Defense Contractors
214,main,9/30/2020,"Afghan Vice President, Staunch Opponent of Taliban, Survives Blast"
215,main,9/30/2020,"Fire Destroys Most of Europe’s Largest Refugee Camp, on Greek Island of Lesbos"
216,main,9/30/2020,"U.S. to Reduce Troop Levels in Iraq to 3,000"
217,main,9/30/2020,Afghan Peace Talks Begin This Week. Here’s What to Know.
218,main,9/30/2020,Pandemic Collides With Europe’s Migrant Crisis to Set Off a Calamity in Greece
219,main,9/30/2020,Veterans Fortify the Ranks of Militias Aligned With Trump’s Views
220,main,9/30/2020,"Afghanistan Peace Talks Open in Qatar, Seeking End to Decades of War"
221,main,9/30/2020,"Mandela, Gorbachev, Trump? A Disruptive President Plays Peacemaker"
222,main,9/30/2020,"After Fire Razes Squalid Greek Camp, Homeless Migrants Fear What’s Next"
223,main,9/30/2020,War Crime Risk Grows for U.S. Over Saudi Strikes in Yemen
224,main,9/30/2020,"As U.N. Turns 75, the Celebration Is Muted by Calamity and Conflict"
225,main,9/30/2020,"Germany to Take In 1,500 Refugees, Easing Burden on Greece After Fires"
226,main,9/30/2020,"To Get to Afghan Talks, Lots of Last-Minute Deals — and Nose Swabs"
227,main,9/30/2020,Police Move Migrants From Greek Camp to Temporary Lesbos Site After Fires
228,main,9/30/2020,"After Fire at Refugee Camp, Europe Faces a Reckoning"
229,main,9/30/2020,U.S. Sending More Troops to Syria to Counter the Russians
230,main,9/30/2020,Ruth Bader Ginsburg Dies: This Week in the 2020 Race
231,main,9/30/2020,U.S. Reimposes U.N. Sanctions on Iran Over Objections of World Powers
232,main,9/30/2020,He Killed 2 Marines in 2011. It Almost Derailed Peace Talks This Month.
233,main,9/30/2020,Trump Demands U.N. Hold China to Account for Coronavirus Pandemic
234,main,9/30/2020,E.U. Offers Cash and More Deportations in New Plan for Migrants
235,main,9/30/2020,U.S. Commandos Use Secretive Missiles to Kill Qaeda Leaders in Syria
236,main,9/30/2020,"At Pentagon, Fears Grow That Trump Will Pull Military Into Election Unrest"
237,main,9/30/2020,Her Study Center Was Bombed. She Still Topped Afghanistan’s National University Exam.
238,main,9/30/2020,"As Covid-19 Closes Schools, the World’s Children Go to Work"
239,main,9/30/2020,"In Proud Corners of Afghanistan, New Calls for Autonomy"
240,main,10/31/2020,"McMaster, Mostly Silent Until Now, Says Trump Is ‘Aiding and Abetting Putin’s Efforts’"
241,main,10/31/2020,"For Veterans, Bonds Forged in Battle Are Tested by 2020’s Rancor"
242,main,10/31/2020,"At Afghan Peace Talks, Hoping to End Their Fathers’ War"
243,main,10/31/2020,"Instead of Reassurance, Trump’s Doctor Delivers Confusion, Experts Say"
244,main,10/31/2020,Kyrgyzstan in Chaos After Protesters Seize Government Buildings
245,main,10/31/2020,Trump Suggests Gold Star Families May Be to Blame for His Infection
246,main,10/31/2020,"U.S. Seeks to Draw Down Its Troops in Afghanistan to 2,500 by Early 2021"
247,main,10/31/2020,Virus Takes Center Stage as Pence and Harris Skirmish in Debate
248,main,10/31/2020,An Afghan Boy’s Rape and Death Prompt a Rare Response: Arrests
249,main,10/31/2020,Trump Lashes Out at His Cabinet With Calls to Indict Political Rivals
250,main,10/31/2020,Trump’s Campaign Talk of Troop Withdrawals Doesn’t Match Military Reality
251,main,10/31/2020,"In Former Taliban Stronghold, Defiant Women Hit the Gym"
252,main,10/31/2020,Top General Declines to Endorse Trump’s Afghan Withdrawal Timeline
253,main,10/31/2020,He Built a Trump Statue and Worshiped It. Then He Collapsed.
254,main,10/31/2020,Trump’s Tweets on Troop Withdrawals Unnerve Pentagon
255,main,10/31/2020,This Ex-Taliban Commander Is Now the Face of Afghan Security
256,main,10/31/2020,When Armed Vigilantes Are Summoned With a Few Keystrokes
257,main,10/31/2020,"A Storied Female Warlord Surrenders, Taliban Say, Exposing Afghan Weakness"
258,main,10/31/2020,Refugees Who Assisted the U.S. Military Find the Door to America Slammed Shut
259,main,10/31/2020,Trump’s Sanctions on International Court May Do Little Beyond Alienating Allies
260,main,10/31/2020,"‘If There Were No Hashish Here, You Wouldn’t See a Single House’"
261,main,10/31/2020,U.S. Diplomats and Spies Battle Trump Administration Over Suspected Attacks
262,main,10/31/2020,Demand for Pakistan Visas Sets Off Deadly Stampede in Afghanistan
263,main,10/31/2020,A Radical Cleric Ignites an Islamist Resistance in Afghanistan
264,main,10/31/2020,Grenell Pursued Talks Over Change of Power in Venezuela
265,main,10/31/2020,A Trump Victory May Push His Defense Secretary Out an Open Door
266,main,10/31/2020,Libya Cease-Fire Raises Hopes for Full Peace Deal
267,main,10/31/2020,Deadly Explosion Hits Kabul Tutoring Center
268,main,10/31/2020,Joe Biden Had Close Ties With Police Leaders. Will They Help Him Now?
269,main,10/31/2020,"Swing-District Democrats, Defying Predictions, Poised to Help Keep House"
270,main,10/31/2020,Al Qaeda Feels Losses in Syria and Afghanistan but Stays Resilient
271,main,10/31/2020,Blast at Pakistani Religious School Kills at Least 8
272,main,10/31/2020,How an Afghan Political Crisis Derailed Payments to War Victims
273,main,10/31/2020,"After 12 Years, Arrest Made in Abduction of Former Times Journalist David Rohde"
274,main,10/31/2020,An Ancient Hill and Forgotten Dead: Afghanistan’s Haunted Outpost
275,main,11/30/2020,"Gunmen Storm Kabul University, Killing at Least 19"
276,main,11/30/2020,Deadly School Assault Catapults Kabul into Even More Despair
277,main,11/30/2020,"Robert Fisk, Intrepid War Correspondent, Dies at 74"
278,main,11/30/2020,A Transfixed World Awaits What’s Next in America
279,main,11/30/2020,‘It’s Like Falling in Love’: Israeli Entrepreneurs Welcomed in Dubai
280,main,11/30/2020,Biden Victory Brings Sighs of Relief Overseas
281,main,11/30/2020,"String of Attacks Have People in Kabul Pointing a Finger, at the Government"
282,main,11/30/2020,Europe Lauds Biden but Wonders: What Will He Want? How Long Will He Stay?
283,main,11/30/2020,Strong Turnout in Myanmar Shows Voters’ Support for Nascent Democracy
284,main,11/30/2020,The End of ‘America First’: How Biden Says He Will Re-engage With the World
285,main,11/30/2020,"Trump Fires Mark Esper, Defense Secretary Who Opposed Use of Troops on U.S. Streets"
286,main,11/30/2020,An Obama Restoration on Foreign Policy? Familiar Faces Could Fill Biden’s Team
287,main,11/30/2020,He Sidestepped Pompeo and Got Slapped Down. Now He’s the New Pentagon Chief.
288,main,11/30/2020,Who Will Fill Biden’s Cabinet?
289,main,11/30/2020,Nobel Peace Prize: A Growing List of Questionable Choices
290,main,11/30/2020,Trump Stacks the Pentagon and Intel Agencies With Loyalists. To What End?
291,main,11/30/2020,"U.S. Troops Are Still Leaving, but Afghans Hope Biden Will Help"
292,main,11/30/2020,Trump Pentagon Purge Could Accelerate His Goal to Pull Troops From Afghanistan
293,main,11/30/2020,"Al Qaeda’s No. 2, Accused in U.S. Embassy Attacks, Was Killed in Iran"
294,main,11/30/2020,It Took a Century to Open a Mosque in Athens. Then Came the Pandemic.
295,main,11/30/2020,"Joanna Harcourt-Smith, 74, Dies; Lived a ‘Psychedelic Love Story’"
296,main,11/30/2020,Want a Preview of President Biden? Look to the Campaign Trail
297,main,11/30/2020,"Trump Is Said to Be Preparing to Withdraw Troops From Afghanistan, Iraq and Somalia"
298,main,11/30/2020,Asylum Seeker Who Lost His Son on Trek to Greece Is Charged in His Death
299,main,11/30/2020,Somalia Worries That a U.S. Withdrawal Will Be Disastrous
300,main,11/30/2020,"U.S. Troops Are Packing Up, Ready or Not"
301,main,11/30/2020,Blood Lust and Demigods: Behind an Australian Force’s Slaughter of Helpless Afghans
302,main,11/30/2020,"As Pompeo Prepared to Meet Afghan Warring Parties, New Attack Struck Kabul"
303,main,11/30/2020,"For Netanyahu and Israel, Trump’s Gifts Kept on Coming"
304,main,11/30/2020,Trump Using Last Days to Lock In Policies and Make Biden’s Task More Difficult
305,main,11/30/2020,"Where the Pomegranate Harvest Is Life, the Taliban Brought Ruin"
306,main,11/30/2020,‘I Forget About the World:’ Afghan Youth Find Escape in a Video Game
307,main,11/30/2020,"Biden Will Nominate First Women to Lead Treasury and Intelligence, and First Latino to Run Homeland Security"
308,main,11/30/2020,Donors Pledge Less Aid to Afghanistan During a Violent Chapter
309,main,11/30/2020,Outcry in France After Police Clear Paris Migrant Camp
310,main,11/30/2020,Biden’s National Security Team Offers a Sharp Turn. But in Which Direction?
311,main,11/30/2020,C.I.A. Officer Is Killed in Somalia
312,main,11/30/2020,"Casualties From Banned Cluster Bombs Nearly Doubled in 2019, Mostly in Syria"
313,main,11/30/2020,"Casualties From Banned Cluster Bombs Nearly Doubled in 2019, Mostly in Syria"
314,main,11/30/2020,"A Mother, Her Son — and Their 1,500-Mile Search for Home"
315,main,11/30/2020,Australian Military Moves to Dismiss Soldiers After Killings in Afghanistan
316,main,11/30/2020,Pentagon Chief Visits Somalia Ahead of Expected Troop Cuts
317,main,11/30/2020,"Afghan Leader Digs In on Peace Talks Despite Progress, Officials Say"
318,main,11/30/2020,Australia Condemns Lurid Tweet by Chinese Official as ‘Disgusting Slur’
319,main,12/31/2020,Another Official Is Ousted From the Pentagon
320,main,12/31/2020,"The World in a Vise: Sounding the Alarm on China, Then Running for Shelter"
321,main,12/31/2020,Afghan and Taliban Negotiators Agree on Peace Talks’ Procedures
322,main,12/31/2020,U.S. Hopes a Small Step in Easing a Mideast Rivalry Could Further Rattle Iran’s Economy
323,main,12/31/2020,"Feeling Spurned by Trump, U.N. Sees Redemption in Biden and Team"
324,main,12/31/2020,Trump Orders All American Troops Out of Somalia
325,main,12/31/2020,"Suhaila Siddiq, Afghanistan’s First Female General, Is Dead"
326,main,12/31/2020,"Biden Plans to Tap Lloyd Austin, Former Iraq Commander, as Defense Secretary"
