"","print_text","bing_score","nrc_score","afinn_score","final_sentiment","congruence"
"38","29 Are Dead in 2-Day Islamic State Raid on Afghan Prison",-2,-6,-5,"negative",TRUE
"39","Militants Kill 4 Pakistani Aid Workers in District Near Afghan Border",-1,-2,-3,"negative",TRUE
"40","Table Is Set For a Pullout And Talks",NA,NA,NA,NA,NA
"41","Trudeau Absorbs Attacks In the Election Debates Among Five Candidates",-1,NA,-1,"negative",TRUE
"42","New Wave of Refugees Faces A Much Chillier U.S. Welcome",NA,NA,NA,NA,NA
"43","98 Countries Pledge to Accept Afghans After U.S. Departure",NA,1,1,"positive",TRUE
"44","Boy, 17, Died in Fall From U.S. Plane",-2,-2,-3,"negative",TRUE
"45","Rescue Flight To Germany Inspires Name For Newborn",NA,5,4,"positive",TRUE
"46","E.U. Tries to Tread Line In Greek-Turkish Clash On Admitting Migrants",-1,-2,-2,"negative",TRUE
"47","Marines Put Black Leader In Charge Of Top Unit",1,5,2,"positive",TRUE
"48","Canada Opens to Vaccinated, But It’s a Trickle at the Border",NA,NA,NA,NA,NA
"49","A Botched U.S. Drone Strike in Kabul Started With the Wrong Car",-2,-4,-3,"negative",TRUE
"50","A Call for the Return of Civility, And Truth as a Guiding Light",1,3,NA,"positive",TRUE
"51","‘I Was Drugged and Raped,’ Heard in a Candidate’s #MeToo-Tinged Ad",-1,-1,NA,"negative",TRUE
"52","A City’s Last Defenders as the Taliban Closes In",NA,NA,2,"positive",NA
"53","Worried About His Students, College President Moves Into the Dorms",-1,0,-3,"negative",FALSE
"54","Public Apathy and Conspiracy Theories Are Feeding a Second Wave",-2,-1,-6,"negative",TRUE
"55","A Desperate Evacuation of Afghan Nonprofit Workers",-1,-2,-3,"negative",TRUE
"56","A ‘Digital Dunkirk’: U.S. Veterans Scramble to Help Afghan Allies",-1,NA,NA,"negative",NA
"57","An Officer’s Double Life Puts Germany on Trial",NA,NA,NA,NA,NA
"58","Fragile Cease-Fire in Afghanistan Lets Muslims Risk Travel for Holiday",-2,-2,-4,"negative",TRUE
"59","A Town Warily Considers a Future Without a Large U.S. Presence",-1,1,NA,"neutral",FALSE
"60","Behind a Girl’s Gunfight With the Taliban: A Family Feud",NA,-2,NA,"negative",NA
"61","Grim New Reality for Afghan Women and Girls",-1,-4,NA,"negative",TRUE
"62","Scenes From the Fall of a City, And a Farewell to Hopeful Days",0,3,2,"positive",FALSE
"63","Millions of Afghans Are in Peril As Food Runs Out, U.N. Warns",-1,1,-4,"negative",FALSE
"64","Empty Pockets and No Home After 1,500 Miles",NA,NA,-1,"negative",NA
"65","How Kyiv Rescued 96 Afghans. Nerves of Steel Helped.",1,NA,1,"positive",TRUE
"66","Away From Buckingham Palace but Not Out of the Spotlight",NA,NA,NA,NA,NA
"67","U.S. Officials Warn Russia Of China’s Nuclear Threat",-1,-2,-4,"negative",TRUE
"68","Man Who Shot U.S. Advisers Is Set Free In Afghanistan",1,-3,1,"negative",FALSE
"69","Extremist Cleric Is a Reminder of Taliban Rule, and Perhaps a Preview",-1,0,NA,"negative",FALSE
"70","An Anti-Tank Guided Missile  Strikes an Afghan Helicopter For the 2nd Time This Year",-1,0,-2,"negative",FALSE
"71","Urban Climbing Calmed His PTSD, but May Land Him in Prison",-1,-3,0,"negative",FALSE
"72","U.S. Lawmakers Balk Over Secret Benchmarks Within Taliban Peace Accord",0,6,2,"positive",FALSE
"73","Return Mission Finds Ruins of Failed U.S. Policy",-2,1,-4,"negative",FALSE
"74","Taliban Claims to Defeat Revered Female Warlord, Seizing Propaganda Win",1,-2,4,"positive",FALSE
"75","Stranded Interpreter, Increasingly in Danger, And His U.S. Soldiers",-1,-4,-2,"negative",TRUE
"76","President Says Military Fuels War Industry. Pentagon Erupts.",NA,-1,-2,"negative",TRUE
"77","He Fled Afghanistan, And Headed for Open Water",NA,-1,NA,"negative",NA
"78","Women Warned to Stay  Home to Avoid Fighters",-1,-1,-3,"negative",TRUE
"79","Top Democrat Doesn’t Want Troops to Quit Afghanistan",1,2,2,"positive",TRUE
"80","A Top Woman in Canada’s Military Issues a Rebuke",-1,1,2,"positive",FALSE
"81","A Transfixed World Awaits What’s Next in America",NA,NA,-1,"negative",NA
"82","Awaiting Term’s End, Defense Secretary Is Already Acting Like an Ex-Official",NA,1,NA,"positive",NA
"83","A Pennsylvania Town Exhales at a War’s End",NA,NA,NA,NA,NA
"84","Afghan Bases Fall to Taliban as U.S. Heads Out",-1,-2,NA,"negative",TRUE
"85","After Week Under New Rulers,  Kunduz May Be Hint of Future",NA,NA,NA,NA,NA
"86"," The Year in Pictures: Scenes From a Defining Era",NA,NA,NA,NA,NA
"87","McMaster Was Said to Be Target In Plot to Vilify Trump ‘Enemies’",-2,1,-2,"negative",FALSE
"88","Lonely Quest To Repudiate Trump Wing",-1,-2,-2,"negative",TRUE
"89","Afghans Agree  With Taliban  On Procedure  For Peace Talks",1,5,3,"positive",TRUE
"90","Afghan Attack Kills 27 In Sign Peace Deal Is Off",-1,6,-2,"positive",FALSE
"91","Afghan Civilian Deaths Soar, Monitors Say",NA,NA,NA,NA,NA
"92","Afghan Civilian Casualties Rose After Peace Talks’ Start",1,5,2,"positive",TRUE
"93","Afghan Contractor Gave Out Russian Cash, Officials Say",NA,2,NA,"positive",NA
"94","Despite Peace Deal, Violence in Afghanistan Surges",1,5,-1,"positive",FALSE
"95","In Kabul, Kin Say 10 Died  In Errant Hit By U.S. Drone",-2,-4,-3,"negative",TRUE
"96","Afghan Fiasco Shows Fault Lines in NATO",-2,-4,-3,"negative",TRUE
"97","Afghanistan  Files Brief For Return  Of Detainee",NA,-3,NA,"negative",NA
"98","Afghan Journalist Is Killed in Latest Attack on Media",-2,-2,-4,"negative",TRUE
"99","Afghan Leader Hampers Peace Talks, Officials Say",1,6,2,"positive",TRUE
"100","Media Clampdown Stifles Data on Afghan War Deaths",NA,-2,-2,"negative",TRUE
"101","First Stumble on Road To Peace Deal: Release Of Taliban Prisoners",0,8,0,"positive",FALSE
"102","Afghanistan And Taliban Set to Begin Peace Talks",1,4,2,"positive",TRUE
"103","Afghan Talks Set to Begin  As Prisoner Swap Finishes",-1,-5,-2,"negative",TRUE
"104","Ally Pilots Who Had Escaped to Safety In Uzbekistan Are Taken to U.S. Base",NA,2,1,"positive",TRUE
"105","Afghans’ Power-Sharing Accord  Honors Official Accused in Rape",-1,-5,-6,"negative",TRUE
"106","Afghan Security Fears Mount As Leader’s Influence Withers",-1,0,NA,"negative",FALSE
"107","In a Reversal, Afghanistan’s Leader Agrees to a Phased Release of Taliban Fighters",NA,0,1,"positive",FALSE
"108","Taliban Pulls Out of Talks as Prisoner Swap Collapses, Imperiling U.S. Deal",-1,0,-4,"negative",FALSE
"109","A 1,400-Mile Trek to Turkey Only to Be Told to Turn Back",NA,NA,NA,NA,NA
"110","Afghan Rivals Divide Power, Ending Fight Over Election",NA,-3,-1,"negative",TRUE
"111","For the First Time Since 2018, the Taliban Agree to a Cease-Fire With Afghan Forces",NA,1,-1,"neutral",FALSE
"112","Soccer Official Evades Arrest By Afghan Forces for Assault",-1,-3,-2,"negative",TRUE
"113","Uyghurs Fear Taliban Will Deport Them to China",-1,-6,-2,"negative",TRUE
"114","Afghan Vice President, Staunch Taliban Foe, Survives Blast That Kills 10",-2,-3,-3,"negative",TRUE
"115","221 Afghans Arrive in U.S. As Visa Evacuations Begin",NA,1,NA,"positive",NA
"116","With Much to Lose, Afghan Women Fear Stifling Return to Past",-3,-7,-2,"negative",TRUE
"117","Afghanistan Before the Fall",-1,-2,NA,"negative",TRUE
"118","Two Major Cities on Brink of Takeover",NA,1,NA,"positive",NA
"119","Collapse of Afghanistan And Strikes in Somalia Raise Questions on Drones",-2,-4,-3,"negative",TRUE
"120","Afghans Say Iran Killed Dozens of Migrants",-1,NA,-3,"negative",TRUE
"121","Afghanistan Peace Talks Open, Seeking to End 40 Years of Bloodshed",0,0,2,"positive",FALSE
"122","Afghanistan to Investigate Film Of Mutilation of Taliban Bodies",NA,-4,NA,"negative",NA
"123","Afghan Council Agrees to Release Taliban Prisoners",NA,3,-1,"positive",FALSE
"124","A Mission Shift for Afghanistan",NA,NA,NA,NA,NA
"125","U.S. Afghan Departure Strikes Another Blow To American Credibility",-1,0,-1,"negative",FALSE
"126","Afghans Flee to Pakistan.  Uncertain Future Awaits.",-2,-5,-2,"negative",TRUE
"127","Desperate Afghans Flee Home, Taking Grim Jobs in Istanbul",-3,-7,-3,"negative",TRUE
"128","Stranded and Afraid, Afghans Who Worked for U.S. Seek Any Way Out",-1,-2,-2,"negative",TRUE
"129","After 2 Decades of Turmoil, Afghans Face Still More Uncertainty",-1,-4,NA,"negative",TRUE
"130","Africa Cheers As Wild Polio Is Eradicated",-1,-3,2,"negative",FALSE
"131","Black Troops Fight at the Front, But Rarely Get Jobs at the Top",1,0,1,"positive",FALSE
"132","Taliban Leader Faces Charges In Abduction Of Journalist",NA,1,-4,"negative",FALSE
"133","Sudanese Militia Leader, a Fugitive for 13 Years, Appears in Court",-1,-7,NA,"negative",TRUE
"134","Will Truce Lead to Lasting Peace? For Trump, It May Not Matter",3,9,3,"positive",TRUE
"135","‘He’s a Coward’: Ghani’s Exit Infuriates His Countrymen",-1,-4,-4,"negative",TRUE
"136","Afghan Women Celebrate a Small Victory",2,4,3,"positive",TRUE
"137","Family That Worked With U.S. Buries a Father and Their Hopes",NA,1,2,"positive",TRUE
"138","For Biden Nominee, a Chance to Use Soft Power to Ease Global Conflicts",1,2,2,"positive",TRUE
"139","3 Women Take Lead Roles On Capitol Security Team",1,2,NA,"positive",TRUE
"140","As Capitols Become Citadels, Far-Right Protesters Are Mostly No-Shows",NA,NA,-2,"negative",NA
"141","An ISIS Offshoot Claims Responsibility As Terror Groups Find a New Foothold",-1,-1,-3,"negative",TRUE
"142","Migrant Fatigue Grips an Apathetic Europe",-2,-3,-5,"negative",TRUE
"143","Their Camp in Ashes, Refugees Fear It Will Be Rebuilt",-1,-5,-2,"negative",TRUE
"144","After Swift Victory, Taliban Scramble to Govern",1,7,2,"positive",TRUE
"145","Democrats See a Chance To Earn Military Votes",NA,1,2,"positive",TRUE
"146","Democrats See a Chance To Earn Military Votes",NA,1,2,"positive",TRUE
"147","After 9/11, Boston Sought Someone to Fault. It Settled on Her.",-1,-2,NA,"negative",TRUE
"148","U.S. Enters ‘Cooperative’ Phase With Taliban, Drawing Criticism From All Sides",0,-1,-2,"negative",FALSE
"149","Troops Shaken By War Tactics In City Streets",NA,-2,-2,"negative",TRUE
"150","For the Aid Workers Still in Afghanistan, Hurdles at Every Turn",NA,1,NA,"positive",NA
"151","Al Qaeda Suffers Losses to Leadership, Yet Remains Resilient",-1,0,-2,"negative",FALSE
"152","Qaeda’s No. 2  Killed in August  In Iran Capital ",-1,1,-3,"negative",FALSE
"153","Biden Saw Afghan Choice As Either All In, or All Out",NA,1,NA,"positive",NA
"154","America’s Afghan War: Drawing Down an Unwinnable Conflict",-1,-6,-4,"negative",TRUE
"155","‘It Shakes the World’: Allies Voice Shock and Dismay at Incursion",-2,-6,-2,"negative",TRUE
"156","College Students Dodging Taliban  Are Left Behind, Fearing for Lives",NA,-2,-4,"negative",TRUE
"157","Americans Held in Iran And Lebanon Are Freed",1,NA,NA,"positive",NA
"158","With Masks at Beaches, Nation Marks Muted Holiday",NA,4,NA,"positive",NA
"159","The Welcome Mat Is Out for Afghan Refugees",NA,NA,NA,NA,NA
"160","Leaning on ‘Powerful’ and ‘Strong,’ Trump Has No Words for Grief",2,-1,2,"positive",FALSE
"161","Kabul Bombing Derails C.I.A.’s Pivot Away From Counterterrorism",NA,2,-2,"neutral",FALSE
"162","Amid Tensions With U.S., Erdogan Meets With Putin to Talk Military Deals",NA,0,NA,"neutral",NA
"163","Americans Mourn 13 Fallen Troops In Final Days of War in Afghanistan",-2,-4,-6,"negative",TRUE
"164","Rare Response to Accusations Afghan Boy Was Fatally Raped: Arrests",-3,NA,-4,"negative",TRUE
"165","China Takes Message on the Road, Challenging U.S. for Global Leader Role",-1,2,NA,"positive",FALSE
"166","‘It Makes My Hair Stand Up’: A Vacated Afghan Post Haunts Marines",NA,NA,-1,"negative",NA
"167","A Soviet Echo  As Forces Flee Over a Bridge",-1,-2,NA,"negative",TRUE
"168","Ex-Green Beret at Center  Of Failed Venezuela Plot",-2,5,-2,"positive",FALSE
"169","Some on Left Fear Biden’s Situation Room May Look a Lot Like Obama’s",-1,-3,-2,"negative",TRUE
"170","An Old Legal Doctrine Puts War Crime Suspects Within the Reach of Justice",-1,1,-2,"negative",FALSE
"171","Leader of ISIS Task Force Ousted in Pentagon Purge",NA,-2,NA,"negative",NA
"172","Afghan Car Bomb Dims Another Promising Light",0,-2,-1,"negative",FALSE
"173","Pentagon Panel Overturns Army Judge’s Ruling on Use of Torture for Evidence",-1,-4,-4,"negative",TRUE
"174","Arizona’s Embattled Governor Joins G.O.P. Anti-Mask Cause",-1,1,-1,"negative",FALSE
"175","Armed Attackers Kidnap and Kill 11 Miners in Pakistan",-1,-8,-3,"negative",TRUE
"176","Promotion Pulled for Officer Over Niger Ambush",-1,1,NA,"neutral",FALSE
"177","3 Afghan Cities  Fall to Taliban",-1,-2,NA,"negative",TRUE
"178","In Kabul, High Tension and an Air of Unreality",-1,-1,-1,"negative",TRUE
"179","As Afghan Refugee Crisis Unfolds, Koreans Recall ‘Miracle’ Evacuation",0,2,1,"positive",FALSE
"180","20 Years Ago, a Lone U.S. Representative Warned Against ‘Perpetual War’",-2,-2,-4,"negative",TRUE
"181","A Pivotal Reset On China Policy By Biden’s Team",NA,2,NA,"positive",NA
"182","As Biden Faces Political Crisis, the Democratic Party Looks On in Alarm",-2,-2,-5,"negative",TRUE
"183","Facing a More Skeptical U.S., Erdogan Tempers His Defiant Tone",-2,-3,-3,"negative",TRUE
"184","Virus Closed Schools, and World’s Poorest Children Went to Work",-2,-1,-2,"negative",TRUE
"185","As Taliban Stoke Fear, Multitudes Flee Afghanistan",-2,-5,-2,"negative",TRUE
"186","Democrats’ Strategy on Debt Ceiling: Discredit McConnell",-2,-3,-2,"negative",TRUE
"187","Diversity Push Inside Military Spurs Backlash",NA,-1,NA,"negative",NA
"188","As a Crisis in Afghanistan  Is Growing Dire, Aid Groups  Are Pleading for Assistance",-2,-2,-5,"negative",TRUE
"189","German Force  Fears Inroads  By Neo-Nazis",-1,-3,NA,"negative",TRUE
"190","As Others Condemn Dissident’s Poisoning, Trump Just Wants to ‘Get Along’",0,-3,-2,"negative",FALSE
"191","U.S. Strengthens Its Warning on Travel",-1,-1,-1,"negative",TRUE
"192","Pompeo Sees Negotiators Just After Kabul Attack",-1,-3,-1,"negative",TRUE
"193","Family of Saudi Ex-Officer Who Is Hiding in Canada Became a Target at Home",NA,1,-1,"neutral",FALSE
"194","As Taliban Advance, U.S. Clings to Hope for Peace",1,12,4,"positive",TRUE
"195","Signal as U.S. Mission Ends: You’re on Your Own",NA,NA,NA,NA,NA
"196","As Taliban Crush Dissent, New Leaders Face Cascading Challenges",-2,NA,-1,"negative",TRUE
"197","Pressure on Pakistan as Taliban Advance",NA,2,-1,"positive",FALSE
"198","Reports of Detentions and Executions Despite Taliban Vow of Amnesty",NA,6,NA,"positive",NA
"199","Last Stand in Exit Plan Is Kabul Airport Security",NA,2,NA,"positive",NA
"200","The United Nations Turns 75 Amid Calamity and Conflict",-2,-3,-1,"negative",TRUE
"201","As U.S. Exits Afghanistan, History Implies It May Have to Return",NA,NA,NA,NA,NA
"202","U.S. Troops’ Afghan Exit Ties Embassy’s Fate to a Fragile Peace Process",0,1,2,"positive",FALSE
"203","In Frantic Crowd, a Suicide Bomber Hid in Plain Sight",-2,-7,-4,"negative",TRUE
"204","U.S. Visas Can Be a Life-or-Death Matter for Afghan Interpreters",-1,-3,-1,"negative",TRUE
"205","As Toll Preoccupies U.S., Rivals Test the Limits of American Power",-2,NA,-1,"negative",TRUE
"206","Congress Revisits President’s Powers To Authorize Use of Military Force",NA,-3,NA,"negative",NA
"207","Asylum Seeker Faces Charges in Son’s Death at Sea",-1,-4,-4,"negative",TRUE
"208","It Was Their Fathers’ War. They Aim to End It.",NA,-2,-2,"negative",TRUE
"209","New Taliban Chancellor Bars Women From Kabul University",NA,3,NA,"positive",NA
"210","At the Center of the Taliban Deal, a U.S. Envoy Who Made It Personal",NA,8,NA,"positive",NA
"211","U.S. Rescue of All Afghan Allies by Deadline Appears Increasingly Unlikely",NA,5,2,"positive",TRUE
"212","Boat Sinks In Turkey; At Least 60 Are Dead",-1,NA,-3,"negative",TRUE
"213","Flash Flood  Kills Scores  In Area Run  By Taliban",-1,-1,-3,"negative",TRUE
"214","At Least 9 Die in Crash of Afghan Military Copter After Clashes With Local Militia",-2,-10,-5,"negative",TRUE
"215","Harris Speaks of ‘Fragile’ World at Naval Academy Commencement",-1,-2,NA,"negative",TRUE
"216","Pentagon Leaders Worry Trump Will Drag Military Into Election",-1,-2,-4,"negative",TRUE
"217","At Pro-Taliban Rally, a Sign of America’s Failure: Droves of Veiled Faces",-1,-4,-2,"negative",TRUE
"218","Biden Reasserts Role of America In World Affairs",NA,NA,NA,NA,NA
"219","Afghan Attack Kills 10  From Land Mine Charity",-2,0,-4,"negative",FALSE
"220","As Taliban Attack, Civilians Are Taking Up Arms",-1,-3,-1,"negative",TRUE
"221","Australia Condemns Chinese Official’s ‘Disgusting Slur’ of Soldiers",-3,-8,-5,"negative",TRUE
"222","Australian Military to Dismiss Soldiers After Report on Killings And Cover-Up in Afghanistan",NA,0,NA,"neutral",NA
"223","A Country Returns to Militias, and an Old, Chaotic Path",-1,-2,-2,"negative",TRUE
"224","Quest to Curb War Powers Of President Faces New Test",NA,2,-2,"neutral",FALSE
"225","E.U. Hails Covid Success but Warns of ‘Pandemic of the Unvaccinated’",1,0,0,"positive",FALSE
"226","Before Disaster, India Ignored Warnings of Dams’ Risks",-2,-4,-7,"negative",TRUE
"227","Before Capitol Riot, Thousands Made Small Donations Online",NA,-3,-2,"negative",TRUE
"228","Haiti Assassination Spotlights Colombia’s Growing Mercenary Industry",NA,-6,-2,"negative",TRUE
"229","One Year After He Crushed Protests, Belarus Leader Lashes Out at West",-2,-3,-4,"negative",TRUE
"230","E.U. Leaders Press China on Trade Talks, With Scant Results",-1,1,NA,"neutral",FALSE
"231","U.S. Approves Release for 3 At Guantánamo",NA,NA,2,"positive",NA
"232","U.S. Is Reluctant to Send Soldiers to Haiti Conflict",-2,-6,-2,"negative",TRUE
"233","U.S. to Place New Sanctions",NA,NA,NA,NA,NA
"234","Biden Administration Sends Guantánamo Detainee to Morocco",NA,-3,NA,"negative",NA
"235","Ukraine Leader  Finally Reaches  The Oval Office",NA,6,1,"positive",TRUE
"236","Bush and Biden Join in Seeking Unity Amid Grief",0,1,-1,"neutral",FALSE
"237","In First Call, Biden and Putin Agree to Extend Nuclear Treaty",NA,2,2,"positive",TRUE
"238","Presidents Joust Even as They Seek to Ease Relations",1,2,2,"positive",TRUE
"239","Biden Laces Into G.O.P.  On ‘Un-American’ Bids  To Limit Voting Rights",-1,NA,NA,"negative",NA
"240","On Philosophy, Biden Cabinet Leans Centrist",NA,2,NA,"positive",NA
"241","Biden Strives to Be the Anti-Trump, but He Is Finding It’s Not So Easy",2,1,0,"positive",FALSE
"242","Amid Inquiry, President Condemns Border Agents Who Mistreated Haitians",-1,4,-2,"positive",FALSE
"243","Biden Scolds Trump Over Report on Russian Bounties on U.S. Troops",1,1,NA,"positive",TRUE
"244","Biden Declared the War Over. But the Wars Go On.",NA,-2,-2,"negative",TRUE
"245","Spurning Critics Biden Calls Exit Notable Success",0,7,0,"positive",FALSE
"246","Despair in Kabul Undercuts Biden on Rescue Effort",-2,1,-1,"negative",FALSE
"247","Worst Fear for President Who Hoped For End to Military Condolence Calls",-2,-1,-5,"negative",TRUE
"248","U.S. Says ‘We’re Back,’ but Europe Still Recalls Trauma of Trump Years",0,1,-3,"negative",FALSE
"249","Biden Expected to Build On Relations With India, Affirming Human Rights",NA,2,NA,"positive",NA
"250","Biden Selects Two Familiar Names, but for Surprising Cabinet Roles",NA,5,NA,"positive",NA
"251","Biden Administration Is Open to Tightening Law Authorizing War on Terror",-1,-3,-5,"negative",TRUE
"252","Officials Suggest Global Image May Be Moderating Force on Taliban",NA,-2,NA,"negative",NA
"253","U.S. to Target Russian Hacking,  Even as It Seeks Accord on Arms",NA,2,NA,"positive",NA
"254","Biden to Choose Retired General To Lead Defense",1,1,NA,"positive",TRUE
"255","As Debate Rages On, Biden Plays Long Game",NA,1,NA,"positive",NA
"256","Biden to Declare Ottomans’ Atrocities Against Armenia Were Genocide",-2,NA,NA,"negative",NA
"257","A Presidency And Its Values Put to the Test",NA,NA,NA,NA,NA
"258","Britain Smarts as Biden Leaves Top U.S. Ally Out of Withdrawal Decision",1,5,-1,"positive",FALSE
"259","Biden Receives Remains of Service Members After Terrorist Attack",-1,-8,-1,"negative",TRUE
"260","In Meeting With Afghan Leader, Biden Pledges Aid After U.S. Withdrawal",NA,3,-3,"neutral",FALSE
"261","Troops May Stay Longer In Kabul, Biden Says",NA,NA,NA,NA,NA
"262","Biden, in Blistering Speech, Says Trump ‘Surrendered’ to the Coronavirus",0,2,NA,"positive",FALSE
"263","Afghanistan Exit by May 1 Will Be Tough, Biden Says",1,-2,NA,"negative",FALSE
"264","Biden Makes Case to Vastly Expand Government Role",NA,-2,1,"negative",FALSE
"265","Biden Seeks Update for Much-Stretched Law That Authorizes the War on Terrorism",-1,-6,-2,"negative",TRUE
"266","Achieving a U.S. Exit While Avoiding a Sense of Abandonment",NA,-3,NA,"negative",NA
"267","Facing Afghan Chaos, Biden Defends Exit",-1,-4,-2,"negative",TRUE
"268","Rebuffing Allies, Biden is Sticking to Exit Deadline",NA,NA,NA,NA,NA
"269","Closing Guantánamo May Be Politically Toxic, but Biden Remains on Board",-1,-2,NA,"negative",TRUE
"270","In Winding Down Wars, Biden Takes Two Paths for Iraq and Afghanistan",NA,NA,NA,NA,NA
"271","Former Rival As Partner For Agenda On Climate",-1,1,NA,"neutral",FALSE
"272","Biden to Endorse Plan to Deliver More Vaccines to Poorer Countries",0,1,0,"positive",FALSE
"273","Gutted System Will Test Biden Vow to Welcome More of World’s Needy",-1,4,-2,"positive",FALSE
"274","Biden Sets End Date for Nation’s Longest War",NA,-2,-2,"negative",TRUE
"275","Biden Tours New Orleans And Its Hurricane Damage",-1,-6,-3,"negative",TRUE
"276","Relief and Joy Overseas: ‘Welcome Back America!’",2,3,3,"positive",TRUE
"277","Visiting Troops, Biden Recalls His Own Past At Walter Reed",NA,NA,NA,NA,NA
"278","President  Underscores ‘Partnership’ With Israel",NA,4,NA,"positive",NA
"279","Biden Cautions Putin to Control Cybercriminals",NA,NA,NA,NA,NA
"280","Yellen to Treasury in Cabinet Full of Firsts",NA,2,NA,"positive",NA
"281","‘It Is Time to End the Forever War’",NA,-1,-2,"negative",TRUE
"282","Biden, Addressing National Guard, Counters G.O.P. Convention Claims",NA,2,NA,"positive",NA
"283","As U.S. Exits, Pakistan Sees A Door Open",NA,NA,NA,NA,NA
"284","Clarifying Biden’s Take of Evacuation",NA,-1,NA,"negative",NA
"285","Biden’s Meeting With Israeli Leader to Reset Relations Is Pushed Back by One Day",NA,2,NA,"positive",NA
"286","Biden Picks Team Set on Fortifying World Alliances",NA,1,NA,"positive",NA
"287","Congress Frets Over General In Civilian Job",-1,1,NA,"neutral",FALSE
"288","Pullout From Afghanistan Gives Guantánamo Detainees Hope for Release",NA,5,2,"positive",TRUE
"289","Vaccine Push Aligns Biden  With a Frustrated Majority",-1,2,-2,"negative",FALSE
"290","Explosion Kills Eight At Madrasa In Pakistan",-1,-1,-3,"negative",TRUE
"291","Pakistan Blast That Killed 13 Was a Terrorist Attack",-2,-9,-4,"negative",TRUE
"292","U.S. and G7 Allies Focus On ‘Democratic Values’",NA,1,NA,"positive",NA
"293","Blinken Is Mending Diplomatic Fences, Without Leaving Home",1,3,NA,"positive",TRUE
"294","In Europe, Blinken’s Warm Words for Allies Don’t Hide Differences",1,-3,0,"negative",FALSE
