"","main_text","main_bing","main_nrc","main_afinn","print_text","print_bing","print_nrc","print_afinn"
"28","‘We Did Not Inherit a Plan’: Blinken Is Grilled in Congress Over Afghanistan Exit",NA,1,NA,"Blinken Rejects Criticism Of Afghanistan Pullout",-2,-7,-3
"29","‘We Have to Try’: Lawmakers Rush to Assist in Afghanistan Evacuations.",NA,2,NA,"As Panicked Afghans Seek Help, Lawmakers Say, ‘We Have to Try’",-1,1,-3
"30","‘We Haven’t Slept, We Haven’t Eaten’: U.S. Afghans Watch the Chaos With Horror",-1,-8,-2,"‘Our Hearts Are Crying’ For Family Left Behind",NA,-2,-2
"31","‘We Truly Have Lost Everything’: A Journey Out of Kabul the Day It Fell",-2,-2,-3,"‘She Was Alone’: One Official’s Harrowing Escape From Kabul",NA,-2,-1
"32","‘What Will Happen to Me?’ An Uncertain Future Awaits Afghans Who Fled",-1,-3,-2,"After Escaping Kabul, Afghans Are Struck With Worry, Uncertainty and Despair",-3,-7,-8
"33","‘Why Do We Deserve to Die?’ Kabul’s Hazaras Bury Their Daughters.",-1,-2,-3,"‘Why Do We Deserve to Die?’ Burying Hazara Girls in Kabul",-1,-1,-3
"34","2 Killed in Knife Attack in French Town Under Lockdown",-3,-3,-4,"Man Armed With Knife Kills 2 in French Town Under Lockdown",-2,-2,-3
"35","2 Spanish Journalists and an Irish Ranger Killed in Burkina Faso Ambush",-2,-1,-3,"Journalists Killed in Burkina Faso",-1,NA,-3
"36","2 U.S. Representatives Try to Explain Unauthorized Visit to Kabul",NA,2,NA,"Members of Congress Ducked Into Kabul to See Evacuations",NA,0,NA
"37","20 Years On, the War on Terror Grinds Along, With No End in Sight",-1,-4,-5,"A War Rages On In the Shadows",NA,-2,-2
"38","29 Dead After ISIS Attack on Afghan Prison",-3,-7,-6,"29 Are Dead in 2-Day Islamic State Raid on Afghan Prison",-2,-6,-5
"39","4 Aid Workers Are Shot Dead in Pakistan",-1,-2,-3,"Militants Kill 4 Pakistani Aid Workers in District Near Afghan Border",-1,-2,-3
"40","4 Takeaways From the U.S. Deal With the Taliban",NA,5,NA,"Table Is Set For a Pullout And Talks",NA,NA,NA
"41","5 Takeaways From Canada’s Official Election Debates",NA,1,NA,"Trudeau Absorbs Attacks In the Election Debates Among Five Candidates",-1,NA,-1
"42","50 Years After Vietnam, Thousands Flee Another Lost American War",-2,-6,-5,"New Wave of Refugees Faces A Much Chillier U.S. Welcome",NA,NA,NA
"43","98 Countries Pledge to Accept Afghans After U.S. Military Departs",NA,2,1,"98 Countries Pledge to Accept Afghans After U.S. Departure",NA,1,1
"44","A 17-year-old Afghan soccer player died falling from a U.S. evacuation plane.",-2,-4,-4,"Boy, 17, Died in Fall From U.S. Plane",-2,-2,-3
"45","A baby born on an evacuation flight is named Reach, after the aircraft’s call sign.",NA,1,1,"Rescue Flight To Germany Inspires Name For Newborn",NA,5,4
"46","A Balancing Act for Europe: Stop the Migrants, Support Greece, Assuage Turkey",1,1,1,"E.U. Tries to Tread Line In Greek-Turkish Clash On Admitting Migrants",-1,-2,-2
"47","A Black Colonel Takes Command of a Key Marine Corps Brigade",NA,1,NA,"Marines Put Black Leader In Charge Of Top Unit",1,5,2
"48","A Border Reopening, at Least One Way, and Some Travel Tips",NA,NA,NA,"Canada Opens to Vaccinated, But It’s a Trickle at the Border",NA,NA,NA
"49","A Botched Drone Strike in Kabul Started With the Wrong Car",-2,-4,-3,"A Botched U.S. Drone Strike in Kabul Started With the Wrong Car",-2,-4,-3
"50","A Call for Unity to a Nation Facing a Pandemic and Division",1,0,NA,"A Call for the Return of Civility, And Truth as a Guiding Light",1,3,NA
"51","A Campaign Milestone: ‘I Was Drugged and Raped,’ Heard in a Candidate’s Ad",-1,-1,NA,"‘I Was Drugged and Raped,’ Heard in a Candidate’s #MeToo-Tinged Ad",-1,-1,NA
"52","A City Under Siege: What the War Looks Like on Afghanistan’s Front Line",-1,-2,-2,"A City’s Last Defenders as the Taliban Closes In",NA,NA,2
"53","A College President Worried About the Risks of Dorm Isolation. So He Moved In.",-3,-2,-5,"Worried About His Students, College President Moves Into the Dorms",-1,0,-3
"54","A Covid-19 Surge and Conspiracy Theories Roil Pakistan",-1,0,-3,"Public Apathy and Conspiracy Theories Are Feeding a Second Wave",-2,-1,-6
"55","A Dangerous Scramble to Evacuate Afghan Nonprofit Workers",-2,-4,NA,"A Desperate Evacuation of Afghan Nonprofit Workers",-1,-2,-3
"56","A Digital Dunkirk: Veterans Online Scramble to Get People Out of Afghanistan",-1,NA,NA,"A ‘Digital Dunkirk’: U.S. Veterans Scramble to Help Afghan Allies",-1,NA,NA
"57","A Far-Right Terrorism Suspect With a Refugee Disguise: The Tale of Franco A.",-2,-7,-2,"An Officer’s Double Life Puts Germany on Trial",NA,NA,NA
"58","A Fragile Ceasefire Lets Afghans Risk Travel for Eid",-2,-4,-2,"Fragile Cease-Fire in Afghanistan Lets Muslims Risk Travel for Holiday",-2,-2,-4
"59","A German Town Warily Considers a Future Without a Deep U.S. Presence",-1,1,NA,"A Town Warily Considers a Future Without a Large U.S. Presence",-1,1,NA
"60","A Girl’s Heroic Battle Against the Taliban Was Also a Family Feud",1,0,2,"Behind a Girl’s Gunfight With the Taliban: A Family Feud",NA,-2,NA
"61","A Harsh New Reality for Afghan Women and Girls in Taliban-Run Schools",-1,NA,-2,"Grim New Reality for Afghan Women and Girls",-1,-4,NA
"62","A Journey Through Kabul on the Day of the Fall",-1,0,NA,"Scenes From the Fall of a City, And a Farewell to Hopeful Days",0,3,2
"63","A Million Afghan Children Could Die in ‘Most Perilous Hour,’ U.N. Warns",-2,-5,-5,"Millions of Afghans Are in Peril As Food Runs Out, U.N. Warns",-1,1,-4
"64","A Mother, Her Son — and Their 1,500-Mile Search for Home",NA,2,NA,"Empty Pockets and No Home After 1,500 Miles",NA,NA,-1
"65","A Nervy Trip to Kabul: How Ukraine Negotiated With the Taliban and Rescued 96 Afghans",NA,1,2,"How Kyiv Rescued 96 Afghans. Nerves of Steel Helped.",1,NA,1
"66","A New Pregnancy and an Oprah Interview Refocus a Spotlight on Harry and Meghan",NA,-5,NA,"Away From Buckingham Palace but Not Out of the Spotlight",NA,NA,NA
"67","A New Superpower Competition Between Beijing and Washington: China’s Nuclear Buildup",NA,0,NA,"U.S. Officials Warn Russia Of China’s Nuclear Threat",-1,-2,-4
"68","A Prisoner Release Stuns 2 American War Widows",-1,-7,-4,"Man Who Shot U.S. Advisers Is Set Free In Afghanistan",1,-3,1
"69","A Radical Cleric Ignites an Islamist Resistance in Afghanistan",-2,-2,NA,"Extremist Cleric Is a Reminder of Taliban Rule, and Perhaps a Preview",-1,0,NA
"70","A Rarely Seen Weapon Destroys a Helicopter in Afghanistan",NA,NA,-3,"An Anti-Tank Guided Missile  Strikes an Afghan Helicopter For the 2nd Time This Year",-1,0,-2
"71","A Rogue Climber Running From the Law Was Fleeing His Own Trauma",-3,-1,-3,"Urban Climbing Calmed His PTSD, but May Land Him in Prison",-1,-3,0
"72","A Secret Accord With the Taliban: When and How the U.S. Would Leave Afghanistan",NA,2,-1,"U.S. Lawmakers Balk Over Secret Benchmarks Within Taliban Peace Accord",0,6,2
"73","A Siege, a Supply Run and a Descent Into a Decade-Old Battle",-1,-3,-1,"Return Mission Finds Ruins of Failed U.S. Policy",-2,1,-4
"74","A Storied Female Warlord Surrenders, Taliban Say, Exposing Afghan Weakness",-1,-1,-3,"Taliban Claims to Defeat Revered Female Warlord, Seizing Propaganda Win",1,-2,4
"75","A Stranded Interpreter, and the Soldiers Who Would Not Let Go",NA,-1,NA,"Stranded Interpreter, Increasingly in Danger, And His U.S. Soldiers",-1,-4,-2
"76","A Striking Reversal: Trump’s Attacks on the Military and Defense Contractors",0,-2,-1,"President Says Military Fuels War Industry. Pentagon Erupts.",NA,-1,-2
"77","A Swimmer’s Journey From Afghanistan to Refugee Camps to the Paralympics",NA,1,NA,"He Fled Afghanistan, And Headed for Open Water",NA,-1,NA
"78","A Taliban spokesman urges women to stay home because fighters haven’t been trained to respect them.",1,5,NA,"Women Warned to Stay  Home to Avoid Fighters",-1,-1,-3
"79","A Top Democrat Warns Against a Hasty Withdrawal of U.S. Troops From Afghanistan",0,2,-3,"Top Democrat Doesn’t Want Troops to Quit Afghanistan",1,2,2
"80","A Top Woman in Canada’s Military Issues a Stinging Rebuke of Its Culture",-2,1,2,"A Top Woman in Canada’s Military Issues a Rebuke",-1,1,2
"81","A Transfixed World Awaits What’s Next in America",NA,NA,-1,"A Transfixed World Awaits What’s Next in America",NA,NA,-1
"82","A Trump Victory May Push His Defense Secretary Out an Open Door",2,5,NA,"Awaiting Term’s End, Defense Secretary Is Already Acting Like an Ex-Official",NA,1,NA
"83","A War Is Ending. A Pennsylvania Town Exhales.",NA,-2,-2,"A Pennsylvania Town Exhales at a War’s End",NA,NA,NA
"84","A Wave of Afghan Surrenders to the Taliban Picks Up Speed",NA,NA,NA,"Afghan Bases Fall to Taliban as U.S. Heads Out",-1,-2,NA
"85","A Week Into Taliban Rule, One City’s Glimpse of What the Future May Hold",NA,0,NA,"After Week Under New Rulers,  Kunduz May Be Hint of Future",NA,NA,NA
"86","A Year Like No Other: 2020 in Pictures",NA,NA,NA," The Year in Pictures: Scenes From a Defining Era",NA,NA,NA
"87","Activists and Ex-Spy Said to Have Plotted to Discredit Trump ‘Enemies’ in Government",-1,-2,-2,"McMaster Was Said to Be Target In Plot to Vilify Trump ‘Enemies’",-2,1,-2
"88","Adam Kinzinger’s Lonely Mission",-1,-5,-2,"Lonely Quest To Repudiate Trump Wing",-1,-2,-2
"89","Afghan and Taliban Negotiators Agree on Peace Talks’ Procedures",1,5,3,"Afghans Agree  With Taliban  On Procedure  For Peace Talks",1,5,3
"90","Afghan Blast on Eve of U.S. Pullout Deadline Kills at Least 27",-1,-2,-3,"Afghan Attack Kills 27 In Sign Peace Deal Is Off",-1,6,-2
"91","Afghan Civilian Casualties Soar as U.S. Exits, Monitors Say",NA,NA,NA,"Afghan Civilian Deaths Soar, Monitors Say",NA,NA,NA
"92","Afghan Civilian Casualties Soared After Peace Talks’ Start",1,5,2,"Afghan Civilian Casualties Rose After Peace Talks’ Start",1,5,2
"93","Afghan Contractor Handed Out Russian Cash to Kill Americans, Officials Say",-1,-1,-3,"Afghan Contractor Gave Out Russian Cash, Officials Say",NA,2,NA
"94","Afghan Deaths Pile Up in Uncertainty Over U.S. Deal With Taliban",NA,5,NA,"Despite Peace Deal, Violence in Afghanistan Surges",1,5,-1
"95","Afghan Family Says Errant U.S. Missile Killed 10, Including 7 Children",-2,-1,-3,"In Kabul, Kin Say 10 Died  In Errant Hit By U.S. Drone",-2,-4,-3
"96","Afghan Fiasco Raises Hard Questions for Europe",-2,-1,-4,"Afghan Fiasco Shows Fault Lines in NATO",-2,-4,-3
"97","Afghan Government Backs Repatriation of Guantánamo Detainee",NA,-5,NA,"Afghanistan  Files Brief For Return  Of Detainee",NA,-3,NA
"98","Afghan Journalist Is Killed in Latest Attack on Media Figures",-2,-2,-4,"Afghan Journalist Is Killed in Latest Attack on Media",-2,-2,-4
"99","Afghan Leader Digs In on Peace Talks Despite Progress, Officials Say",2,9,4,"Afghan Leader Hampers Peace Talks, Officials Say",1,6,2
"100","Afghan Leaders Sideline Spokesmen in an Escalating Misinformation War",NA,-2,-4,"Media Clampdown Stifles Data on Afghan War Deaths",NA,-2,-2
"101","Afghan Peace Plan Faces Its First Roadblock: Releasing Taliban Prisoners",1,5,0,"First Stumble on Road To Peace Deal: Release Of Taliban Prisoners",0,8,0
"102","Afghan Peace Talks Begin This Week. Here’s What to Know.",1,4,2,"Afghanistan And Taliban Set to Begin Peace Talks",1,4,2
"103","Afghan Peace Talks Set to Begin as Prisoner Swap Is Nearly Done",0,-1,0,"Afghan Talks Set to Begin  As Prisoner Swap Finishes",-1,-5,-2
"104","Afghan Pilots Who Sought Safety in Uzbekistan Transfer to U.S. Base",NA,1,1,"Ally Pilots Who Had Escaped to Safety In Uzbekistan Are Taken to U.S. Base",NA,2,1
"105","Afghan Power-Sharing Deal Would Promote General Accused of Rape",-1,-3,-5,"Afghans’ Power-Sharing Accord  Honors Official Accused in Rape",-1,-5,-6
"106","Afghan President in ‘Desperate Situation’ as His Power Is Undermined",-2,0,-5,"Afghan Security Fears Mount As Leader’s Influence Withers",-1,0,NA
"107","Afghan President Orders Taliban Prisoner Release",-1,-3,-2,"In a Reversal, Afghanistan’s Leader Agrees to a Phased Release of Taliban Fighters",NA,0,1
"108","Afghan Prisoner Swap Hits Wall as Taliban Pull Out of Talks",-1,-4,-2,"Taliban Pulls Out of Talks as Prisoner Swap Collapses, Imperiling U.S. Deal",-1,0,-4
"109","Afghan Refugees Find a Harsh and Unfriendly Border in Turkey",-2,-5,-2,"A 1,400-Mile Trek to Turkey Only to Be Told to Turn Back",NA,NA,NA
"110","Afghan Rivals Sign Power-Sharing Deal as Political Crisis Subsides",-1,4,-3,"Afghan Rivals Divide Power, Ending Fight Over Election",NA,-3,-1
"111","Afghan Sides Agree to Rare Cease-Fire During Eid al-Fitr",NA,0,-1,"For the First Time Since 2018, the Taliban Agree to a Cease-Fire With Afghan Forces",NA,1,-1
"112","Afghan Soccer Official, Charged With Sexual Abuse, Evades Arrest",-1,-5,-8,"Soccer Official Evades Arrest By Afghan Forces for Assault",-1,-3,-2
"113","Afghan Uyghurs Fear Deportation as Taliban Cozy Up to China",0,-7,-2,"Uyghurs Fear Taliban Will Deport Them to China",-1,-6,-2
"114","Afghan Vice President, Staunch Opponent of Taliban, Survives Blast",-1,-3,NA,"Afghan Vice President, Staunch Taliban Foe, Survives Blast That Kills 10",-2,-3,-3
"115","Afghan Visa Applicants Arrive in U.S. After Years of Waiting",NA,1,NA,"221 Afghans Arrive in U.S. As Visa Evacuations Begin",NA,1,NA
"116","Afghan Women Fear the Worst, Whether War or Peace Lies Ahead",-2,0,-5,"With Much to Lose, Afghan Women Fear Stifling Return to Past",-3,-7,-2
"117","Afghanistan Before the Fall",-1,-2,NA,"Afghanistan Before the Fall",-1,-2,NA
"118","Afghanistan Collapse Accelerates as the Taliban Capture 3 Vital Cities",-1,-4,-2,"Two Major Cities on Brink of Takeover",NA,1,NA
"119","Afghanistan Collapse and Strikes in Somalia Raise Snags for Drone Warfare Rules",-2,-10,-5,"Collapse of Afghanistan And Strikes in Somalia Raise Questions on Drones",-2,-4,-3
"120","Afghanistan Investigating Claims Migrants Were Killed by Iranian Guards",-1,NA,-3,"Afghans Say Iran Killed Dozens of Migrants",-1,NA,-3
"121","Afghanistan Peace Talks Open in Qatar, Seeking End to Decades of War",1,2,0,"Afghanistan Peace Talks Open, Seeking to End 40 Years of Bloodshed",0,0,2
"122","Afghanistan to Investigate Video Showing Forces Mutilating Taliban Corpses",NA,1,NA,"Afghanistan to Investigate Film Of Mutilation of Taliban Bodies",NA,-4,NA
"123","Afghanistan to Release Last Taliban Prisoners, Removing Final Hurdle to Talks",NA,NA,-2,"Afghan Council Agrees to Release Taliban Prisoners",NA,3,-1
"124","Afghanistan War Enters New Stage as U.S. Military Prepares to Exit",NA,-3,-2,"A Mission Shift for Afghanistan",NA,NA,NA
"125","Afghanistan’s Unraveling May Strike Another Blow to U.S. Credibility",-2,0,-1,"U.S. Afghan Departure Strikes Another Blow To American Credibility",-1,0,-1
"126","Afghans Flee to Pakistan. An Uncertain Future Awaits.",-2,-5,-2,"Afghans Flee to Pakistan.  Uncertain Future Awaits.",-2,-5,-2
"127","Afghans Fleeing Home Are Filling the Lowliest Jobs in Istanbul",-1,NA,NA,"Desperate Afghans Flee Home, Taking Grim Jobs in Istanbul",-3,-7,-3
"128","Afghans With Ties to U.S. Who Could Not Get Out Now Live in Fear",-1,-3,-2,"Stranded and Afraid, Afghans Who Worked for U.S. Seek Any Way Out",-1,-2,-2
"129","Afghans Wonder ‘What About Us?’ as U.S. Troops Prepare to Withdraw",NA,0,NA,"After 2 Decades of Turmoil, Afghans Face Still More Uncertainty",-1,-4,NA
"130","Africa Celebrates the End of the Wild Poliovirus (but Not the End of All Polio)",-1,-3,3,"Africa Cheers As Wild Polio Is Eradicated",-1,-3,2
"131","African-Americans Are Highly Visible in the Military, but Almost Invisible at the Top",0,2,2,"Black Troops Fight at the Front, But Rarely Get Jobs at the Top",1,0,1
"132","After 12 Years, Arrest Made in Abduction of Former Times Journalist David Rohde",NA,-2,-4,"Taliban Leader Faces Charges In Abduction Of Journalist",NA,1,-4
"133","After 13 Years on the Run, a Sudanese Militia Leader Appears in Court",NA,-3,NA,"Sudanese Militia Leader, a Fugitive for 13 Years, Appears in Court",-1,-7,NA
"134","After 18 Years, Is This Afghan Peace, or Just a Way Out?",1,4,2,"Will Truce Lead to Lasting Peace? For Trump, It May Not Matter",3,9,3
"135","After 7 Years of Failing to Fix Afghanistan, Ghani Makes a Hasty Escape",-2,-4,-3,"‘He’s a Coward’: Ghani’s Exit Infuriates His Countrymen",-1,-4,-4
"136","After Afghan Women Asked #WhereIsMyName, a Small Victory",1,4,NA,"Afghan Women Celebrate a Small Victory",2,4,3
"137","After Airport Bombing, an Afghan Family Buries a Father, and Hope",NA,7,2,"Family That Worked With U.S. Buries a Father and Their Hopes",NA,1,2
"138","After Backing Military Force in Past, U.S.A.I.D. Nominee Focuses on Deploying Soft Power",1,-4,NA,"For Biden Nominee, a Chance to Use Soft Power to Ease Global Conflicts",1,2,2
"139","After Capitol Riot, Senate Taps Intelligence Official to Lead Security",2,2,-2,"3 Women Take Lead Roles On Capitol Security Team",1,2,NA
"140","After Capitols Become Fortresses, Far-Right Protesters Are Mostly a No-Show",NA,NA,-2,"As Capitols Become Citadels, Far-Right Protesters Are Mostly No-Shows",NA,NA,-2
"141","After Decades of War, ISIS and Al Qaeda Can Still Wreak Havoc",-2,-7,-4,"An ISIS Offshoot Claims Responsibility As Terror Groups Find a New Foothold",-1,-1,-3
"142","After Fire at Refugee Camp, Europe Faces a Reckoning",NA,-2,-2,"Migrant Fatigue Grips an Apathetic Europe",-2,-3,-5
"143","After Fire Razes Squalid Greek Camp, Homeless Migrants Fear What’s Next",-1,-8,-4,"Their Camp in Ashes, Refugees Fear It Will Be Rebuilt",-1,-5,-2
"144","After Quick Victory, Taliban Find Governing Is Harder",1,4,NA,"After Swift Victory, Taliban Scramble to Govern",1,7,2
"145","After Report That Trump Disparaged War Dead, Democrats See Chance to Win Over Military Voters",1,-1,-1,"Democrats See a Chance To Earn Military Votes",NA,1,2
"146","After Report That Trump Disparaged War Dead, Democrats See Chance to Win Over Military Voters",1,-1,-1,"Democrats See a Chance To Earn Military Votes",NA,1,2
"147","After the 9/11 Attacks, Boston Found a Focus for Its Anger",-2,2,-4,"After 9/11, Boston Sought Someone to Fault. It Settled on Her.",-1,-2,NA
"148","After Two Decades of Fighting Taliban, U.S. Is Uneasy Partners With Them",-1,-5,-2,"U.S. Enters ‘Cooperative’ Phase With Taliban, Drawing Criticism From All Sides",0,-1,-2
"149","Aggressive Tactics by National Guard, Ordered to Appease Trump, Wounded the Military, Too",0,-2,0,"Troops Shaken By War Tactics In City Streets",NA,-2,-2
"150","Aid Workers Staying in Taliban-Ruled Afghanistan Tread a Tricky Path",-1,1,NA,"For the Aid Workers Still in Afghanistan, Hurdles at Every Turn",NA,1,NA
"151","Al Qaeda Feels Losses in Syria and Afghanistan but Stays Resilient",0,1,NA,"Al Qaeda Suffers Losses to Leadership, Yet Remains Resilient",-1,0,-2
"152","Al Qaeda’s No. 2, Accused in U.S. Embassy Attacks, Was Killed in Iran",-2,-3,-6,"Qaeda’s No. 2  Killed in August  In Iran Capital ",-1,1,-3
"153","All in or All Out? Biden Saw No Middle Ground in Afghanistan.",NA,1,NA,"Biden Saw Afghan Choice As Either All In, or All Out",NA,1,NA
"154","America’s Afghan War: A Defeat Foretold?",1,-3,-2,"America’s Afghan War: Drawing Down an Unwinnable Conflict",-1,-6,-4
"155","America’s Friends and Foes Express Horror as Capitol Attack ‘Shakes the World’",-1,-7,-1,"‘It Shakes the World’: Allies Voice Shock and Dismay at Incursion",-2,-6,-2
"156","American University of Afghanistan students and relatives trying to flee were sent home.",-1,0,NA,"College Students Dodging Taliban  Are Left Behind, Fearing for Lives",NA,-2,-4
"157","Americans Held Overseas in Iran and Lebanon Are Freed",1,NA,NA,"Americans Held in Iran And Lebanon Are Freed",1,NA,NA
"158","Americans Ponder Losses Past and Present on a Subdued Memorial Day",-2,NA,NA,"With Masks at Beaches, Nation Marks Muted Holiday",NA,4,NA
"159","Americans Stretch Across Political Divides to Welcome Afghan Refugees",NA,NA,NA,"The Welcome Mat Is Out for Afghan Refugees",NA,NA,NA
"160","Amid a Rising Death Toll, Trump Leaves the Grieving to Others",-2,1,-2,"Leaning on ‘Powerful’ and ‘Strong,’ Trump Has No Words for Grief",2,-1,2
"161","Amid Afghan Chaos, a C.I.A. Mission That Will Persist for Years",-1,-4,-2,"Kabul Bombing Derails C.I.A.’s Pivot Away From Counterterrorism",NA,2,-2
"162","Amid Tensions With U.S., Erdogan Praises Ties With Russia",NA,NA,3,"Amid Tensions With U.S., Erdogan Meets With Putin to Talk Military Deals",NA,0,NA
"163","Among the Troops Who Died, Two Women on the Front Line",-1,NA,-3,"Americans Mourn 13 Fallen Troops In Final Days of War in Afghanistan",-2,-4,-6
"164","An Afghan Boy’s Rape and Death Prompt a Rare Response: Arrests",-1,-8,-8,"Rare Response to Accusations Afghan Boy Was Fatally Raped: Arrests",-3,NA,-4
"165","An Alliance of Autocracies? China Wants to Lead a New World Order.",1,2,NA,"China Takes Message on the Road, Challenging U.S. for Global Leader Role",-1,2,NA
"166","An Ancient Hill and Forgotten Dead: Afghanistan’s Haunted Outpost",-1,-8,-6,"‘It Makes My Hair Stand Up’: A Vacated Afghan Post Haunts Marines",NA,NA,-1
"167","An Iconic Bridge Sees U.S. Allies Flee Afghanistan as the Soviets Did",-1,-2,NA,"A Soviet Echo  As Forces Flee Over a Bridge",-1,-2,NA
"168","An Incursion Into Venezuela, Straight Out of Hollywood",NA,-2,1,"Ex-Green Beret at Center  Of Failed Venezuela Plot",-2,5,-2
"169","An Obama Restoration on Foreign Policy? Familiar Faces Could Fill Biden’s Team",NA,4,NA,"Some on Left Fear Biden’s Situation Room May Look a Lot Like Obama’s",-1,-3,-2
"170","An Old Legal Doctrine That Puts War Criminals in the Reach of Justice",NA,3,-1,"An Old Legal Doctrine Puts War Crime Suspects Within the Reach of Justice",-1,1,-2
"171","Another Official Is Ousted From the Pentagon",NA,1,NA,"Leader of ISIS Task Force Ousted in Pentagon Purge",NA,-2,NA
"172","Another Young Leader Taken. Afghans Ask: How Many More?",NA,2,NA,"Afghan Car Bomb Dims Another Promising Light",0,-2,-1
"173","Appeals Panel Overturns Army Judge’s Ruling on Torture",-1,-4,-4,"Pentagon Panel Overturns Army Judge’s Ruling on Use of Torture for Evidence",-1,-4,-4
"174","Arizona Banned School Mask Mandates. Now Some Kids Are Sick and Parents Are Angry.",-2,-5,-7,"Arizona’s Embattled Governor Joins G.O.P. Anti-Mask Cause",-1,1,-1
