doc_id,date,main,print
24,12/16/2020,‘Sticky Bombs’ Sow Terror and Chaos in a City on Edge,Taliban Use Lethal ‘Sticky Bombs’ Nearly Daily to Terrorize Afghans
25,7/5/2020,‘Strategic Empathy’: How Biden’s Informal Diplomacy Shaped Foreign Relations,"How Biden, by Turns Genial and Blunt, Built Diplomatic Bridges"
26,1/17/2021,"‘There Is No Safe Area’: In Kabul, Fear Has Taken Over",Fear of Sudden Death Governs Capital as Attacks Pick Off Afghans
27,7/18/2021,‘They Just Left Us’: Greece Is Accused of Setting Migrants Adrift at Sea,Turkey Fumes While Accusing Greece of Setting Migrants Adrift at Sea
28,9/13/2021,‘We Did Not Inherit a Plan’: Blinken Is Grilled in Congress Over Afghanistan Exit,Blinken Rejects Criticism Of Afghanistan Pullout
29,8/30/2021,‘We Have to Try’: Lawmakers Rush to Assist in Afghanistan Evacuations.,"As Panicked Afghans Seek Help, Lawmakers Say, ‘We Have to Try’"
30,8/17/2021,"‘We Haven’t Slept, We Haven’t Eaten’: U.S. Afghans Watch the Chaos With Horror",‘Our Hearts Are Crying’ For Family Left Behind
31,9/10/2021,‘We Truly Have Lost Everything’: A Journey Out of Kabul the Day It Fell,‘She Was Alone’: One Official’s Harrowing Escape From Kabul
32,8/29/2021,‘What Will Happen to Me?’ An Uncertain Future Awaits Afghans Who Fled,"After Escaping Kabul, Afghans Are Struck With Worry, Uncertainty and Despair"
33,5/9/2021,‘Why Do We Deserve to Die?’ Kabul’s Hazaras Bury Their Daughters.,‘Why Do We Deserve to Die?’ Burying Hazara Girls in Kabul
34,4/4/2020,2 Killed in Knife Attack in French Town Under Lockdown,Man Armed With Knife Kills 2 in French Town Under Lockdown
35,4/27/2021,2 Spanish Journalists and an Irish Ranger Killed in Burkina Faso Ambush,Journalists Killed in Burkina Faso
36,8/25/2021,2 U.S. Representatives Try to Explain Unauthorized Visit to Kabul,Members of Congress Ducked Into Kabul to See Evacuations
37,9/11/2021,"20 Years On, the War on Terror Grinds Along, With No End in Sight",A War Rages On In the Shadows
38,8/3/2020,29 Dead After ISIS Attack on Afghan Prison,29 Are Dead in 2-Day Islamic State Raid on Afghan Prison
39,2/22/2021,4 Aid Workers Are Shot Dead in Pakistan,Militants Kill 4 Pakistani Aid Workers in District Near Afghan Border
40,2/29/2020,4 Takeaways From the U.S. Deal With the Taliban,Table Is Set For a Pullout And Talks
41,9/10/2021,5 Takeaways From Canada’s Official Election Debates,Trudeau Absorbs Attacks In the Election Debates Among Five Candidates
42,8/21/2021,"50 Years After Vietnam, Thousands Flee Another Lost American War",New Wave of Refugees Faces A Much Chillier U.S. Welcome
43,8/29/2021,98 Countries Pledge to Accept Afghans After U.S. Military Departs,98 Countries Pledge to Accept Afghans After U.S. Departure
44,8/19/2021,A 17-year-old Afghan soccer player died falling from a U.S. evacuation plane.,"Boy, 17, Died in Fall From U.S. Plane"
45,8/27/2021,"A baby born on an evacuation flight is named Reach, after the aircraft’s call sign.",Rescue Flight To Germany Inspires Name For Newborn
46,3/4/2020,"A Balancing Act for Europe: Stop the Migrants, Support Greece, Assuage Turkey",E.U. Tries to Tread Line In Greek-Turkish Clash On Admitting Migrants
47,5/11/2021,A Black Colonel Takes Command of a Key Marine Corps Brigade,Marines Put Black Leader In Charge Of Top Unit
48,7/23/2021,"A Border Reopening, at Least One Way, and Some Travel Tips","Canada Opens to Vaccinated, But It’s a Trickle at the Border"
49,9/21/2021,A Botched Drone Strike in Kabul Started With the Wrong Car,A Botched U.S. Drone Strike in Kabul Started With the Wrong Car
50,1/20/2021,A Call for Unity to a Nation Facing a Pandemic and Division,"A Call for the Return of Civility, And Truth as a Guiding Light"
51,5/21/2020,"A Campaign Milestone: ‘I Was Drugged and Raped,’ Heard in a Candidate’s Ad","‘I Was Drugged and Raped,’ Heard in a Candidate’s #MeToo-Tinged Ad"
52,5/13/2021,A City Under Siege: What the War Looks Like on Afghanistan’s Front Line,A City’s Last Defenders as the Taliban Closes In
53,3/4/2021,A College President Worried About the Risks of Dorm Isolation. So He Moved In.,"Worried About His Students, College President Moves Into the Dorms"
54,12/19/2020,A Covid-19 Surge and Conspiracy Theories Roil Pakistan,Public Apathy and Conspiracy Theories Are Feeding a Second Wave
55,9/24/2021,A Dangerous Scramble to Evacuate Afghan Nonprofit Workers,A Desperate Evacuation of Afghan Nonprofit Workers
56,8/28/2021,A Digital Dunkirk: Veterans Online Scramble to Get People Out of Afghanistan,A ‘Digital Dunkirk’: U.S. Veterans Scramble to Help Afghan Allies
57,12/29/2020,A Far-Right Terrorism Suspect With a Refugee Disguise: The Tale of Franco A.,An Officer’s Double Life Puts Germany on Trial
58,5/15/2021,A Fragile Ceasefire Lets Afghans Risk Travel for Eid,Fragile Cease-Fire in Afghanistan Lets Muslims Risk Travel for Holiday
59,12/31/2020,A German Town Warily Considers a Future Without a Deep U.S. Presence,A Town Warily Considers a Future Without a Large U.S. Presence
60,7/22/2020,A Girl’s Heroic Battle Against the Taliban Was Also a Family Feud,Behind a Girl’s Gunfight With the Taliban: A Family Feud
61,9/20/2021,A Harsh New Reality for Afghan Women and Girls in Taliban-Run Schools,Grim New Reality for Afghan Women and Girls
62,8/28/2021,A Journey Through Kabul on the Day of the Fall,"Scenes From the Fall of a City, And a Farewell to Hopeful Days"
63,9/13/2021,"A Million Afghan Children Could Die in ‘Most Perilous Hour,’ U.N. Warns","Millions of Afghans Are in Peril As Food Runs Out, U.N. Warns"
64,11/27/2020,"A Mother, Her Son — and Their 1,500-Mile Search for Home","Empty Pockets and No Home After 1,500 Miles"
65,9/24/2021,A Nervy Trip to Kabul: How Ukraine Negotiated With the Taliban and Rescued 96 Afghans,How Kyiv Rescued 96 Afghans. Nerves of Steel Helped.
66,2/17/2021,A New Pregnancy and an Oprah Interview Refocus a Spotlight on Harry and Meghan,Away From Buckingham Palace but Not Out of the Spotlight
67,6/30/2020,A New Superpower Competition Between Beijing and Washington: China’s Nuclear Buildup,U.S. Officials Warn Russia Of China’s Nuclear Threat
68,6/4/2020,A Prisoner Release Stuns 2 American War Widows,Man Who Shot U.S. Advisers Is Set Free In Afghanistan
69,10/22/2020,A Radical Cleric Ignites an Islamist Resistance in Afghanistan,"Extremist Cleric Is a Reminder of Taliban Rule, and Perhaps a Preview"
70,7/30/2020,A Rarely Seen Weapon Destroys a Helicopter in Afghanistan,An Anti-Tank Guided Missile  Strikes an Afghan Helicopter For the 2nd Time This Year
71,6/4/2021,A Rogue Climber Running From the Law Was Fleeing His Own Trauma,"Urban Climbing Calmed His PTSD, but May Land Him in Prison"
72,3/8/2020,A Secret Accord With the Taliban: When and How the U.S. Would Leave Afghanistan,U.S. Lawmakers Balk Over Secret Benchmarks Within Taliban Peace Accord
73,5/31/2021,"A Siege, a Supply Run and a Descent Into a Decade-Old Battle",Return Mission Finds Ruins of Failed U.S. Policy
74,10/18/2020,"A Storied Female Warlord Surrenders, Taliban Say, Exposing Afghan Weakness","Taliban Claims to Defeat Revered Female Warlord, Seizing Propaganda Win"
75,8/26/2021,"A Stranded Interpreter, and the Soldiers Who Would Not Let Go","Stranded Interpreter, Increasingly in Danger, And His U.S. Soldiers"
76,9/9/2020,A Striking Reversal: Trump’s Attacks on the Military and Defense Contractors,President Says Military Fuels War Industry. Pentagon Erupts.
77,8/25/2021,A Swimmer’s Journey From Afghanistan to Refugee Camps to the Paralympics,"He Fled Afghanistan, And Headed for Open Water"
78,8/25/2021,A Taliban spokesman urges women to stay home because fighters haven’t been trained to respect them.,Women Warned to Stay  Home to Avoid Fighters
79,2/24/2021,A Top Democrat Warns Against a Hasty Withdrawal of U.S. Troops From Afghanistan,Top Democrat Doesn’t Want Troops to Quit Afghanistan
80,3/19/2021,A Top Woman in Canada’s Military Issues a Stinging Rebuke of Its Culture,A Top Woman in Canada’s Military Issues a Rebuke
81,11/4/2020,A Transfixed World Awaits What’s Next in America,A Transfixed World Awaits What’s Next in America
82,10/23/2020,A Trump Victory May Push His Defense Secretary Out an Open Door,"Awaiting Term’s End, Defense Secretary Is Already Acting Like an Ex-Official"
83,4/17/2021,A War Is Ending. A Pennsylvania Town Exhales.,A Pennsylvania Town Exhales at a War’s End
84,5/27/2021,A Wave of Afghan Surrenders to the Taliban Picks Up Speed,Afghan Bases Fall to Taliban as U.S. Heads Out
85,8/15/2021,"A Week Into Taliban Rule, One City’s Glimpse of What the Future May Hold","After Week Under New Rulers,  Kunduz May Be Hint of Future"
86,12/9/2020,A Year Like No Other: 2020 in Pictures, The Year in Pictures: Scenes From a Defining Era
87,5/13/2021,Activists and Ex-Spy Said to Have Plotted to Discredit Trump ‘Enemies’ in Government,McMaster Was Said to Be Target In Plot to Vilify Trump ‘Enemies’
88,2/15/2021,Adam Kinzinger’s Lonely Mission,Lonely Quest To Repudiate Trump Wing
89,12/2/2020,Afghan and Taliban Negotiators Agree on Peace Talks’ Procedures,Afghans Agree  With Taliban  On Procedure  For Peace Talks
90,5/1/2021,Afghan Blast on Eve of U.S. Pullout Deadline Kills at Least 27,Afghan Attack Kills 27 In Sign Peace Deal Is Off
91,7/26/2021,"Afghan Civilian Casualties Soar as U.S. Exits, Monitors Say","Afghan Civilian Deaths Soar, Monitors Say"
92,2/23/2021,Afghan Civilian Casualties Soared After Peace Talks’ Start,Afghan Civilian Casualties Rose After Peace Talks’ Start
93,7/1/2020,"Afghan Contractor Handed Out Russian Cash to Kill Americans, Officials Say","Afghan Contractor Gave Out Russian Cash, Officials Say"
94,6/27/2020,Afghan Deaths Pile Up in Uncertainty Over U.S. Deal With Taliban,"Despite Peace Deal, Violence in Afghanistan Surges"
95,8/30/2021,"Afghan Family Says Errant U.S. Missile Killed 10, Including 7 Children","In Kabul, Kin Say 10 Died  In Errant Hit By U.S. Drone"
96,8/23/2021,Afghan Fiasco Raises Hard Questions for Europe,Afghan Fiasco Shows Fault Lines in NATO
97,2/25/2021,Afghan Government Backs Repatriation of Guantánamo Detainee,Afghanistan  Files Brief For Return  Of Detainee
98,12/10/2020,Afghan Journalist Is Killed in Latest Attack on Media Figures,Afghan Journalist Is Killed in Latest Attack on Media
99,11/29/2020,"Afghan Leader Digs In on Peace Talks Despite Progress, Officials Say","Afghan Leader Hampers Peace Talks, Officials Say"
100,1/10/2021,Afghan Leaders Sideline Spokesmen in an Escalating Misinformation War,Media Clampdown Stifles Data on Afghan War Deaths
101,3/1/2020,Afghan Peace Plan Faces Its First Roadblock: Releasing Taliban Prisoners,First Stumble on Road To Peace Deal: Release Of Taliban Prisoners
102,9/10/2020,Afghan Peace Talks Begin This Week. Here’s What to Know.,Afghanistan And Taliban Set to Begin Peace Talks
103,9/3/2020,Afghan Peace Talks Set to Begin as Prisoner Swap Is Nearly Done,Afghan Talks Set to Begin  As Prisoner Swap Finishes
104,9/13/2021,Afghan Pilots Who Sought Safety in Uzbekistan Transfer to U.S. Base,Ally Pilots Who Had Escaped to Safety In Uzbekistan Are Taken to U.S. Base
105,5/16/2020,Afghan Power-Sharing Deal Would Promote General Accused of Rape,Afghans’ Power-Sharing Accord  Honors Official Accused in Rape
106,4/10/2021,Afghan President in ‘Desperate Situation’ as His Power Is Undermined,Afghan Security Fears Mount As Leader’s Influence Withers
107,3/10/2020,Afghan President Orders Taliban Prisoner Release,"In a Reversal, Afghanistan’s Leader Agrees to a Phased Release of Taliban Fighters"
108,4/7/2020,Afghan Prisoner Swap Hits Wall as Taliban Pull Out of Talks,"Taliban Pulls Out of Talks as Prisoner Swap Collapses, Imperiling U.S. Deal"
109,8/23/2021,Afghan Refugees Find a Harsh and Unfriendly Border in Turkey,"A 1,400-Mile Trek to Turkey Only to Be Told to Turn Back"
110,5/17/2020,Afghan Rivals Sign Power-Sharing Deal as Political Crisis Subsides,"Afghan Rivals Divide Power, Ending Fight Over Election"
111,5/24/2020,Afghan Sides Agree to Rare Cease-Fire During Eid al-Fitr,"For the First Time Since 2018, the Taliban Agree to a Cease-Fire With Afghan Forces"
112,8/24/2020,"Afghan Soccer Official, Charged With Sexual Abuse, Evades Arrest",Soccer Official Evades Arrest By Afghan Forces for Assault
113,9/23/2021,Afghan Uyghurs Fear Deportation as Taliban Cozy Up to China,Uyghurs Fear Taliban Will Deport Them to China
114,9/9/2020,"Afghan Vice President, Staunch Opponent of Taliban, Survives Blast","Afghan Vice President, Staunch Taliban Foe, Survives Blast That Kills 10"
115,7/30/2021,Afghan Visa Applicants Arrive in U.S. After Years of Waiting,221 Afghans Arrive in U.S. As Visa Evacuations Begin
116,4/18/2021,"Afghan Women Fear the Worst, Whether War or Peace Lies Ahead","With Much to Lose, Afghan Women Fear Stifling Return to Past"
117,9/1/2021,Afghanistan Before the Fall,Afghanistan Before the Fall
118,8/12/2021,Afghanistan Collapse Accelerates as the Taliban Capture 3 Vital Cities,Two Major Cities on Brink of Takeover
119,8/28/2021,Afghanistan Collapse and Strikes in Somalia Raise Snags for Drone Warfare Rules,Collapse of Afghanistan And Strikes in Somalia Raise Questions on Drones
120,5/2/2020,Afghanistan Investigating Claims Migrants Were Killed by Iranian Guards,Afghans Say Iran Killed Dozens of Migrants
121,9/12/2020,"Afghanistan Peace Talks Open in Qatar, Seeking End to Decades of War","Afghanistan Peace Talks Open, Seeking to End 40 Years of Bloodshed"
122,8/13/2020,Afghanistan to Investigate Video Showing Forces Mutilating Taliban Corpses,Afghanistan to Investigate Film Of Mutilation of Taliban Bodies
123,8/9/2020,"Afghanistan to Release Last Taliban Prisoners, Removing Final Hurdle to Talks",Afghan Council Agrees to Release Taliban Prisoners
124,3/1/2020,Afghanistan War Enters New Stage as U.S. Military Prepares to Exit,A Mission Shift for Afghanistan
125,8/13/2021,Afghanistan’s Unraveling May Strike Another Blow to U.S. Credibility,U.S. Afghan Departure Strikes Another Blow To American Credibility
126,9/8/2021,Afghans Flee to Pakistan. An Uncertain Future Awaits.,Afghans Flee to Pakistan.  Uncertain Future Awaits.
127,5/6/2021,Afghans Fleeing Home Are Filling the Lowliest Jobs in Istanbul,"Desperate Afghans Flee Home, Taking Grim Jobs in Istanbul"
128,9/3/2021,Afghans With Ties to U.S. Who Could Not Get Out Now Live in Fear,"Stranded and Afraid, Afghans Who Worked for U.S. Seek Any Way Out"
129,4/14/2021,Afghans Wonder ‘What About Us?’ as U.S. Troops Prepare to Withdraw,"After 2 Decades of Turmoil, Afghans Face Still More Uncertainty"
130,8/24/2020,Africa Celebrates the End of the Wild Poliovirus (but Not the End of All Polio),Africa Cheers As Wild Polio Is Eradicated
131,5/25/2020,"African-Americans Are Highly Visible in the Military, but Almost Invisible at the Top","Black Troops Fight at the Front, But Rarely Get Jobs at the Top"
132,10/28/2020,"After 12 Years, Arrest Made in Abduction of Former Times Journalist David Rohde",Taliban Leader Faces Charges In Abduction Of Journalist
133,6/15/2020,"After 13 Years on the Run, a Sudanese Militia Leader Appears in Court","Sudanese Militia Leader, a Fugitive for 13 Years, Appears in Court"
134,2/29/2020,"After 18 Years, Is This Afghan Peace, or Just a Way Out?","Will Truce Lead to Lasting Peace? For Trump, It May Not Matter"
135,8/16/2021,"After 7 Years of Failing to Fix Afghanistan, Ghani Makes a Hasty Escape",‘He’s a Coward’: Ghani’s Exit Infuriates His Countrymen
136,9/2/2020,"After Afghan Women Asked #WhereIsMyName, a Small Victory",Afghan Women Celebrate a Small Victory
137,8/27/2021,"After Airport Bombing, an Afghan Family Buries a Father, and Hope",Family That Worked With U.S. Buries a Father and Their Hopes
138,4/13/2021,"After Backing Military Force in Past, U.S.A.I.D. Nominee Focuses on Deploying Soft Power","For Biden Nominee, a Chance to Use Soft Power to Ease Global Conflicts"
139,3/23/2021,"After Capitol Riot, Senate Taps Intelligence Official to Lead Security",3 Women Take Lead Roles On Capitol Security Team
140,1/18/2021,"After Capitols Become Fortresses, Far-Right Protesters Are Mostly a No-Show","As Capitols Become Citadels, Far-Right Protesters Are Mostly No-Shows"
141,8/26/2021,"After Decades of War, ISIS and Al Qaeda Can Still Wreak Havoc",An ISIS Offshoot Claims Responsibility As Terror Groups Find a New Foothold
142,9/18/2020,"After Fire at Refugee Camp, Europe Faces a Reckoning",Migrant Fatigue Grips an Apathetic Europe
143,9/13/2020,"After Fire Razes Squalid Greek Camp, Homeless Migrants Fear What’s Next","Their Camp in Ashes, Refugees Fear It Will Be Rebuilt"
144,9/1/2021,"After Quick Victory, Taliban Find Governing Is Harder","After Swift Victory, Taliban Scramble to Govern"
145,9/4/2020,"After Report That Trump Disparaged War Dead, Democrats See Chance to Win Over Military Voters",Democrats See a Chance To Earn Military Votes
146,9/4/2020,"After Report That Trump Disparaged War Dead, Democrats See Chance to Win Over Military Voters",Democrats See a Chance To Earn Military Votes
147,9/12/2021,"After the 9/11 Attacks, Boston Found a Focus for Its Anger","After 9/11, Boston Sought Someone to Fault. It Settled on Her."
148,8/27/2021,"After Two Decades of Fighting Taliban, U.S. Is Uneasy Partners With Them","U.S. Enters ‘Cooperative’ Phase With Taliban, Drawing Criticism From All Sides"
149,6/10/2020,"Aggressive Tactics by National Guard, Ordered to Appease Trump, Wounded the Military, Too",Troops Shaken By War Tactics In City Streets
150,9/8/2021,Aid Workers Staying in Taliban-Ruled Afghanistan Tread a Tricky Path,"For the Aid Workers Still in Afghanistan, Hurdles at Every Turn"
151,10/27/2020,Al Qaeda Feels Losses in Syria and Afghanistan but Stays Resilient,"Al Qaeda Suffers Losses to Leadership, Yet Remains Resilient"
152,11/14/2020,"Al Qaeda’s No. 2, Accused in U.S. Embassy Attacks, Was Killed in Iran",Qaeda’s No. 2  Killed in August  In Iran Capital 
153,8/28/2021,All in or All Out? Biden Saw No Middle Ground in Afghanistan.,"Biden Saw Afghan Choice As Either All In, or All Out"
154,8/21/2021,America’s Afghan War: A Defeat Foretold?,America’s Afghan War: Drawing Down an Unwinnable Conflict
155,1/6/2021,America’s Friends and Foes Express Horror as Capitol Attack ‘Shakes the World’,‘It Shakes the World’: Allies Voice Shock and Dismay at Incursion
156,8/29/2021,American University of Afghanistan students and relatives trying to flee were sent home.,"College Students Dodging Taliban  Are Left Behind, Fearing for Lives"
157,3/19/2020,Americans Held Overseas in Iran and Lebanon Are Freed,Americans Held in Iran And Lebanon Are Freed
158,5/25/2020,Americans Ponder Losses Past and Present on a Subdued Memorial Day,"With Masks at Beaches, Nation Marks Muted Holiday"
159,9/6/2021,Americans Stretch Across Political Divides to Welcome Afghan Refugees,The Welcome Mat Is Out for Afghan Refugees
160,4/30/2020,"Amid a Rising Death Toll, Trump Leaves the Grieving to Others","Leaning on ‘Powerful’ and ‘Strong,’ Trump Has No Words for Grief"
161,8/27/2021,"Amid Afghan Chaos, a C.I.A. Mission That Will Persist for Years",Kabul Bombing Derails C.I.A.’s Pivot Away From Counterterrorism
162,9/29/2021,"Amid Tensions With U.S., Erdogan Praises Ties With Russia","Amid Tensions With U.S., Erdogan Meets With Putin to Talk Military Deals"
163,8/28/2021,"Among the Troops Who Died, Two Women on the Front Line",Americans Mourn 13 Fallen Troops In Final Days of War in Afghanistan
164,10/9/2020,An Afghan Boy’s Rape and Death Prompt a Rare Response: Arrests,Rare Response to Accusations Afghan Boy Was Fatally Raped: Arrests
165,3/29/2021,An Alliance of Autocracies? China Wants to Lead a New World Order.,"China Takes Message on the Road, Challenging U.S. for Global Leader Role"
166,10/31/2020,An Ancient Hill and Forgotten Dead: Afghanistan’s Haunted Outpost,‘It Makes My Hair Stand Up’: A Vacated Afghan Post Haunts Marines
167,8/16/2021,An Iconic Bridge Sees U.S. Allies Flee Afghanistan as the Soviets Did,A Soviet Echo  As Forces Flee Over a Bridge
168,5/7/2020,"An Incursion Into Venezuela, Straight Out of Hollywood",Ex-Green Beret at Center  Of Failed Venezuela Plot
169,11/10/2020,An Obama Restoration on Foreign Policy? Familiar Faces Could Fill Biden’s Team,Some on Left Fear Biden’s Situation Room May Look a Lot Like Obama’s
170,2/28/2021,An Old Legal Doctrine That Puts War Criminals in the Reach of Justice,An Old Legal Doctrine Puts War Crime Suspects Within the Reach of Justice
171,12/1/2020,Another Official Is Ousted From the Pentagon,Leader of ISIS Task Force Ousted in Pentagon Purge
172,6/29/2020,Another Young Leader Taken. Afghans Ask: How Many More?,Afghan Car Bomb Dims Another Promising Light
173,9/20/2021,Appeals Panel Overturns Army Judge’s Ruling on Torture,Pentagon Panel Overturns Army Judge’s Ruling on Use of Torture for Evidence
174,9/1/2021,Arizona Banned School Mask Mandates. Now Some Kids Are Sick and Parents Are Angry.,Arizona’s Embattled Governor Joins G.O.P. Anti-Mask Cause
175,1/3/2021,Armed Attackers Kidnap and Kill 11 Miners in Pakistan,Armed Attackers Kidnap and Kill 11 Miners in Pakistan
176,5/29/2020,Army Withdraws Nomination for Officer Involved in Deadly Niger Ambush,Promotion Pulled for Officer Over Niger Ambush
177,8/8/2021,"As Afghan Cities Fall to Taliban, Brutal New Chapter Unfolds",3 Afghan Cities  Fall to Taliban
178,7/2/2021,"As Afghan Forces Crumble, an Air of Unreality Grips the Capital","In Kabul, High Tension and an Air of Unreality"
179,9/6/2021,"As Afghan Refugee Crisis Unfolds, Survivors Recall ‘Miracle’ Evacuation","As Afghan Refugee Crisis Unfolds, Koreans Recall ‘Miracle’ Evacuation"
180,8/22/2021,"As Afghanistan Collapses, a Lament for ‘Repeating the Same Mistakes’","20 Years Ago, a Lone U.S. Representative Warned Against ‘Perpetual War’"
181,3/18/2021,"As Biden and Xi Begin a Careful Dance, a New American Policy Takes Shape",A Pivotal Reset On China Policy By Biden’s Team
182,8/22/2021,"As Biden Faces a Political Crisis, His Party Looks On in Alarm","As Biden Faces Political Crisis, the Democratic Party Looks On in Alarm"
183,6/13/2021,"As Biden Meeting Nears, Erdogan Softens His Stance","Facing a More Skeptical U.S., Erdogan Tempers His Defiant Tone"
184,9/27/2020,"As Covid-19 Closes Schools, the World’s Children Go to Work","Virus Closed Schools, and World’s Poorest Children Went to Work"
185,7/31/2021,"As Fears Grip Afghanistan, Hundreds of Thousands Flee","As Taliban Stoke Fear, Multitudes Flee Afghanistan"
186,9/15/2021,"As G.O.P. Digs In on Debt Ceiling, Democrats Try Shaming McConnell",Democrats’ Strategy on Debt Ceiling: Discredit McConnell
187,6/10/2021,"As Military Addresses Diversity, Republicans See Culture War Target",Diversity Push Inside Military Spurs Backlash
188,9/30/2021,"As Need in Afghanistan Grows Dire, Aid Groups Plead for Help","As a Crisis in Afghanistan  Is Growing Dire, Aid Groups  Are Pleading for Assistance"
189,7/3/2020,"As Neo-Nazis Seed Military Ranks, Germany Confronts ‘an Enemy Within’",German Force  Fears Inroads  By Neo-Nazis
190,9/4/2020,"As Others Condemn Putin Critic’s Poisoning, Trump Just Wants to ‘Get Along’","As Others Condemn Dissident’s Poisoning, Trump Just Wants to ‘Get Along’"
191,3/19/2020,"As Pandemic Grows, U.S. Warns Americans Not to Travel Abroad",U.S. Strengthens Its Warning on Travel
192,11/21/2020,"As Pompeo Prepared to Meet Afghan Warring Parties, New Attack Struck Kabul",Pompeo Sees Negotiators Just After Kabul Attack
193,5/21/2020,"As Saudi Official Hid Abroad, His Family Became a Target at Home",Family of Saudi Ex-Officer Who Is Hiding in Canada Became a Target at Home
194,8/5/2021,"As Taliban Advance, Biden Officials Cling to Hope for Afghan Peace","As Taliban Advance, U.S. Clings to Hope for Peace"
195,8/8/2021,"As Taliban Capture Cities, U.S. Says Afghan Forces Must Fend for Themselves",Signal as U.S. Mission Ends: You’re on Your Own
196,9/8/2021,"As Taliban Crush Dissent, New Leaders Face Cascading Challenges","As Taliban Crush Dissent, New Leaders Face Cascading Challenges"
197,8/13/2021,"As the Taliban Advance in Afghanistan, Pressure on Pakistan Grows",Pressure on Pakistan as Taliban Advance
198,8/29/2021,"As the Taliban Tighten Their Grip, Fears of Retribution Grow",Reports of Detentions and Executions Despite Taliban Vow of Amnesty
199,6/29/2021,"As the U.S. Pulls Out of Afghanistan, Kabul’s Airport Is a Final Stand",Last Stand in Exit Plan Is Kabul Airport Security
200,9/15/2020,"As U.N. Turns 75, the Celebration Is Muted by Calamity and Conflict",The United Nations Turns 75 Amid Calamity and Conflict
201,8/10/2021,"As U.S. Leaves Afghanistan, History Suggests It May Struggle to Stay Out","As U.S. Exits Afghanistan, History Implies It May Have to Return"
202,3/22/2020,"As U.S. Troops Leave Afghanistan, Diplomats Are Left to Fill Uncertain Mission",U.S. Troops’ Afghan Exit Ties Embassy’s Fate to a Fragile Peace Process
