date,abstract,lead.paragraph,snippet,section.name,subsection.name,news.desk,byline,headline.main,headline.print,headline.kicker,material,url,,
2/24/2021,Senator Jack Reed said he favored seeking an extension of the May 1 deadline for withdrawing troops that President Donald Trump and the Taliban negotiated last year.,WASHINGTON — The new chairman of the Senate Armed Services Committee said on Wednesday that the Biden administration should not withdraw all U.S. forces from Afghanistan to meet a May 1 deadline negotiated by the Trump administration and the Taliban.,Senator Jack Reed said he favored seeking an extension of the May 1 deadline for withdrawing troops that President Donald Trump and the Taliban negotiated last year.,World,Asia Pacific,Washington,By Eric Schmitt,A Top Democrat Warns Against a Hasty Withdrawal of U.S. Troops From Afghanistan,Top Democrat Doesn’t Want Troops to Quit Afghanistan,NA,News,https://www.nytimes.com/2021/02/24/world/asia/afghan-troops-withdrawal-senator-reed.html,,
4/20/2021,The military is examining where it can reposition troops to prevent Afghanistan from once again becoming a terrorist base.,WASHINGTON — The top American commander in the Middle East said on Tuesday that it would be “extremely difficult” for the United States to watch and counter terrorist threats in Afghanistan like Al Qaeda after American troops leave the country by Sept. 11.,The military is examining where it can reposition troops to prevent Afghanistan from once again becoming a terrorist base.,U.S.,Politics,Washington,By Eric Schmitt,General Warns of Challenges to Tracking Terrorist Threats in Afghanistan After U.S. Exits,"Withdrawal  Will Erode Intelligence, General Says",NA,News,https://www.nytimes.com/2021/04/20/us/politics/biden-afghanistan-withdrawal-terrorism.html,,
2/29/2020,"After more than a year of talks, the agreement lays out the beginning of the end of the United States’ longest war. But many obstacles remain.","DOHA, Qatar — The United States signed a deal with the Taliban on Saturday that sets the stage to end America’s longest war — the nearly two-decade-old conflict in Afghanistan that began after the Sept. 11 attacks, killed tens of thousands of people, vexed three White House administrations and left mistrust and uncertainty on all sides.","After more than a year of talks, the agreement lays out the beginning of the end of the United States’ longest war. But many obstacles remain.",World,Asia Pacific,Foreign,By Mujib Mashal,Taliban and U.S. Strike Deal to Withdraw American Troops From Afghanistan,U.S. and Taliban Sign Withdrawal Accord,NA,News,https://www.nytimes.com/2020/02/29/world/asia/us-taliban-deal.html,,
4/14/2021,"The alliance’s mantra has always been “in together and out together,” so with the U.S. leaving, the pullout did not come as a surprise.","BRUSSELS — Following the news that the United States was pulling all its troops from Afghanistan by Sept. 11, NATO’s foreign and defense ministers agreed on Wednesday to begin withdrawing NATO forces on May 1 and finish “within a few months,” the alliance said in a statement.","The alliance’s mantra has always been “in together and out together,” so with the U.S. leaving, the pullout did not come as a surprise.",World,Asia Pacific,Foreign,By Steven Erlanger,NATO Confirms Its Troop Withdrawal From Afghanistan,"NATO Pledges an ‘Orderly, Coordinated and Deliberate’ Exit by Its Troops",NA,News,https://www.nytimes.com/2021/04/14/world/asia/nato-afghanistan-troops-withdrawal.html,,
4/21/2021,"Military officials said the request was headed to the desk of Defense Secretary Lloyd J. Austin III, who is expected to decide soon.","WASHINGTON — Military commanders are seeking to deploy an aircraft carrier specifically to help protect NATO troops in Afghanistan as they withdraw, the clearest sign yet that the Pentagon is preparing for a fight as it closes the books on America’s longest war.","Military officials said the request was headed to the desk of Defense Secretary Lloyd J. Austin III, who is expected to decide soon.",U.S.,Politics,Washington,"By Helene Cooper, Eric Schmitt and Thomas Gibbons-Neff","Pentagon Seeks Carrier Deployment as It Exits Afghanistan, in Sign It’s Readying for a Fight",Pentagon Asks for a Carrier to Shield Its Afghan Exit,NA,News,https://www.nytimes.com/2021/04/21/us/politics/afghanistan-withdrawal-pentagon.html,,
2/26/2021,Breaking our agreement with the Taliban will endanger American troops and entrench them in an unwinnable war.,"President Joe Biden faces a defining foreign policy decision: The United States signed a deal with the Taliban last year in Doha, Qatar, offering an American commitment to withdraw troops from Afghanistan by May 1 in exchange for a Taliban promise not to allow the country to be used by transnational terrorists.",Breaking our agreement with the Taliban will endanger American troops and entrench them in an unwinnable war.,Opinion,NA,OpEd,By William Ruger,Why President Biden Must Withdraw From Afghanistan,Keep the Afghanistan Agreement,NA,Op-Ed,https://www.nytimes.com/2021/02/26/opinion/biden-afghanistan-war.html,,
12/1/2020,The Biden administration should support a regional effort to stabilize Afghanistan.,"For years, the stalemate in Afghanistan has left American officials torn between two bad options: Prop up a corrupt, hopelessly divided Afghan government indefinitely or admit defeat and go home, leaving the country to its fate. At 19 years and counting, the U.S.-led effort in Afghanistan is already the longest war in American history. A consensus has been forming that it is time for U.S. troops to come home. But the speed of the withdrawal and whether any residual force will be left behind to carry out counterterrorism operations remain open questions.",The Biden administration should support a regional effort to stabilize Afghanistan.,Opinion,NA,Editorial,By The Editorial Board,How to End a Forever War,A Responsible Exit From Afghanistan,NA,Editorial,https://www.nytimes.com/2020/11/30/opinion/afghanistan-withdrawal-biden.html,,
4/14/2021,What will happen to women and minorities? Can the Afghan president hold on to power? These and other pressing questions face a fearful country as the United States military withdraws.,"The reality of an imminent American withdrawal from Afghanistan differs from its long-anticipated likelihood. Already the anxiety engendered by this new certainty in the capital, Kabul, and other urban centers is making itself felt.",What will happen to women and minorities? Can the Afghan president hold on to power? These and other pressing questions face a fearful country as the United States military withdraws.,World,Asia Pacific,Foreign,By Adam Nossiter,The Crucial Questions for Afghanistan,NA,NA,News,https://www.nytimes.com/2021/04/14/world/asia/afghanistan-troop-withdrawal.html,,
11/13/2020,President Trump’s supporters hope he is the president to end America’s longest war.,WASHINGTON — Consistent is not the adjective many would use to describe President Trump’s national security policy. But there is one goal he has nurtured since the 2016 campaign: withdrawing all American troops from Afghanistan.,President Trump’s supporters hope he is the president to end America’s longest war.,U.S.,Politics,Washington,By Jennifer Steinhauer,Trump Pentagon Purge Could Accelerate His Goal to Pull Troops From Afghanistan,President’s Pentagon Purge Could Accelerate Pullout Of Troops in Afghanistan,NA,News,https://www.nytimes.com/2020/11/13/us/politics/trump-afghanistan-troops.html,,
3/21/2021,"Lloyd J. Austin III spoke with reporters on Sunday after meeting with the Afghan president, Ashraf Ghani. The defense secretary declined to comment on a withdrawal deadline for U.S. troops tentatively set for May 1.","Lloyd J. Austin III spoke with reporters on Sunday after meeting with the Afghan president, Ashraf Ghani. The defense secretary declined to comment on a withdrawal deadline for U.S. troops tentatively set for May 1.","Lloyd J. Austin III spoke with reporters on Sunday after meeting with the Afghan president, Ashraf Ghani. The defense secretary declined to comment on a withdrawal deadline for U.S. troops tentatively set for May 1.",U.S.,Politics,,By The New York Times,Defense Secretary Austin Makes Unannounced Visit to Afghanistan,NA,NA,Video,https://www.nytimes.com/video/us/politics/100000007666161/defense-secretary-austin-afghanistan-visit.html,,
2/19/2021,"Defense Secretary Lloyd J. Austin III on Friday announced that his department was committed to a “responsible and sustainable” end to the war in Afghanistan, but promised NATO allies that there would not be a hasty withdrawal of U.S. forces.","Defense Secretary Lloyd J. Austin III on Friday announced that his department was committed to a “responsible and sustainable” end to the war in Afghanistan, but promised NATO allies that there would not be a hasty withdrawal of U.S. forces.","Defense Secretary Lloyd J. Austin III on Friday announced that his department was committed to a “responsible and sustainable” end to the war in Afghanistan, but promised NATO allies that there would not be a hasty withdrawal of U.S. forces.",U.S.,Politics,,By Reuters,Lloyd J. Austin Discusses Afghanistan Policy Goals,NA,NA,Video,https://www.nytimes.com/video/us/politics/100000007614889/lloyd-j-austin-discusses-afghanistan-policy-goals.html,,
3/25/2021,President Biden said that a full withdrawal of U.S. troops from Afghanistan by a May 1 deadline was unlikely. He also warned that the United States would respond if North Korea escalated violations of U.N. resolutions.,President Biden said that a full withdrawal of U.S. troops from Afghanistan by a May 1 deadline was unlikely. He also warned that the United States would respond if North Korea escalated violations of U.N. resolutions.,President Biden said that a full withdrawal of U.S. troops from Afghanistan by a May 1 deadline was unlikely. He also warned that the United States would respond if North Korea escalated violations of U.N. resolutions.,U.S.,Politics,,By The New York Times,Biden Suggests U.S. Will Withdraw Troops in Afghanistan This Year,NA,NA,Video,https://www.nytimes.com/video/us/politics/100000007675408/biden-afghanistan-troops-north-korea-missiles.html,,
6/19/2020,"The phased troop withdrawal has continued on schedule, even as other parts of a peace deal with the Taliban have faced setbacks and delays.","KABUL, Afghanistan — The United States has reduced the number of troops it has in Afghanistan to 8,600 in accordance with a preliminary peace deal with the Taliban, a top American general said on Thursday, even as other aspects of the plan to end the war have faced setbacks and delays.","The phased troop withdrawal has continued on schedule, even as other parts of a peace deal with the Taliban have faced setbacks and delays.",World,Asia Pacific,Foreign,By Mujib Mashal,"U.S. Troops in Afghanistan Reduced to 8,600, General Says",NA,NA,News,https://www.nytimes.com/2020/06/19/world/asia/afghanistan-us-troop-withdrawal.html,,
3/4/2020,"After 14 months, the United States would be left without any military or counterterrorism capacity in Afghanistan, effectively subcontracting America’s security to the Taliban.","Sometimes, foreign policy consists of trying to make lemonade out of lemons.","After 14 months, the United States would be left without any military or counterterrorism capacity in Afghanistan, effectively subcontracting America’s security to the Taliban.",Opinion,NA,OpEd,By Susan E. Rice,An Afghan Bargain Likely to Fail,NA,NA,Op-Ed,https://www.nytimes.com/2020/03/04/opinion/afghan-bargain-fail.html,,
3/19/2021,The foreign policy establishment just can’t admit when it got things wrong.,"As his two predecessors did, President Biden has pledged to end the war in Afghanistan. But also as his two predecessors did, he could end up tragically perpetuating it. Outnumbered by a national security establishment fixated on continuing this misadventure, the Biden team will need courage and clarity if it is to finally disentangle America from what has become a futile struggle.",The foreign policy establishment just can’t admit when it got things wrong.,Opinion,NA,OpEd,By Mark Hannah,Why Is It So Tough to Leave Afghanistan?,NA,NA,Op-Ed,https://www.nytimes.com/2021/03/19/opinion/biden-afghanistan.html,,
11/12/2020,"Afghans fear the Taliban are subverting the peace process, and hope a Biden administration will bring more accountability.","KABUL, Afghanistan — Three U.S. presidents and 19 years later, it is President-elect Joseph R. Biden’s turn to inherit the American war in Afghanistan. The question that is leaving Afghans hanging is just how quickly he will remove troops.","Afghans fear the Taliban are subverting the peace process, and hope a Biden administration will bring more accountability.",World,Asia Pacific,Foreign,By Thomas Gibbons-Neff,"U.S. Troops Are Still Leaving, but Afghans Hope Biden Will Help",Afghans Look to Biden for Stability as U.S. Troops Leave,NA,News,https://www.nytimes.com/2020/11/12/world/asia/biden-afghanistan-withdrawal.html,,
4/19/2021,"Leaving proves Osama bin Laden right: Eventually, America cuts and runs.","I once boarded a flight from Dubai to Kabul alongside a team of Afghan soccer players — teenage girls in red uniforms, chatting and laughing much as they might have anywhere else in the world. I thought of those players again after President Biden announced plans for America’s complete military withdrawal from Afghanistan.","Leaving proves Osama bin Laden right: Eventually, America cuts and runs.",Opinion,NA,OpEd,By Bret Stephens,Abandoning Afghanistan Is a Historic Mistake,Abandoning Afghanistan Is A Huge Error,NA,Op-Ed,https://www.nytimes.com/2021/04/19/opinion/afghanistan-biden-troops.html,,
4/18/2021,Whatever happens once the United States withdraws will not bode well for Afghan women. But even the gains made for them over the last 20 years have often been fleeting.,"KABUL, Afghanistan — Farzana Ahmadi watched as a neighbor in her village in northern Afghanistan was flogged by Taliban fighters last month. The crime: Her face was uncovered.",Whatever happens once the United States withdraws will not bode well for Afghan women. But even the gains made for them over the last 20 years have often been fleeting.,World,Asia Pacific,Foreign,"By Thomas Gibbons-Neff, Fatima Faizi and Najim Rahim","Afghan Women Fear the Worst, Whether War or Peace Lies Ahead","With Much to Lose, Afghan Women Fear Stifling Return to Past",NA,News,https://www.nytimes.com/2021/04/18/world/asia/women-afghanistan-withdrawal-us.html,,
12/2/2020,"Afghan government and Taliban officials said they had finalized the terms to guide future talks, opening the door to a new phase of negotiations toward a long-term peace.","Afghan government and Taliban negotiators in Qatar have agreed to the principles and procedures that will guide the ongoing peace negotiations between them, Taliban and Afghan officials announced on Wednesday, an important move that could pave the way for talks that have been hobbled by disagreements for more than two months.","Afghan government and Taliban officials said they had finalized the terms to guide future talks, opening the door to a new phase of negotiations toward a long-term peace.",World,Asia Pacific,Foreign,By Thomas Gibbons-Neff and Fatima Faizi,Afghan and Taliban Negotiators Agree on Peace Talks’ Procedures,Afghans Agree  With Taliban  On Procedure  For Peace Talks,NA,News,https://www.nytimes.com/2020/12/02/world/asia/afghan-and-taliban-negotiators-agree-on-peace-talks-procedures.html,,
4/22/2021,"The U.S. military departed the country on Aug. 30, a day ahead of schedule, ending a 20-year occupation and leaving Afghanistan in the Taliban’s hands.",The American mission in Afghanistan has come to a tragic and chaotic end.,"The U.S. military departed the country on Aug. 30, a day ahead of schedule, ending a 20-year occupation and leaving Afghanistan in the Taliban’s hands.",World,Asia Pacific,Foreign,By David Zucchino,"The U.S. War in Afghanistan: How It Started, and How It Ended",America’s War in Afghanistan: How It Started and How It Is Ending,NA,News,https://www.nytimes.com/article/afghanistan-war-us.html,,
3/1/2020,The deal signed on Saturday could have the United States conducting strikes to aid old enemies like the Taliban — or lead to a complete withdrawal from the country.,"WASHINGTON — Intelligence briefers regularly present President Trump with a classified map of Afghanistan, usually the only report on the war he examines, displaying the strikes carried out in recent days and, critically, the number of Taliban and other militants killed.",The deal signed on Saturday could have the United States conducting strikes to aid old enemies like the Taliban — or lead to a complete withdrawal from the country.,World,Asia Pacific,Washington,"By Julian E. Barnes, Thomas Gibbons-Neff and Eric Schmitt",Afghanistan War Enters New Stage as U.S. Military Prepares to Exit,A Mission Shift for Afghanistan,NA,News,https://www.nytimes.com/2020/03/01/world/asia/afghanistan-war-troops-cia.html,,
5/26/2020,President Trump has repeatedly voiced a desire to leave Afghanistan sooner than the timeline laid out in the Feb. 29 peace agreement. He may want to campaign on bringing home every soldier.,"WASHINGTON — Senior military officials are set to brief President Trump in the coming days on options for pulling all American troops out of Afghanistan, with one possible timeline for withdrawing forces before the presidential election, according to officials with knowledge of the plans.",President Trump has repeatedly voiced a desire to leave Afghanistan sooner than the timeline laid out in the Feb. 29 peace agreement. He may want to campaign on bringing home every soldier.,World,Asia Pacific,Washington,By Thomas Gibbons-Neff and Julian E. Barnes,Trump Wants Troops in Afghanistan Home by Election Day. The Pentagon Is Drawing Up Plans.,Trump Wants Troops in Afghanistan Home by Election Day,NA,News,https://www.nytimes.com/2020/05/26/world/asia/afghanistan-troop-withdrawal-election-day.html,,
2/16/2021,The question is whether the small contingent of American troops can accomplish anything after 20 years — and whether full withdrawal would clear the way for Taliban advances.,"WASHINGTON — The previous two presidents of the United States declared they wanted to pull all American troops out of Afghanistan, and they both decided in the end that they could not do it.",The question is whether the small contingent of American troops can accomplish anything after 20 years — and whether full withdrawal would clear the way for Taliban advances.,U.S.,Politics,Washington,"By Helene Cooper, Eric Schmitt and David E. Sanger","Stay or Go? Biden, Long a Critic of Afghan Deployments, Faces a Deadline",Test for Biden: Can U.S. Exit Afghanistan?,NA,News,https://www.nytimes.com/2021/02/16/us/politics/biden-afghanistan-troop-withdrawal-taliban.html,,
4/21/2021,The Taliban have been recording and contesting every perceived U.S. violation of the troop withdrawal deal.,"DOHA, Qatar — In the twilight months of the United States’ war in Afghanistan, Americans fought the Taliban, not over fields or villages or hearts and minds, but over spreadsheets.",The Taliban have been recording and contesting every perceived U.S. violation of the troop withdrawal deal.,World,Asia Pacific,Foreign,By Thomas Gibbons-Neff,"War, Peace and Taliban Spreadsheets","War, Peace and Spreadsheets In a Countdown to Withdrawal",NA,News,https://www.nytimes.com/2021/04/21/world/asia/afghanistan-taliban-spreadsheets.html,,
2/4/2021,"The move halts a Trump administration decision to shift some units to Belgium and Italy and bring others home, a plan that had rankled European leaders and angered lawmakers in both parties.","WASHINGTON — President Biden is freezing plans to withdraw 12,000 American troops from Germany, administration officials said on Thursday, and has ordered the Pentagon to conduct a review of how American forces are deployed around the world.","The move halts a Trump administration decision to shift some units to Belgium and Italy and bring others home, a plan that had rankled European leaders and angered lawmakers in both parties.",U.S.,Politics,Washington,By Helene Cooper,"Biden Freezes Trump’s Withdrawal of 12,000 Troops From Germany",NA,NA,News,https://www.nytimes.com/2021/02/04/us/politics/biden-germany-troops-trump.html,,
2/15/2021,"The Taliban have positioned themselves around several major population centers, including the capital of Kandahar Province, as the Biden administration weighs whether to withdraw or to stay.","PANJWAI, Afghanistan — The Taliban have been encroaching on key cities around Afghanistan for months, threatening to drive the country to its breaking point and push the Biden administration into a no-win situation just as the United States’ longest war is supposed to be coming to an end.","The Taliban have positioned themselves around several major population centers, including the capital of Kandahar Province, as the Biden administration weighs whether to withdraw or to stay.",World,Asia Pacific,Foreign,"By Thomas Gibbons-Neff, Taimoor Shah and Jim Huylebroek","The Taliban Close In on Afghan Cities, Pushing the Country to the Brink","Taliban Circle Afghan Cities,  Provoking U.S.",NA,News,https://www.nytimes.com/2021/02/15/world/asia/taliban-afghanistan.html,,
10/8/2020,"President Trump suggested a timeline as early as Christmas, prompting confusion among administration officials.","WASHINGTON — President Trump’s national security adviser announced on Wednesday that the United States would cut its troops in Afghanistan to 2,500 by early next year.","President Trump suggested a timeline as early as Christmas, prompting confusion among administration officials.",U.S.,Politics,Washington,By Helene Cooper and Eric Schmitt,"U.S. Seeks to Draw Down Its Troops in Afghanistan to 2,500 by Early 2021","U.S. to Cut Troops in Afghanistan to 2,500",NA,News,https://www.nytimes.com/2020/10/07/us/politics/us-troops-afghanistan.html,,
1/1/2021,"The Afghan government and the Taliban reconvened in January to continue negotiations toward a cease-fire, but several fundamental issues stand in the way of progress.","KABUL, Afghanistan — After four decades of grinding combat in Afghanistan, peace negotiations between the Afghan government and the Taliban have raised at least a possibility that the long cycle of violence might someday end.","The Afghan government and the Taliban reconvened in January to continue negotiations toward a cease-fire, but several fundamental issues stand in the way of progress.",World,Asia Pacific,Foreign,By David Zucchino and Thomas Gibbons-Neff,What to Know About the Afghan Peace Talks,Troubled Afghan-Taliban Peace Talks Set to Enter Next Phase,NA,News,https://www.nytimes.com/2021/01/01/world/asia/afghanistan-peace-talks.html,,
