doc_id,date,text
44,8/19/2021,A 17-year-old Afghan soccer player died falling from a U.S. evacuation plane.
45,8/27/2021,"A baby born on an evacuation flight is named Reach, after the aircraft’s call sign."
46,3/4/2020,"A Balancing Act for Europe: Stop the Migrants, Support Greece, Assuage Turkey"
47,5/11/2021,A Black Colonel Takes Command of a Key Marine Corps Brigade
48,7/23/2021,"A Border Reopening, at Least One Way, and Some Travel Tips"
49,9/21/2021,A Botched Drone Strike in Kabul Started With the Wrong Car
50,1/20/2021,A Call for Unity to a Nation Facing a Pandemic and Division
51,5/21/2020,"A Campaign Milestone: ‘I Was Drugged and Raped,’ Heard in a Candidate’s Ad"
52,5/13/2021,A City Under Siege: What the War Looks Like on Afghanistan’s Front Line
53,3/4/2021,A College President Worried About the Risks of Dorm Isolation. So He Moved In.
54,12/19/2020,A Covid-19 Surge and Conspiracy Theories Roil Pakistan
55,9/24/2021,A Dangerous Scramble to Evacuate Afghan Nonprofit Workers
56,8/28/2021,A Digital Dunkirk: Veterans Online Scramble to Get People Out of Afghanistan
57,12/29/2020,A Far-Right Terrorism Suspect With a Refugee Disguise: The Tale of Franco A.
58,5/15/2021,A Fragile Ceasefire Lets Afghans Risk Travel for Eid
59,12/31/2020,A German Town Warily Considers a Future Without a Deep U.S. Presence
60,7/22/2020,A Girl’s Heroic Battle Against the Taliban Was Also a Family Feud
61,9/20/2021,A Harsh New Reality for Afghan Women and Girls in Taliban-Run Schools
62,8/28/2021,A Journey Through Kabul on the Day of the Fall
63,9/13/2021,"A Million Afghan Children Could Die in ‘Most Perilous Hour,’ U.N. Warns"
64,11/27/2020,"A Mother, Her Son — and Their 1,500-Mile Search for Home"
65,9/24/2021,A Nervy Trip to Kabul: How Ukraine Negotiated With the Taliban and Rescued 96 Afghans
66,2/17/2021,A New Pregnancy and an Oprah Interview Refocus a Spotlight on Harry and Meghan
67,6/30/2020,A New Superpower Competition Between Beijing and Washington: China’s Nuclear Buildup
68,6/4/2020,A Prisoner Release Stuns 2 American War Widows
69,10/22/2020,A Radical Cleric Ignites an Islamist Resistance in Afghanistan
70,7/30/2020,A Rarely Seen Weapon Destroys a Helicopter in Afghanistan
71,6/4/2021,A Rogue Climber Running From the Law Was Fleeing His Own Trauma
72,3/8/2020,A Secret Accord With the Taliban: When and How the U.S. Would Leave Afghanistan
73,5/31/2021,"A Siege, a Supply Run and a Descent Into a Decade-Old Battle"
74,10/18/2020,"A Storied Female Warlord Surrenders, Taliban Say, Exposing Afghan Weakness"
75,8/26/2021,"A Stranded Interpreter, and the Soldiers Who Would Not Let Go"
76,9/9/2020,A Striking Reversal: Trump’s Attacks on the Military and Defense Contractors
77,8/25/2021,A Swimmer’s Journey From Afghanistan to Refugee Camps to the Paralympics
78,8/25/2021,A Taliban spokesman urges women to stay home because fighters haven’t been trained to respect them.
79,2/24/2021,A Top Democrat Warns Against a Hasty Withdrawal of U.S. Troops From Afghanistan
80,3/19/2021,A Top Woman in Canada’s Military Issues a Stinging Rebuke of Its Culture
81,11/4/2020,A Transfixed World Awaits What’s Next in America
82,10/23/2020,A Trump Victory May Push His Defense Secretary Out an Open Door
83,4/17/2021,A War Is Ending. A Pennsylvania Town Exhales.
84,5/27/2021,A Wave of Afghan Surrenders to the Taliban Picks Up Speed
85,8/15/2021,"A Week Into Taliban Rule, One City’s Glimpse of What the Future May Hold"
86,12/9/2020,A Year Like No Other: 2020 in Pictures
87,5/13/2021,Activists and Ex-Spy Said to Have Plotted to Discredit Trump ‘Enemies’ in Government
88,2/15/2021,Adam Kinzinger’s Lonely Mission
89,12/2/2020,Afghan and Taliban Negotiators Agree on Peace Talks’ Procedures
90,5/1/2021,Afghan Blast on Eve of U.S. Pullout Deadline Kills at Least 27
91,7/26/2021,"Afghan Civilian Casualties Soar as U.S. Exits, Monitors Say"
92,2/23/2021,Afghan Civilian Casualties Soared After Peace Talks’ Start
93,7/1/2020,"Afghan Contractor Handed Out Russian Cash to Kill Americans, Officials Say"
94,6/27/2020,Afghan Deaths Pile Up in Uncertainty Over U.S. Deal With Taliban
95,8/30/2021,"Afghan Family Says Errant U.S. Missile Killed 10, Including 7 Children"
96,8/23/2021,Afghan Fiasco Raises Hard Questions for Europe
97,2/25/2021,Afghan Government Backs Repatriation of Guantánamo Detainee
98,12/10/2020,Afghan Journalist Is Killed in Latest Attack on Media Figures
99,11/29/2020,"Afghan Leader Digs In on Peace Talks Despite Progress, Officials Say"
100,1/10/2021,Afghan Leaders Sideline Spokesmen in an Escalating Misinformation War
101,3/1/2020,Afghan Peace Plan Faces Its First Roadblock: Releasing Taliban Prisoners
102,9/10/2020,Afghan Peace Talks Begin This Week. Here’s What to Know.
103,9/3/2020,Afghan Peace Talks Set to Begin as Prisoner Swap Is Nearly Done
104,9/13/2021,Afghan Pilots Who Sought Safety in Uzbekistan Transfer to U.S. Base
105,5/16/2020,Afghan Power-Sharing Deal Would Promote General Accused of Rape
106,4/10/2021,Afghan President in ‘Desperate Situation’ as His Power Is Undermined
107,3/10/2020,Afghan President Orders Taliban Prisoner Release
108,4/7/2020,Afghan Prisoner Swap Hits Wall as Taliban Pull Out of Talks
109,8/23/2021,Afghan Refugees Find a Harsh and Unfriendly Border in Turkey
110,5/17/2020,Afghan Rivals Sign Power-Sharing Deal as Political Crisis Subsides
111,5/24/2020,Afghan Sides Agree to Rare Cease-Fire During Eid al-Fitr
112,8/24/2020,"Afghan Soccer Official, Charged With Sexual Abuse, Evades Arrest"
113,9/23/2021,Afghan Uyghurs Fear Deportation as Taliban Cozy Up to China
114,9/9/2020,"Afghan Vice President, Staunch Opponent of Taliban, Survives Blast"
115,7/30/2021,Afghan Visa Applicants Arrive in U.S. After Years of Waiting
116,4/18/2021,"Afghan Women Fear the Worst, Whether War or Peace Lies Ahead"
117,9/1/2021,Afghanistan Before the Fall
118,8/12/2021,Afghanistan Collapse Accelerates as the Taliban Capture 3 Vital Cities
119,8/28/2021,Afghanistan Collapse and Strikes in Somalia Raise Snags for Drone Warfare Rules
120,5/2/2020,Afghanistan Investigating Claims Migrants Were Killed by Iranian Guards
121,9/12/2020,"Afghanistan Peace Talks Open in Qatar, Seeking End to Decades of War"
122,8/13/2020,Afghanistan to Investigate Video Showing Forces Mutilating Taliban Corpses
123,8/9/2020,"Afghanistan to Release Last Taliban Prisoners, Removing Final Hurdle to Talks"
124,3/1/2020,Afghanistan War Enters New Stage as U.S. Military Prepares to Exit
125,8/13/2021,Afghanistan’s Unraveling May Strike Another Blow to U.S. Credibility
126,9/8/2021,Afghans Flee to Pakistan. An Uncertain Future Awaits.
127,5/6/2021,Afghans Fleeing Home Are Filling the Lowliest Jobs in Istanbul
128,9/3/2021,Afghans With Ties to U.S. Who Could Not Get Out Now Live in Fear
129,4/14/2021,Afghans Wonder ‘What About Us?’ as U.S. Troops Prepare to Withdraw
130,8/24/2020,Africa Celebrates the End of the Wild Poliovirus (but Not the End of All Polio)
131,5/25/2020,"African-Americans Are Highly Visible in the Military, but Almost Invisible at the Top"
132,10/28/2020,"After 12 Years, Arrest Made in Abduction of Former Times Journalist David Rohde"
133,6/15/2020,"After 13 Years on the Run, a Sudanese Militia Leader Appears in Court"
134,2/29/2020,"After 18 Years, Is This Afghan Peace, or Just a Way Out?"
135,8/16/2021,"After 7 Years of Failing to Fix Afghanistan, Ghani Makes a Hasty Escape"
136,9/2/2020,"After Afghan Women Asked #WhereIsMyName, a Small Victory"
137,8/27/2021,"After Airport Bombing, an Afghan Family Buries a Father, and Hope"
138,4/13/2021,"After Backing Military Force in Past, U.S.A.I.D. Nominee Focuses on Deploying Soft Power"
139,3/23/2021,"After Capitol Riot, Senate Taps Intelligence Official to Lead Security"
140,1/18/2021,"After Capitols Become Fortresses, Far-Right Protesters Are Mostly a No-Show"
141,8/26/2021,"After Decades of War, ISIS and Al Qaeda Can Still Wreak Havoc"
142,9/18/2020,"After Fire at Refugee Camp, Europe Faces a Reckoning"
143,9/13/2020,"After Fire Razes Squalid Greek Camp, Homeless Migrants Fear What’s Next"
144,9/1/2021,"After Quick Victory, Taliban Find Governing Is Harder"
145,9/4/2020,"After Report That Trump Disparaged War Dead, Democrats See Chance to Win Over Military Voters"
146,9/4/2020,"After Report That Trump Disparaged War Dead, Democrats See Chance to Win Over Military Voters"
147,9/12/2021,"After the 9/11 Attacks, Boston Found a Focus for Its Anger"
148,8/27/2021,"After Two Decades of Fighting Taliban, U.S. Is Uneasy Partners With Them"
149,6/10/2020,"Aggressive Tactics by National Guard, Ordered to Appease Trump, Wounded the Military, Too"
150,9/8/2021,Aid Workers Staying in Taliban-Ruled Afghanistan Tread a Tricky Path
151,10/27/2020,Al Qaeda Feels Losses in Syria and Afghanistan but Stays Resilient
152,11/14/2020,"Al Qaeda’s No. 2, Accused in U.S. Embassy Attacks, Was Killed in Iran"
153,8/28/2021,All in or All Out? Biden Saw No Middle Ground in Afghanistan.
154,8/21/2021,America’s Afghan War: A Defeat Foretold?
155,1/6/2021,America’s Friends and Foes Express Horror as Capitol Attack ‘Shakes the World’
156,8/29/2021,American University of Afghanistan students and relatives trying to flee were sent home.
157,3/19/2020,Americans Held Overseas in Iran and Lebanon Are Freed
158,5/25/2020,Americans Ponder Losses Past and Present on a Subdued Memorial Day
159,9/6/2021,Americans Stretch Across Political Divides to Welcome Afghan Refugees
160,4/30/2020,"Amid a Rising Death Toll, Trump Leaves the Grieving to Others"
161,8/27/2021,"Amid Afghan Chaos, a C.I.A. Mission That Will Persist for Years"
162,9/29/2021,"Amid Tensions With U.S., Erdogan Praises Ties With Russia"
163,8/28/2021,"Among the Troops Who Died, Two Women on the Front Line"
164,10/9/2020,An Afghan Boy’s Rape and Death Prompt a Rare Response: Arrests
165,3/29/2021,An Alliance of Autocracies? China Wants to Lead a New World Order.
166,10/31/2020,An Ancient Hill and Forgotten Dead: Afghanistan’s Haunted Outpost
167,8/16/2021,An Iconic Bridge Sees U.S. Allies Flee Afghanistan as the Soviets Did
168,5/7/2020,"An Incursion Into Venezuela, Straight Out of Hollywood"
169,11/10/2020,An Obama Restoration on Foreign Policy? Familiar Faces Could Fill Biden’s Team
170,2/28/2021,An Old Legal Doctrine That Puts War Criminals in the Reach of Justice
171,12/1/2020,Another Official Is Ousted From the Pentagon
172,6/29/2020,Another Young Leader Taken. Afghans Ask: How Many More?
173,9/20/2021,Appeals Panel Overturns Army Judge’s Ruling on Torture
174,9/1/2021,Arizona Banned School Mask Mandates. Now Some Kids Are Sick and Parents Are Angry.
175,1/3/2021,Armed Attackers Kidnap and Kill 11 Miners in Pakistan
176,5/29/2020,Army Withdraws Nomination for Officer Involved in Deadly Niger Ambush
177,8/8/2021,"As Afghan Cities Fall to Taliban, Brutal New Chapter Unfolds"
178,7/2/2021,"As Afghan Forces Crumble, an Air of Unreality Grips the Capital"
179,9/6/2021,"As Afghan Refugee Crisis Unfolds, Survivors Recall ‘Miracle’ Evacuation"
180,8/22/2021,"As Afghanistan Collapses, a Lament for ‘Repeating the Same Mistakes’"
181,3/18/2021,"As Biden and Xi Begin a Careful Dance, a New American Policy Takes Shape"
182,8/22/2021,"As Biden Faces a Political Crisis, His Party Looks On in Alarm"
183,6/13/2021,"As Biden Meeting Nears, Erdogan Softens His Stance"
184,9/27/2020,"As Covid-19 Closes Schools, the World’s Children Go to Work"
185,7/31/2021,"As Fears Grip Afghanistan, Hundreds of Thousands Flee"
186,9/15/2021,"As G.O.P. Digs In on Debt Ceiling, Democrats Try Shaming McConnell"
187,6/10/2021,"As Military Addresses Diversity, Republicans See Culture War Target"
188,9/30/2021,"As Need in Afghanistan Grows Dire, Aid Groups Plead for Help"
189,7/3/2020,"As Neo-Nazis Seed Military Ranks, Germany Confronts ‘an Enemy Within’"
190,9/4/2020,"As Others Condemn Putin Critic’s Poisoning, Trump Just Wants to ‘Get Along’"
191,3/19/2020,"As Pandemic Grows, U.S. Warns Americans Not to Travel Abroad"
192,11/21/2020,"As Pompeo Prepared to Meet Afghan Warring Parties, New Attack Struck Kabul"
193,5/21/2020,"As Saudi Official Hid Abroad, His Family Became a Target at Home"
194,8/5/2021,"As Taliban Advance, Biden Officials Cling to Hope for Afghan Peace"
195,8/8/2021,"As Taliban Capture Cities, U.S. Says Afghan Forces Must Fend for Themselves"
196,9/8/2021,"As Taliban Crush Dissent, New Leaders Face Cascading Challenges"
197,8/13/2021,"As the Taliban Advance in Afghanistan, Pressure on Pakistan Grows"
198,8/29/2021,"As the Taliban Tighten Their Grip, Fears of Retribution Grow"
199,6/29/2021,"As the U.S. Pulls Out of Afghanistan, Kabul’s Airport Is a Final Stand"
200,9/15/2020,"As U.N. Turns 75, the Celebration Is Muted by Calamity and Conflict"
201,8/10/2021,"As U.S. Leaves Afghanistan, History Suggests It May Struggle to Stay Out"
202,3/22/2020,"As U.S. Troops Leave Afghanistan, Diplomats Are Left to Fill Uncertain Mission"
203,8/27/2021,"As U.S. Troops Searched Afghans, a Bomber in the Crowd Moved In"
204,6/10/2021,"As U.S. Withdraws, Afghan Interpreters Fear Being Left Behind"
205,6/1/2020,"As Virus Toll Preoccupies U.S., Rivals Test Limits of American Power"
206,6/17/2021,"As Wars Wind Down, Congress Revisits Presidential Powers"
207,11/18/2020,Asylum Seeker Who Lost His Son on Trek to Greece Is Charged in His Death
208,10/5/2020,"At Afghan Peace Talks, Hoping to End Their Fathers’ War"
209,9/27/2021,"At Afghan Universities, Increasing Fear That Women Will Never Be Allowed Back"
210,3/2/2020,"At Center of Taliban Deal, a U.S. Envoy Who Made It Personal"
211,8/26/2021,"At Least 250,000 Afghans Who Worked With U.S. Haven’t Been Evacuated, Estimates Say"
212,7/20/2020,At Least 60 Migrants Killed in Turkish Boat Disaster
213,7/29/2021,At Least 80 Killed as Flash Floods Destroy Village in Afghanistan
214,3/18/2021,"At Least 9 Dead in Afghan Helicopter Crash, After Clashes With Local Militia"
215,5/28/2021,"At Naval Academy Graduation, Harris Focuses on Strengthening a ‘Fragile’ World"
216,9/25/2020,"At Pentagon, Fears Grow That Trump Will Pull Military Into Election Unrest"
217,9/11/2021,"At Pro-Taliban Protest, a Symbol of America’s Lost Influence: Faces Obscured by Veils"
218,9/21/2021,"At U.N., Biden Calls for Diplomacy, Not Conflict, but Some Are Skeptical"
219,6/9/2021,Attack in Afghanistan Kills 10 From Charity That Clears Land Mines
220,6/22/2021,"Attacked and Vulnerable, Some Afghans Are Forming Their Own Armies"
221,11/30/2020,Australia Condemns Lurid Tweet by Chinese Official as ‘Disgusting Slur’
222,11/27/2020,Australian Military Moves to Dismiss Soldiers After Killings in Afghanistan
223,7/17/2021,"Back to Militias, the Chaotic Afghan Way of War"
224,9/14/2021,Barbara Lee’s Long Quest to Curb Presidential War Powers Faces a New Test
225,9/15/2021,"Basking in Vaccine Success, E.U. Promises to Donate More Covid Shots"
226,2/8/2021,"Before Himalayan Flood, India Ignored Warnings of Development Risks"
227,1/16/2021,"Before the Capitol Riot, Calls for Cash and Talk of Revolution"
228,8/7/2021,"Behind the Haiti Assassination, Colombia’s Growing Mercenary Industry"
229,8/9/2021,"Belarus Leader Lashes Out at the West, a Year After Crushing Protests"
230,6/22/2020,"Betraying Frustration with China, E.U. Leaders Press for Progress on Trade Talks"
231,5/18/2021,Biden Administration Clears 3 Guantánamo Detainees for Release
232,7/10/2021,Biden Administration Shows Little Appetite for Haiti’s Troop Request
233,4/15/2021,Biden Administration to Impose Tough Sanctions on Russia
234,7/19/2021,Biden Administration Transfers Its First Detainee From Guantánamo Bay
235,9/1/2021,Biden Affirms Support Against ‘Russian Aggression’ in Meeting With Ukraine’s Leader
236,9/11/2021,Biden and Bush Urge Unity as Nation Remembers Sept. 11
237,1/26/2021,Biden and Putin Agree to Extend Nuclear Treaty
238,6/16/2021,Biden and Putin Express Desire for Better Relations at Summit Shaped by Disputes
239,3/25/2021,Biden Assails Republicans Over Voting Rights and Defends Record on Border
240,12/19/2020,"Biden Cabinet Leans Centrist, Leaving Some Liberals Frustrated"
241,9/30/2021,Biden Campaigned as the Anti-Trump. But a Clean Break Is Never Easy.
242,9/24/2021,Biden Condemns Border Patrol Treatment of Haitian Migrants as Expulsions Continue
243,6/28/2020,Biden Criticizes Trump Over Intelligence on Russian Bounties on U.S. Troops
244,9/22/2021,Biden Declared the War Over. But Wars Go On.
245,9/1/2021,Biden Defends Afghan Pullout and Declares an End to Nation-Building
246,8/20/2021,Biden Defends Afghanistan Evacuation as Thousands Besiege Kabul Airport
247,8/27/2021,Biden Faces a Tragedy He Pledged to Avoid
248,6/6/2021,"Biden Is Embracing Europe, but Then What? NATO and the E.U. Have Concerns."
249,12/24/2020,Biden Is Expected to Expand U.S.-India Relations While Stressing Human Rights
250,12/11/2020,Biden Names Two Obama White House Veterans to New Roles
251,8/3/2021,Biden Officials Open to Tightening Law Authorizing War on Terrorist Groups
252,4/23/2021,Biden Officials Place Hope in Taliban’s Desire for Legitimacy and Money
253,1/22/2021,"Biden Orders Sweeping Assessment of Russian Hacking, Even While Renewing Nuclear Treaty"
254,12/8/2020,"Biden Plans to Tap Lloyd Austin, Former Iraq Commander, as Defense Secretary"
255,9/1/2021,Biden Plays the Long Game as He Justifies the End of the ‘Forever War’
256,4/21/2021,Biden Preparing to Declare That Atrocities Against Armenia Were Genocide
257,8/21/2021,Biden Ran on Competence and Empathy. Afghanistan Is Testing That.
258,8/18/2021,Biden Rattles U.K. With His Afghanistan Policy
259,8/29/2021,Biden Receives Bodies of Service Members Killed in Kabul Bombing
260,6/26/2021,Biden Says Afghans Must ‘Decide Their Future’ as U.S. Troops Withdraw
261,8/18/2021,Biden Says Troops May Stay in Kabul Longer to Assist Evacuations
262,6/30/2020,Biden Says Trump ‘Surrendered’ to Coronavirus in Blistering Speech
263,3/17/2021,Biden Says Withdrawing U.S. Forces From Afghanistan by May Deadline Is ‘Tough’
264,4/29/2021,Biden Seeks Shift in How the Nation Serves Its People
265,3/5/2021,Biden Seeks Update for a Much-Stretched Law That Authorizes the War on Terrorism
266,7/2/2021,Biden Sends Dueling Messages on Afghanistan
267,8/16/2021,"Biden stands behind Afghan withdrawal, despite ‘hard and messy’ final days."
268,8/25/2021,"Biden Sticks to Afghan Deadline, Resisting Pleas to Extend Evacuation"
269,6/27/2020,Biden Still Wants to Close Guantánamo Prison
270,7/26/2021,Biden Takes Two Paths to Wind Down Iraq and Afghan Wars
271,12/16/2020,Biden Taps Pete Buttigieg for Transportation Secretary
272,9/20/2021,Biden to Push Global Plan to Battle Covid as National Gaps Widen
273,2/3/2021,"Biden to Welcome More Refugees, but Far From All Will Get In"
274,4/13/2021,Biden to Withdraw All Combat Troops From Afghanistan by Sept. 11
275,9/3/2021,Biden Tours Hurricane Ida Damage in New Orleans
276,11/7/2020,Biden Victory Brings Sighs of Relief Overseas
277,1/30/2021,"Biden Visits Walter Reed, the Hospital That Treated Both Him and His Son"
278,8/27/2021,Biden Vows ‘Unshakable Partnership’ With Israel in Meeting With Bennett
279,7/10/2021,"Biden Warns Putin to Act Against Ransomware Groups, or U.S. Will Strike Back"
280,11/23/2020,"Biden Will Nominate First Women to Lead Treasury and Intelligence, and First Latino to Run Homeland Security"
281,4/15/2021,"Biden, Setting Afghanistan Withdrawal, Says ‘It Is Time to End the Forever War’"
282,8/29/2020,"Biden, Speaking to National Guard Group, Takes Aim at Republican Criticism on Crime"
283,4/15/2021,Biden’s Afghan Pullout Is a Victory for Pakistan. But at What Cost?
284,8/20/2021,Biden’s Inaccurate Claims in Defending Afghanistan Withdrawal
285,8/26/2021,Biden’s Meeting With Israeli Leader Delayed After Kabul Attack
286,11/25/2020,Biden’s National Security Team Offers a Sharp Turn. But in Which Direction?
287,12/8/2020,Biden’s Pentagon Pick Reignites Debate Over Civilian Control of Military
288,4/21/2021,Biden’s Plan to End Afghanistan War Gives Some Detainees Hope for Release
289,9/10/2021,"Biden’s Vaccine Push Aligns Him With a Fed-Up, Vaccinated Majority"
290,10/27/2020,Blast at Pakistani Religious School Kills at Least 8
291,7/16/2021,"Blast That Killed Chinese Workers in Pakistan Was a Terrorist Attack, Officials Say"
292,5/4/2021,Blinken and G7 Allies Turn Their Focus to ‘Democratic Values’
293,2/23/2021,"Blinken, Without Leaving Home, Tries to Mend Fences With Allies Abroad"
294,3/24/2021,Blinken’s Welcome by NATO Doesn’t Hide Differences on Key Issues
295,11/19/2020,Blood Lust and Demigods: Behind an Australian Force’s Slaughter of Helpless Afghans
296,8/1/2020,Body Bags and Enemy Lists: How Far-Right Police Officers and Ex-Soldiers Planned for ‘Day X’
297,7/31/2021,"Body of Reuters Photographer Was Mutilated in Taliban Custody, Officials Say"
298,8/17/2021,"Body Parts Found in Landing Gear of Flight From Kabul, Officials Say"
299,6/17/2020,Bolton Says Trump Impeachment Inquiry Missed Other Troubling Episodes
300,5/8/2021,"Bombing Outside Afghan School Kills at Least 90, With Girls as Targets"
301,7/31/2020,"Border Clashes With Pakistan Leave 15 Afghan Civilians Dead, Officials Say"
302,8/26/2021,Border Standoff Over Afghan Migrants Highlights E.U. Fears of New Influx
303,9/23/2021,"Boris Johnson Cuts a Colorful Swath in U.S., but to What End?"
304,5/13/2020,"Born Into Carnage, 18 Afghan Babies Face an Uncertain Fate"
305,7/2/2020,Bounties Uproar Casts a Shadow Over a Rare Trump Foreign Policy Achievement
306,4/24/2021,"Breaking With Predecessors, Biden Declares Mass Killings of Armenians a Genocide"
307,5/31/2021,Britain Accelerates Relocation of Afghan Interpreters to U.K.
308,8/28/2021,"Britons, Unfazed by High Covid Rates, Weigh Their ‘Price of Freedom’"
309,8/25/2021,Budding Resistance to the Taliban Faces Long Odds
310,4/20/2021,Bush Says G.O.P. Has Become ‘to Some Degree Nativist’
311,5/25/2020,"By Air and Sea, Mercenaries Landed in Libya. Then the Plan Went South."
312,11/25/2020,C.I.A. Officer Is Killed in Somalia
313,6/6/2021,C.I.A. Scrambles for New Approach in Afghanistan
314,8/29/2020,C.I.A. Uncensors Memoir of F.B.I. Agent Who Protested Torture of Terrorists
315,9/7/2021,"Calling ‘Code Red’ on Climate, Biden Pushes for Infrastructure Plan"
316,8/30/2021,Can Afghanistan’s Leading Broadcaster Survive the Taliban?
317,2/25/2021,Canada’s Top Military Officer Steps Aside Amid Investigation
318,7/22/2021,Canadian Veterans Fill Void to Help Afghans Who Once Worked With Them
319,4/6/2021,Capitol Rioters Face the Consequences of Their Selfie Sabotage
320,11/25/2020,"Casualties From Banned Cluster Bombs Nearly Doubled in 2019, Mostly in Syria"
321,11/25/2020,"Casualties From Banned Cluster Bombs Nearly Doubled in 2019, Mostly in Syria"
322,4/20/2021,"Caving to Islamists, Pakistan’s Parliament Debates Expelling French Ambassador"
323,6/23/2020,"Census Bureau Adds Top-Level Political Posts, Raising Fears for 2020 Count"
324,4/29/2021,Central Asian Border Dispute Casts Shadow Over U.S. Afghan Departure
325,8/16/2021,Chaos Ensues at Kabul Airport as Americans Abandon Afghanistan
326,8/22/2021,Chaos Persists at Kabul Airport as Taliban Discuss New Government
327,8/31/2021,Charges in Bali Bombing Case Are Delayed at Guantánamo
328,9/7/2021,Charter Flights Delayed as U.S. and Taliban Struggle to Work Together
329,7/9/2021,Chief Guantánamo Prosecutor Retiring Before Sept. 11 Trial Begins
330,7/15/2021,China Criticized the Afghan War. Now It Worries About the Withdrawal.
331,2/19/2021,"China Is Preparing for Another Olympics in Beijing, Like It or Not"
332,7/28/2021,China Offers the Taliban a Warm Welcome While Urging Peace Talks
333,4/13/2021,"China Poses Biggest Threat to U.S., Intelligence Report Says"
334,12/14/2020,China’s Combative Nationalists See a World Turning Their Way
335,9/20/2021,"Climate, Covid and Biden’s Challenged Credibility Underline U.N.’s Big Week"
336,5/19/2020,Clinic Bombed as Afghan Forces Fend Off Taliban Attack on Kunduz
337,8/18/2021,Collapse and Conquest: The Taliban Strategy That Seized Afghanistan
338,7/29/2021,Congress approves a $2.1 billion emergency spending bill for Capitol security and aid for Afghan refugees.
339,9/2/2021,"Congress Moves to Increase Pentagon Budget, Defying Biden and Liberals"
